,new_Industry,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0120.3(10),Interest Rate (20),Maturity Date,Industry (9),Par Amount(12),Cost,Fair  Value (1),
0,1st Lien Secured Debt (excluding Revolvers and Letters of Credit)038.9 (continued),1st Lien Secured Debt (excluding Revolvers and Letters of Credit)038.9 (continued),,,,,,,
1,,"Saba Software, Inc. (18)","9.750  (12M L+875, 1.00 Floor)",3/30/21,High Tech Industries,9975,9975,9825,
2,,"SCM Insurance Services, Inc. (17)",9.250,8/22/19,Business Services,C$,33000,29603,24368
3,,"Spotted Hawk Development, LLC",19.000 (13.000 Cash / 6.000 PIK),9/12/16,Energy – Oil & Gas,83106,83106,79574,
4,,Telestream Holdings Corporation (18),"7.430  (3M L+643, 1.00 Floor)",1/15/20,High Tech Industries,32094,32094,31372,
5,,UniTek Global Services Inc. (16),"9.500  (3M L+750, 1.000 PIK, 1.00 Floor)",1/13/19,Telecommunications,19501,19501,19501,
6,,UniTek Global Services Inc. (16),"8.500  (3M L+750, 1.00 Floor)",1/13/19,Telecommunications,32367,32367,30748,
7,,"Venoco, Inc.",12.000,2/28/19,Energy – Oil & Gas,40517,40517,39301,
9,Funded and Unfunded Revolver Obligations00.1,Funded and Unfunded Revolver Obligations00.1,,,,,,,
10,,"Alliant Holdings, (Unfunded Revolver) (8)(21)(23)",0.500 Unfunded,8/14/20,Insurance,15000,"(1,575","(1,575",
11,,"Avaya Inc., (Revolver) (23)","2.933  (12M L+275, 0.190 Floor)",10/26/16,Telecommunications,3303,3106,3138,
12,,"CIT Group, Inc., (Unfunded Revolver) (8)(17)(21)(23)",0.625 Unfunded,1/27/17,"Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,(11,(750,
13,,"Confie Seguros Holding II Co., (Revolver) (16)(23)","4.672  (3M L+450, 0.17 Floor) / 6.750  (3M P+350, 3.25 Floor) Funded",12/10/18,Insurance,1800,1800,1611,
14,,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)(21)",0.500 Unfunded,12/10/18,Insurance,1864,(294,(196,
15,,"My Alarm Center, LLC, (Revolver) (16)(23)","9.000  (3M L+800, 1.00 Floor)",1/9/18,Business Services,833,833,833,
16,,"My Alarm Center, LLC, (Unfunded Revolver) (16)(21)(23)",0.350 Unfunded,1/9/18,Business Services,5417,0,0,
17,,"Tibco Software Inc., (Unfunded Revolver) (8)(21)(23)",0.500 Unfunded,12/5/19,High Tech Industries,6000,(50,(450,
18,,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)(21)",0.500 Unfunded,11/12/19,"Diversified Investment Vehicles, Banking, Finance, Real Estate",2943,(12,(88,
