,Industry / Company,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,,
0,"Advertising, Printing & Publishing",,,,,,,,
1,Learfield Communications,,,,,,,,
2,A-L Parent LLC,Second Lien Secured Debt,"8.25 (1M L+725, 1.00 Floor)",12/02/24,5536,5503.0,4882,,
3,"Simplifi Holdings, Inc.",,,,,,,,
4,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",08/02/25,38829,38188,37164,(9),
5,"Total Advertising, Printing & Publishing",44785,42956,,,,,,
6,Aerospace & Defense,,,,,,,,
7,Erickson Inc,,,,,,,,
8,Erickson Inc,First Lien Secured Debt - Revolver,"9.41 (3M L+750, 1.50 Floor)",04/28/22,31812,31812.0,31096,(9)(23),
9,PAE Holding Corporation,,,,,,,,
10,PAE Holding Corporation,Second Lien Secured Debt,"10.50 (1M L+950, 1.00 Floor)",10/20/23,13637,13462,12353,,
11,Total Aerospace & Defense,45041,43255,,,,,,
12,Automotive,,,,,,,,
13,Accelerate Parent Corp. (American Tire),,,,,,,,
14,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,"1,664,046 Shares",1714,250.0,(13)(19),,,
15,Arlington,,,,,,,,
16,Arlington Industries Group Limited,First Lien Secured Debt,"5.75 (1M E+525, 0.50 Floor)",03/29/24,€,3189,3572,3309.0,(9)(17)
17,Crowne Automotive,,,,,,,,
18,"Vari-Form Group, LLC",First Lien Secured Debt,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5859,937,762,(9)(13)(14),
19,Vari-Form Inc.,First Lien Secured Debt,L+11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2110,391,274,(9)(13)(14),
20,"K&N Parent, Inc.",,,,,,,,
21,"K&N Parent, Inc.",Second Lien Secured Debt,"9.82 (3M L+875, 1.00 Floor)",10/21/24,23765,23489,22220,,
22,"Truck-Lite Co., LLC",,,,,,,,
23,"Truck-Lite Co., LLC",First Lien Secured Debt,"7.32 (6M L+625, 1.00 Floor)",12/14/26,25148,24573,24446,(9),
24,"TL Lighting Holdings, LLC",Common Equity/Interests - Class A Common Units,350 Shares,350,241.0,(9)(13),,,
25,Total Automotive,66724,62224,,,,,,
26,Aviation and Consumer Transport,,,,,,,,
27,"Merx Aviation Finance, LLC",,,,,,,,
28,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00,10/31/23,305300,305300.0,305300,(23),
