,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity  Date,Par / Shares (12),Cost (28),Fair  Value (1)(29),,
0,"Advertising, Printing & Publishing","Advertising, Printing & Publishing",,,,,,,,
1,,A-L Parent LLC,Second Lien Secured Debt,"9.30 (1M L+725, 1.00 Floor)",12/02/24,5536,5500,5508,,
2,,"Simplifi Holdings, Inc.",First Lien Secured Debt,"8.04 (1M L+500, 1.00 Floor)",08/02/25,36582,35929,35851,(9),
3,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/25,2400,(54,(48,(8)(9)(21)(23),
4,,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/04/25,2436,(24,(49,(8)(9)(21)(23),
5,,"Simplifi Holdings, Inc.",35851,35754,,,,,,
7,Aerospace & Defense,Aerospace & Defense,,,,,,,,
8,,Erickson Inc,First Lien Secured Debt - Revolver,"9.82 (3M L+750, 1.00 Floor)",04/28/22,32487,32487,31919,(9)(23),
9,,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/28/22,5965,(290,(104,(8)(9)(21)(23),
10,,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50,9/30/19 - 2/24/21,6548,0,(113,(8)(9)(23),
11,,Erickson Inc,32197,31702,,,,,,
12,,ILC Dover LP,Second Lien Secured Debt,"10.70 (3M L+850, 1.00 Floor)",06/28/24,7800,7671,7683,,
13,,PAE Holding Corporation,Second Lien Secured Debt,"11.60 (3M L+950, 1.00 Floor)",10/20/23,28097,27599,27745,(10),
15,Automotive,Automotive,,,,,,,,
16,,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,N/A,N/A,"1,664,046 Shares",1714,0,(13)(26),
17,,Arlington Industries Group Limited,First Lien Secured Debt,"5.96 (1M GBP L+525, 0.50 Floor)",03/29/24,£,7961,10126,9556,(9)(17)
18,,Arlington Industries Group Limited,First Lien Secured Debt,"5.75 (1M E+525, 0.50 Floor)",03/29/24,€,3297,3693,3496,(9)(17)
19,,Arlington Industries Group Limited,First Lien Secured Debt - Revolver,"5.96 (1M GBP L+525, 0.50 Floor)",03/29/24,£,2095,2570,2509,(9)(17)(23)
20,,Arlington Industries Group Limited,First Lien Secured Debt - Unfunded Revolver,1.25 Unfunded,03/29/24,£,605,(64,(21,(8)(9)(17)(21)(23)
21,,Arlington Industries Group Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,03/29/24,£,1300,(31,(45,(8)(9)(17)(21)(23)
22,,Arlington Industries Group Limited,16294,15495,,,,,,
23,Crowne Automotive,Crowne Automotive,,,,,,,,
24,,"Vari-Form Group, LLC",First Lien Secured Debt,"13.14 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,5860,938,938,(9)(13)(14),
25,,Vari-Form Inc.,First Lien Secured Debt,"13.14 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",02/02/23,2446,391,391,(9)(13)(14),
26,,Vari-Form Inc.,1329,1329,,,,,,
27,,"K&N Parent, Inc.",Second Lien Secured Debt,"10.79 (1M L+875, 1.00 Floor)",10/21/24,23765,23459,23075,,
29,Aviation and Consumer Transport,Aviation and Consumer Transport,,,,,,,,
30,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00,10/31/23,307300,307300,307300,,
31,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/20,177,0,0,(23),
32,,"Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,15000,55697,,
34,"Beverage, Food & Tobacco","Beverage, Food & Tobacco",,,,,,,,
35,,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"9.12 (6M L+650, 1.00 Floor)",06/14/24,24688,24470,24194,(9),
36,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"9.12 (6M L+650, 1.00 Floor)",06/14/23,417,417,408,(9)(23),
