,Investment,Interest  Rate (20),Maturity  Date,Par (12),Cost,Fair  Value (1),
0,Non-Controlled/Non-Affiliated Investments,,,,,,
1,Corporate Debt,,,,,,
2,Secured Debt,,,,,,
3,First Lien Secured Debt,,,,,,
4,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
5,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),"7.55 (1M L+625, 1.00 Floor)",6/9/23,2921.0,2856,2855,
6,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),"7.55 (3M L+625, 1.00 Floor)",6/9/23,C$,2436.0,1774,1834
7,"Altasciences US Acquistion, Inc. (9)(16)","7.55 (1M L+625, 1.00 Floor)",6/9/23,5275,5157,5156,
8,"Altasciences US Acquistion, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)(28)",0.50 Unfunded,6/9/23,2851,(35,(64,
9,"American Media, Inc. (16)","8.80 (3M L+750, 1.00 Floor)",8/24/20,390,380,390,
10,"American Media, Inc. (16)","8.80 (3M L+750, 1.00 Floor)",8/24/20,9482,9240,9482,
11,"American Media, Inc. (16)","8.80 (3M L+750, 1.00 Floor)",8/24/20,5195,5064,5195,
12,Aptevo Therapeutics Inc. (9)(16)(23),8.65 (1M L+760),2/1/21,8571,8634,8493,
13,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",0.00 Unfunded,2/1/21,6429,(27,(59,
14,ChyronHego Corporation (18),"7.43 (3M L+643, 1.00 Floor)",3/9/20,35975,35539,35256,
15,Dodge Data & Analytics LLC,"10.06 (3M L+875, 1.00 Floor)",10/31/19,50478,50004,49090,
16,GFRC Holdings LLC,"10.50 (1M L+900 Cash (L+900 PIK Toggle), 1.50 Floor)",2/1/22,2500,2500,2375,
17,"Invuity, Inc. (9)(16)","8.00 (1M L+650, 1.50 Floor)",3/1/22,6667,6578,6539,
18,"Invuity, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",0.00 Unfunded,3/1/22,3333,(16,(17,
19,KLO / 9357-5991 Quebec Inc,"9.00 (1M L+775, 0.75 Floor)",4/7/22,9500,9387,9386,
20,KLO Acquisition LLC,"9.00 (1M L+775, 0.75 Floor)",4/7/22,5500,5435,5434,
21,LabVantage Solutions Inc.,"9.30 (3M L+800, 1.00 Floor)",12/29/20,14250,13924,14108,
22,LabVantage Solutions Limited (16)(17),"9.00 (3M E+800, 1.00 Floor)",12/29/20,€,13054.0,13714,14740
23,"Magnetation, LLC (14)",9.15 (3M L+800 Cash (PIK Toggle)),12/31/19,2081,2050,717,
24,"Maxus Capital Carbon SPE I, LLC",5.22 PIK,12/31/18,59305,59305,50053,
25,"My Alarm Center, LLC, Term Loan A (16)(23)","9.05 (1M L+800, 1.00 Floor)",1/9/19,28035,28035,28035,
26,"My Alarm Center, LLC, Term Loan B (16)(23)","9.23 (1M L+800, 1.00 Floor)",1/9/19,8320,8320,8320,
27,"My Alarm Center, LLC, Unfunded Term Loan B (16)(21)(23)",0.35 Unfunded,1/9/19,441,0,0,
