,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
0,"Advertising, Printing & Publishing",,,,,,,,
1,Learfield Communications,,,,,,,,
2,A-L Parent LLC,Second Lien Secured Debt,"9.05% (1M L+725, 1.00% Floor)",12/02/24,5536,5502,4913,,
3,"Simplifi Holdings, Inc.",,,,,,,,
4,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.55% (1M L+575, 1.00% Floor)",08/02/25,36491,35866,35761,(9),
5,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.44% (1M L+575, 1.00% Floor)",08/04/25,2436,2390,2353,(9),
6,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/02/25,2400,(51),(48),(8)(9)(21)(23),
7,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,08/02/25,6091,(60),(87),(8)(9)(21)(23),
8,Aerospace & Defense,,,,,,,,
9,Erickson Inc,,,,,,,,
10,Erickson Inc,First Lien Secured Debt - Revolver,"9.60% (3M L+750, 1.00% Floor)",04/28/22,30801,30801,30262,(9)(23),
11,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/28/22,7526,(261),(132),(8)(9)(21)(23),
12,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50%,01/31/20 - 10/01/20,6673,-,(115),(8)(9)(23),
13,ILC Dover LP,,,,,,,,
14,ILC Dover LP,Second Lien Secured Debt,"10.30% (1M L+850, 1.00% Floor)",06/28/24,7800,7678,7761,,
15,PAE Holding Corporation,,,,,,,,
16,PAE Holding Corporation,Second Lien Secured Debt,"11.35% (2M L+950, 1.00% Floor)",10/20/23,28097,27629,27745,(10),
17,Automotive,,,,,,,,
18,Accelerate Parent Corp. (American Tire),,,,,,,,
19,Accelerate Parent Corp.,Common Equity/Interests - Common Stock,N/A,N/A,"1,664,046 Shares",1714,-,(13)(19),
20,Arlington,,,,,,,,
21,Arlington Industries Group Limited,First Lien Secured Debt,"5.75% (1M E+525, 0.50% Floor)",03/29/24,3297,3693,3604,(9)(17),
22,Arlington Industries Group Limited,First Lien Secured Debt,"5.96% (1M GBPL+525, 0.50% Floor)",03/29/24,7841,9986,10116,(9)(17),
23,Arlington Industries Group Limited,First Lien Secured Debt - Unfunded Revolver,1.25% Unfunded,03/29/24,2700,(61),(96),(8)(9)(17)(21)(23),
