,new_Industry,Industry / Company,Investment Type,Interest Rate,Maturity Date,Par/Shares (12),Cost (35),Fair Value (1)(36),,
0,"Advertising, Printing & Publishing","Advertising, Printing & Publishing",,,,,,,,
1,FingerPaint Marketing,FingerPaint Marketing,,,,,,,,
2,,KL Charlie Acquisition Company,First Lien Secured Debt,"L+625, 1.00 Floor",12/30/26,30875,22411,22566,(9)(21)(23)  (26)(28),
3,,KL Charlie Acquisition Company,First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",12/30/26,2190,(18),(22),(8)(9)(21)  (23),
4,,"KL Charlie Co-Invest, L.P.",Common Equity - Common Stock,N/A,N/A,"218,978 Shares",219,344,(9)(13),
5,,"KL Charlie Co-Invest, L.P.",22612,22888,,,,,,
6,Hero Digital,Hero Digital,,,,,,,,
7,,"HRO (Hero Digital) Holdings, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",11/18/28,27234,19111,19303,(9)(21)(23)  (26),
8,,"HRO (Hero Digital) Holdings, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",11/18/26,2553,(50),(26),(8)(9)(20)  (21)(23),
9,,HRO Holdings I LP,Common Equity - Common Stock,N/A,N/A,213 Shares,213,213,(9)(13)(25),
10,,HRO Holdings I LP,19274,19490,,,,,,
12,Aerospace & Defense,Aerospace & Defense,,,,,,,,
13,Erickson Inc,Erickson Inc,,,,,,,,
14,,Erickson Inc,First Lien Secured Debt - Revolver,"L+750, 1.50 Floor",04/28/22,32250,20722,20446,(9)(20)(21)  (23)(28),
15,,Erickson Inc,First Lien Secured Debt - Revolver,13.50,04/28/22,3750,3750,3713,(9)(23),
17,Automotive,Automotive,,,,,,,,
18,Club Car Wash,Club Car Wash,,,,,,,,
19,,"Club Car Wash Operating, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",06/16/27,29982,20400,20493,(9)(21)(23)  (29),
20,,"Club Car Wash Operating, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",06/16/27,2438,2398,2406,(9)(23)(29),
21,,"Club Car Wash Operating, LLC",22798,22899,,,,,,
22,Crowne Automotive,Crowne Automotive,,,,,,,,
23,,"Vari-Form Group, LLC",First Lien Secured Debt,11.00 (7.00 Cash plus 4.00 PIK),02/02/23,5860,893,293,(9)(14),
24,,Vari-Form Inc.,First Lien Secured Debt,11.00 (7.00 Cash plus 4.00 PIK),02/02/23,2110,391,105,(9)(14),
25,,Vari-Form Inc.,1284,398,,,,,,
26,"K&N Parent, Inc.","K&N Parent, Inc.",,,,,,,,
27,,"K&N Parent, Inc.",Second Lien Secured Debt,"L+875, 1.00 Floor",10/21/24,23765,23583,21507,(28),
28,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",,,,,,,,
29,,"TL Lighting Holdings, LLC",Common Equity - Equity,N/A,N/A,350 Shares,350,406,(9)(13),
30,,"Truck-Lite Co., LLC",First Lien Secured Debt,"L+625, 1.00 Floor",12/14/26,31363,29709,29602,(9)(21)(23)  (27)(28),
31,,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",12/13/24,3052,(29),(35),(8)(9)(20)  (21)(23),
32,,"Truck-Lite Co., LLC",30030,29973,,,,,,
34,Aviation and Consumer Transport,Aviation and Consumer Transport,,,,,,,,
35,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC",,,,,,,,
36,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,10.00,10/31/23,275177,275000,275000,(20)(23),
