,Industry / Company,Interest Rate (20),Par/Shares (12),Cost (27),Fair Value  (1)(28),,
0,"Advertising, Printing & Publishing",,,,,,
1,FingerPaint Marketing,,,,,,
2,KL Charlie Acquisition Company,"6.25 (1M L+525, 1.00 Floor)",3504,3469,3469,(9),
3,"KL Charlie Co-Invest, L.P.","218,978 Shares",370,(9)(13)  (25),,,
4,"Simplifi Holdings, Inc.",,,,,,
5,"Simplifi Holdings, Inc.","6.25 (6M L+525, 1.00 Floor)",38342,37851,38020,(9),
6,Aerospace & Defense,,,,,,
7,Erickson Inc,,,,,,
8,Erickson Inc,"9.00 (3M L+750, 1.50 Floor)",32877,32877,32384,(9)(23),
9,Automotive,,,,,,
10,Club Car Wash,,,,,,
11,"Club Car Wash Operating, LLC","7.50 (6M L+650, 1.00 Floor)",13813,13572,13571,(9),
12,Crowne Automotive,,,,,,
13,"Vari-Form Group, LLC",11.00 (7.00 Cash plus 4.00 PIK),5860,901,293,(9)(14),
14,Vari-Form Inc.,11.00 (7.00 Cash plus 4.00 PIK),2110,391,105,(9)(14),
15,"K&N Parent, Inc.",,,,,,
16,"K&N Parent, Inc.","9.75 (3M L+875, 1.00 Floor)",23765,23565,22279,,
17,"Truck-Lite Co., LLC",,,,,,
18,"TL Lighting Holdings, LLC",350 Shares,382,(9)(13),,,
19,"Truck-Lite Co., LLC","7.25 (3M L+625, 1.00 Floor)",28513,27981,28353,(9),
20,Aviation and Consumer Transport,,,,,,
21,"Merx Aviation Finance, LLC",,,,,,
22,"Merx Aviation Finance, LLC (5)",10.00,190500,190500,190500,(23),
23,Primeflight,,,,,,
24,"PrimeFlight Aviation Services, Inc.","7.25 (1M L+625, 1.00 Floor)",17447,17218,17194,(9),
25,"Beverage, Food & Tobacco",,,,,,
26,Bolthouse Farms,,,,,,
27,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1220,(13),,,
28,Eagle Foods,,,,,,
29,"Eagle Foods Family Group, LLC","7.50 (6M L+650, 1.00 Floor)",23292,23152,23292,(9),
30,"Florida Food Products, Inc.",,,,,,
31,"Florida Food Products, Inc.","7.50 (3M L+650, 1.00 Floor)",22647,22307,22534,(9),
32,"Florida Food Products, LLC","7.50 (3M L+650, 1.00 Floor)",342,343,341,(9)(23),
33,"Orgain, Inc.",,,,,,
34,"Butterfly Fighter Co-Invest, L.P.","1,000,000 Shares",1190,(13),,,
35,TNT Crust LLC,,,,,,
36,TNT Crust LLC,"7.75 (3M L+675, 1.00 Floor)",21609,21287,21231,(9),
37,Turkey Hill,,,,,,
38,IC Holdings LLC,169 Shares,342,(9)(13),,,
39,THLP CO. LLC,"7.00 (1M L+600, 1.00 Floor)",25152,24810,24774,(9),
40,Business Services,,,,,,
41,Access Information,,,,,,
42,"Access CIG, LLC",7.84 (1M L+775),15900,15811,15724,,
43,Ambrosia Buyer Corp.,,,,,,
44,Ambrosia Buyer Corp.,9.00,21429,20059,9270,(14),
45,AML Rightsource,,,,,,
46,"Gabriel Partners, LLC","7.25 (3M L+625, 1.00 Floor)",15040,14739,14739,(9),
47,Claritas,,,,,,
48,"Claritas, LLC","6.75 (3M L+575, 1.00 Floor)",3721,3702,3684,(9),
49,Continuum,,,,,,
50,"Continuum Global Solutions, LLC","6.50 (1M L+550, 1.00 Floor)",2762,2762,2714,(9)(23),
51,Education Personnel,,,,,,
52,Arthur Bidco Limited,"6.00 (1M GBPL+550, 0.50 Floor)",£,4035,5168,5488,(9)(17)
53,Electro Rent Corporation,,,,,,
54,Electro Rent Corporation,"10.00 (3M L+900, 1.00 Floor)",34235,33704,33893,(9),
55,Elo Touch,,,,,,
56,TGG TS Acquisition Company,0.50 Unfunded,1750,0,(35),(8)(21)  (23),
57,Ensemble Health,,,,,,
58,"EHL Merger Sub, LLC",0.25 Unfunded,4155,(235),(139),(8)(21)  (23),
59,Jacent,,,,,,
60,Jacent Strategic Merchandising,"6.75 (3M L+575, 1.00 Floor)",22256,22068,21889,(9),
61,"JSM Equity Investors, L.P.",114 Shares,11,(9)(13),,,
62,Jones & Frank,,,,,,
63,"JF Acquisition, LLC","6.50 (6M L+550, 1.00 Floor)",5272,5206,5209,(9),
64,MAKS,,,,,,
65,Trident Bidco Limited,"6.50 (6M L+550, 1.00 Floor)",34125,33379,33842,(9)(17),
66,McLarens,,,,,,
67,Margaux Acquisition Inc.,"6.50 (3M L+550, 1.00 Floor)",22995,22728,22857,(9),
68,Margaux UK Finance Limited,"6.50 (3M GBPL+550, 1.00 Floor)",£,7164,8951,9836,(9)(17)
69,Naviga,,,,,,
70,"Naviga Inc. (fka Newscycle Solutions, Inc.)","8.00 (3M L+700, 1.00 Floor)",12274,12150,12152,(9),
71,"PSI Services, LLC",,,,,,
72,"Lifelong Learner Holdings, LLC","6.75 (3M L+575, 1.00 Floor)",32453,31948,31042,(9),
73,Soliant,,,,,,
74,"Soliant Health, Inc.",300 Shares,528,(9),,,
75,"Transplace Holdings, Inc.",,,,,,
76,"Transplace Holdings, Inc.","9.75 (3M L+875, 1.00 Floor)",8599,8483,8556,,
77,US Legal Support,,,,,,
78,"US Legal Support Investment Holdings, LLC","631,972 Shares",720,(9)(13),,,
79,"USLS Acquisition, Inc.","6.75 (3M L+575, 1.00 Floor)",24189,23907,23182,(9),
80,"Chemicals, Plastics & Rubber",,,,,,
81,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,
82,Carbonfree Chemicals Holdings LLC (4),"2,354 Shares",36162,(13)(16)  (25),,,
83,Carbonfree Chemicals SA LLC (4),"3,152 Shares",0,(3)(13)  (16)(25),,,
84,Niacet Corporation,,,,,,
85,"Hare Bidco, Inc.","9.75 (1M E+875, 1.00 Floor)",€,11351,12174,13427,
86,"Westfall Technik, Inc.",,,,,,
87,"Westfall Technik, Inc.","6.75 (1M L+575, 1.00 Floor)",15737,15561,15422,(9),
88,Construction & Building,,,,,,
89,Englert,,,,,,
90,"Gutter Buyer, Inc.","7.25 (1M L+625, 1.00 Floor)",28612,28242,28283,(9),
91,"Gutter Holdings, LP",500 Shares,1346,(9)(13),,,
92,Consumer Goods – Durable,,,,,,
93,A&V,,,,,,
94,"A&V Holdings Midco, LLC","6.38 (3M L+538, 1.00 Floor)",10711,10387,10718,(10),
95,KDC,,,,,,
96,KDC US Holdings,3.35 (1M L+325),3535,3536,3483,(23),
97,"KLO Holdings, LLC",,,,,,
98,1244311 B.C. Ltd. (4),"6.00 (3M L+500, 1.00 Floor)",2985,2985,2832,(17),
99,9357-5991 Quebec Inc. (4),"11.25 (3M L+775 Cash plus 2.00 PIK, 1.50 Floor)",4059,0,0,(14),
100,Liqui-Box,,,,,,
101,"Liqui-Box Holdings, Inc.",6.75 (P+350),973,973,973,(23),
102,NSi Industries,,,,,,
103,"Wildcat BuyerCo, Inc.","6.00 (3M L+500, 1.00 Floor)",7156,6818,7099,,
104,Wildcat Parent LP,"1,070 Shares",154,(13),,,
105,"Sorenson Holdings, LLC",,,,,,
106,"Sorenson Holdings, LLC",587 Shares,455,(10)(13),,,
107,Consumer Goods – Non-durable,,,,,,
108,3D Protein,,,,,,
109,"Protein For Pets Opco, LLC",0.50 Unfunded,2219,(34),0,(9)(21)  (23),
110,Beauty Industry Group (BIG),,,,,,
111,"BIG Buyer, LLC","7.50 (6M L+650, 1.00 Floor)",30401,29969,30169,(9),
112,Dan Dee,,,,,,
113,"Project Comfort Buyer, Inc.","8.00 (3M L+700, 1.00 Floor)",25937,25483,24878,(9),
114,LashCo,,,,,,
115,"Lash OpCo, LLC",9.25 (P+600),10197,9974,10185,(9),
116,Olaplex,,,,,,
117,"Olaplex, Inc.","7.50 (1M L+650, 1.00 Floor)",12221,12036,12253,(9),
118,"Sequential Brands Group, Inc.",,,,,,
119,"Sequential Brands Group, Inc.","9.75 (1M L+875, 1.00 Floor)",12658,12603,10386,(17),
120,Consumer Services,,,,,,
121,Activ,,,,,,
122,"Activ Software Holdings, LLC","7.25 (6M L+625, 1.00 Floor)",30093,29507,29491,(9),
123,Bird,,,,,,
124,"Bird US Opco, LLC","10.00 (1M L+900, 1.00 Floor)",4960,4908,4886,(9),
125,Clarus Commerce,,,,,,
126,"Marlin DTC-LS Midco 2, LLC","7.50 (1M L+650, 1.00 Floor)",9129,9022,9066,,
127,First Heritage,,,,,,
128,"First Heritage Credit, LLC",4.84 (1M L+475),18000,17958,17912,(9),
129,Go Car Wash,,,,,,
130,Go Car Wash Management Corp.,"7.00 (1M L+600, 1.00 Floor)",885,869,871,(9),
131,Lending Point,,,,,,
132,LendingPoint LLC,"11.50 (3M L+1050, 1.00 Floor)",11375,11273,11286,(9),
133,Only About Children,,,,,,
134,Nemo (BC) Bidco Pty Ltd,"7.75 (3M BBSW+675, 1.00 Floor)",A$,6768,4942,4929,(17)
135,Paper Source,,,,,,
136,PaperShop HoldCo Inc.,"8.00 (3M L+700, 1.00 Floor)",10607,10503,10501,(9),
137,"Pinstripe Holdings, LLC",,,,,,
138,"Pinstripe Holdings, LLC","7.00 (3M L+600, 1.00 Floor)",6808,6727,6752,,
139,The Club Company,,,,,,
140,Eldrickco Limited,"6.75 (6M GBPL+625, 0.50 Floor)",£,11148,14059,14830,(9)(17)
141,US Auto,,,,,,
142,"U.S. Auto Finance, Inc.","6.25 (3M L+525, 1.00 Floor)",11778,11817,11759,(9),
143,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,
144,Celink,,,,,,
145,Compu-Link Corporation,0.50 Unfunded,2273,(30),(20),(8)(9)  (21)(23),
146,"Peer Advisors, LLC","6.50 (1M L+550, 1.00 Floor)",17670,17435,17511,(9),
147,"Flock Financial, LLC",,,,,,
148,"Flock SPV I, LLC","7.50 (1M L+650, 1.00 Floor)",12000,11972,11920,(9)(17),
149,Golden Bear,,,,,,
150,"Golden Bear 2016-R, LLC (4)",09/20/42,11676,(3)(17),,,
151,"Purchasing Power, LLC",,,,,,
152,"Purchasing Power Funding I, LLC","7.50 (1M L+650, 1.00 Floor)",425,425,425,(9)(23),
153,Spectrum Automotive,,,,,,
154,CC SAG Holdings Corp.,"6.50 (3M L+575, 0.75 Floor)",11434,11262,11262,(9),
155,"Ten-X, LLC",,,,,,
156,"Ten-X, LLC",3.35 (1M L+325),4680,4575,4489,(23),
157,Education,,,,,,
158,NFA Group,,,,,,
159,SSCP Spring Bidco Limited,"6.75 (6M GBPL+625, 0.50 Floor)",£,30000,36205,41254,(9)(17)
160,Energy – Electricity,,,,,,
161,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,
162,"AIC SPV Holdings II, LLC (4)",143 Shares,503,(17)(15)  (25),,,
163,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",0,(13)(25),,,
164,Renew JV LLC (4),"633,948 Shares",800,(13)(17)  (25),,,
165,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,
166,Solarplicity UK Holdings Limited,4.00,£,5562,7439,2544,(14)(17)
167,Energy – Oil & Gas,,,,,,
168,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,
169,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",10.00 PIK,41121,36926,4139,(11)(14),
170,Pelican,,,,,,
171,"Pelican Energy, LLC (4)","1,444 Shares",2170,(13)(16)  (17)(25),,,
172,Spotted Hawk,,,,,,
173,"SHD Oil & Gas, LLC (5)",12.00,24728,24728,25470,,
174,Environmental Industries,,,,,,
175,Ortega National Parks,,,,,,
176,"Ortega National Parks, LLC","6.25 (6M L+525, 1.00 Floor)",11574,11410,11180,(9),
177,Healthcare & Pharmaceuticals,,,,,,
178,Akoya,,,,,,
179,"Akoya Biosciences, Inc.","7.85 (1M L+635, 1.50 Floor)",9750,9772,9750,(9),
180,AmeriVet,,,,,,
181,"Amerivet Partners Management, Inc.","6.25 (6M L+525, 1.00 Floor)",29867,29485,29832,(9),
182,Amerivet Partners Parent LP,13 Shares,230,(9)(13),,,
183,Analogic,,,,,,
184,Analogic Corporation,"6.25 (1M L+525, 1.00 Floor)",17987,17763,17717,(9),
185,BK Medical,,,,,,
186,"BK Medical Holding Company, Inc.","6.25 (1M L+525, 1.00 Floor)",7213,7164,7179,(9),
187,CARE Fertility,,,,,,
188,Royton Bidco Limited,"6.75 (3M GBPL+625, 0.50 Floor)",£,17579,22426,24100,(9)(17)
189,Cerus,,,,,,
190,Cerus Corporation,"7.25 (1M L+545, 1.80 Floor)",16500,16455,16830,(9)(17),
191,Dohmen Life Science Services,,,,,,
192,"LSCS Holdings, Inc",8.42 (6M L+825),19818,19545,19634,,
193,Eating Recovery Center,,,,,,
194,"ERC Finance, LLC","7.00 (3M L+600, 1.00 Floor)",25492,25014,24982,(9),
195,Emmes Corporation,,,,,,
196,"Emmes Blocker, Inc.",306 Shares,595,(9)(13),,,
197,"The Emmes Company, LLC","6.00 (1M L+500, 1.00 Floor)",4038,3980,3957,(9),
198,"Genesis Healthcare, Inc.",,,,,,
199,"Genesis Healthcare, Inc.",0.50 Unfunded,85870,(266),"(1,237)",(8)(9)  (21)(23),
200,Gossamer,,,,,,
201,"GB001, Inc.","9.00 (1M L+700, 2.00 Floor)",6000,6003,6060,(9)(17),
202,Health & Safety Institute,,,,,,
203,"HSI Halo Acquisition, Inc.","6.75 (3M L+575, 1.00 Floor)",8958,8868,8839,(9),
204,IMA Group,,,,,,
205,"IMA Group Management Company, LLC","7.50 (3M L+650, 1.00 Floor)",6461,6405,6365,,
206,Kindeva,,,,,,
207,Kindeva Drug Delivery L.P.,"7.00 (3M L+600, 1.00 Floor)",1815,1778,1801,(9),
208,KureSmart,,,,,,
209,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,177,(9)(13),,,
210,"Kure Pain Holdings, Inc.","6.50 (1M L+550, 1.00 Floor)",21825,21618,21504,(9),
211,"Lanai Holdings III, Inc. (Patterson Medical)",,,,,,
212,"Lanai Holdings III, Inc.",12.75 ( P+950),20049,19888,19876,,
213,Mannkind Corporation,,,,,,
214,Mannkind Corporation,"7.25 (1M L+675, 0.50 Floor)",13866,13781,14356,(9),
215,"Maxor National Pharmacy Services, LLC",,,,,,
216,"Maxor National Pharmacy Services, LLC","6.50 (3M L+550, 1.00 Floor)",22438,22215,22418,(9),
217,Medical Guardian,,,,,,
218,"Medical Guardian, LLC","8.75 (1M L+775, 1.00 Floor)",28571,28170,28409,(9),
219,Midwest Vision,,,,,,
