,Industry/Company,Industry,Par_Shares,Cost,Fair_Value
0,CORPORATE DEBT-125.9%,,,,
1,SECURED DEBT-80.0%,,,,
2,1st Lien Secured Debt-32.5%,,,,
3,"Archroma, L+825, 10/1/18 ‡",Chemicals,35422,34762,35511
4,"Avanti Communication Group PLC, 10.00%, 10/1/19  t  ‡",Telecommunications,9000,9000,9608
5,"Aveta, Inc., L+825, 12/12/17",Healthcare,59951,58535,60325
6,"Caza Petroleum Inc., L+1000, 5/23/17",Oil and Gas,35000,33988,33845
7,"Charming Charlie LLC, L+800, 12/24/19",Retail,5305,5241,5315
8,"Confie Seguros Holding II Co., (Revolver) L+450/P+350 Funded, 0.50% Unfunded, 12/10/18",Insurance,240,240,218
9,"Delta Educational Systems, Inc., 16.00% (8.00% Cash/8.00% PIK), 12/11/16",Education,5437,5437,5437
10,"Endeavour International Corp., 12.00%, 3/1/18 †‡",Oil and Gas,18262,17960,17760
11,"Endeavour International Corp., L+700, 11/30/17 †‡",Oil and Gas,3157,3105,3126
12,"Endeavour International Corp., L+700, 11/30/17 †‡",Oil and Gas,4412,4338,4368
13,"Evergreen Tank Solutions, Inc. , L+800, 9/28/18","Containers, Packaging, and Glass",41771,41260,41980
14,"Great Bear Petroleum Operating LLC, 12.00%, 10/1/17",Oil and Gas,4464,4464,4464
15,"Hunt Companies, Inc., 9.625%, 3/1/21  t",Buildings and Real Estate,41210,40701,42807
16,"Lee Enterprises, Inc, 9.50%, 3/15/22  t  ‡",Media,25000,25000,25844
17,"Magnetation, LLC, 11.00%, 5/15/18  t",Mining,16400,16458,18450
18,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00%, 9/18/19",Chemicals,60000,60000,60000
19,"Molycorp, Inc., 10.00%, 6/1/20 ‡","Diversified Natural Resources, Precious Metals and Minerals",35849,35532,35547
20,"My Alarm Center, LLC, L+750, 1/9/18 †",Business Services,42614,42614,42614
21,"My Alarm Center, LLC, L+750, 1/9/18 †",Business Services,2930,2930,2930
22,"Osage Exploration & Development, Inc., L+1500, 4/27/15 ‡",Oil and Gas,20000,19752,20040
23,"Panda Sherman Power, LLC, L+750, 9/14/18",Energy,15000,14821,15450
24,"Panda Temple Power, LLC, L+1000, 7/17/18",Energy,25500,25099,26169
25,"Pelican Energy, LLC, 10.00% (7.00% Cash / 3.00% PIK), 12/31/18 ‡",Oil and Gas,19330,18634,19717
26,"Reichhold Holdings International B.V., L+975, 12/19/16 ‡",Chemicals,22500,22500,22500
27,"Sand Waves, S.A. (Endeavour International Corp.), 9.75%, 12/31/15 ‡",Oil and Gas,12500,12500,12500
28,"Southern Pacific Resource Corp, L+1000, 3/29/19 ‡",Oil and Gas,9080,8808,9216
29,"Spotted Hawk Development LLC, 14.00% (13.00% Cash/ 1.00% PIK), 6/30/16 ‡",Oil and Gas,24308,23712,23615
30,"Sunrun Solar Owner IX, LLC, 9.079%, 12/31/24",Energy,3622,3466,3467
31,"Travel Leaders Group, LLC, L+600, 12/5/18",Business Services,2568,2414,2548
32,"UniTek Global Services Inc., (Revolver) L+925 Funded, 2.00% Unfunded, 4/15/16",Telecommunications,44802,44802,44802
33,"Walter Energy Inc., 9.50%, 10/15/19  t  ‡",Mining,17000,17307,17345
34,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands)",,,,
35,Unfunded Revolver Obligations-(0.4)%,,,,
36,"Avaya, Inc., L+275 Funded, 0.50% Unfunded, 10/26/16 (8)",Telecommunications,36785,"(5,203)","(3,035)"
37,"BMC Software Inc., L+400 Funded, 0.50% Unfunded, 9/10/18 (8)",Business Services,30760,"(3,243)","(2,307)"
38,"Confie Seguros Holding II Co., L+450 P+350 Funded, 0.50% Unfunded, 12/10/18 (8)",Insurance,3627,(450),(326)
39,"Laureate Education, Inc., L+375, Funded, 0.625% Unfunded, 6/16/16 (8) ‡",Education,28880,"(2,888)","(2,599)"
40,"Reichhold Holdings International B.V., L+600 Funded, 1.50% Unfunded, 12/19/16 ‡",Chemicals,12500,-,-
41,"Salix Pharmaceuticals, Ltd., L+300 Funded, 0.50% Unfunded, 1/2/19 ‡ (8)",Healthcare,25000,"(1,923)",(125)
42,"UniTek Global Services Inc., L+925 Funded, 2.00% Unfunded, 4/15/16",Telecommunications,18052,-,-
43,Letters of Credit- (0.0)%,,,,
44,"Confie Seguros Holding II Co., 4.50%, 10/27/14 (8)",Insurance,600,-,(54)
