,Industry / Company,Interest Rate (20),Par / Shares (12),Cost (29),Fair  Value (1) (30),
0,"Advertising, Printing & Publishing",,,,,
1,A-L Parent LLC,"9.66 (1M L+725, 1.00 Floor)",5536.0,5498,5501,
2,"Simplifi Holdings, Inc.","7.40 (1M L+500, 1.00 Floor)",24691,24317,24444,
3,"Total Advertising, Printing & Publishing",29768,,,,
4,Aerospace & Defense,,,,,
5,Erickson Inc,"9.82 (3M L+750, 1.00 Floor)",30313.0,30313,29782,
6,ILC Dover LP,"10.70 (6M L+850, 1.00 Floor)",20000,19652,19650,
7,PAE Holding Corporation,"11.83 (3M L+950, 1.00 Floor)",28097,27570,27745,
8,Total Aerospace & Defense,77217,,,,
9,Automotive,,,,,
10,Accelerate Parent Corp.,"1,664,046 Shares",0.0,(13)(28),,
11,Arlington Industries Group Limited,"5.97 (1M GBP L+525, 0.50 Floor)",£,1300.0,1637,(9)(17)
12,Crowne Automotive,,,,,
13,"Vari-Form Group, LLC",L+11.00 (7.00 Cash plus 4.00 PIK),5860.0,5382,938,
14,Vari-Form Inc.,L+11.00 (7.00 Cash plus 4.00 PIK),2446,2604,391,
15,"K&N Parent, Inc.","11.15 (1M L+875, 1.00 Floor)",23765,23444,23289,
16,Total Automotive,49028,,,,
17,Aviation and Consumer Transport,,,,,
18,"Merx Aviation Finance, LLC (5)",12.00,325200.0,325200,325200,
19,Total Aviation and Consumer Transport,340200,,,,
20,"Beverage, Food & Tobacco",,,,,
21,"Eagle Foods Family Group, LLC","9.12 (6M L+650, 1.00 Floor)",24333.0,24107,23968,
22,Florida Food Group,,,,,
23,"Florida Food Products, Inc.","9.15 (1M L+675, 1.00 Floor)",23113,22602,22882,
24,"Florida Food Products, LLC","9.15 (1M L+675, 1.00 Floor)",1473,1473,1458,
25,IC Holdings LLC,169 Shares,169,(9)(13),,
26,THLP CO. LLC,"7.90 (1M L+550, 1.00 Floor)",19562,19176,19171,
27,TNT Crust LLC,"8.65 (1M L+625, 1.00 Floor)",9060,8903,8879,
28,"Wm. Bolthouse Farms, Inc.","1,000,000 Shares",1000,(13),,
29,"Total Beverage, Food & Tobacco",88714,,,,
30,Business Services,,,,,
31,"Access CIG, LLC",10.07 (3M L+775),15900.0,15776,15811,
32,Aero Operating LLC,"9.65 (1M L+725, 1.00 Floor)",36803,36140,36435,
33,Ambrosia Buyer Corp.,"10.20 (6M L+800, 1.00 Floor)",21429,21016,20885,
34,"Claritas, LLC","8.33 (1M L+600, 1.00 Floor)",3919,3883,3880,
35,"Continuum Global Solutions, LLC","7.90 (1M L+550, 1.00 Floor)",941,941,922,
36,"CT Technologies Intermediate Holdings, Inc","6.65 (1M L+425, 1.00 Floor)",4449,3896,3804,
37,Education Personnel,"5.55 (3M GBP L+475, 0.50 Floor)",£,4118.0,5225,(9)(17)
38,Electro Rent Corporation,"11.52 (2M L+900, 1.00 Floor)",34235,33456,33551,
39,Jacent Strategic Merchandising,"8.33 (3M L+575, 1.00 Floor)",22750,22422,22750,
40,McLarens Global Ltd.,,,,,
41,Margaux Acquisition Inc.,"8.32 (3M L+600, 1.00 Floor)",18943,18623,18754,
42,Margaux UK Finance Limited,"7.00 (3M GBP L+600, 1.00 Floor)",£,5940.0,7369,(9)(17)
43,"Ministry Brands, LLC","11.58 (3M L+925, 1.00 Floor)",10000,9908,10050,
44,"Newscycle Solutions, Inc.","9.40 (1M L+700, 1.00 Floor)",16427,16140,16263,
45,"PSI Services, LLC","7.40 (1M L+500, 1.00 Floor)",4563,4495,4540,
46,"RA Outdoors, LLC","7.15 (1M L+475, 1.00 Floor)",7120,7014,6942,
47,"STG-Fairway Acquisitions, Inc.","11.65 (1M L+925, 1.00 Floor)",15000,14811,14400,
48,TGG TS Acquisition Company,8.90 (1M L+650),290,290,283,
49,"Transplace Holdings, Inc.","11.15 (1M L+875, 1.00 Floor)",8599,8429,8427,
50,U.S. Legal Support,,,,,
51,"USLS Acquisition, Inc.","8.19 (3M L+575, 1.00 Floor)",19999,19638,19616,
52,"US Legal Support Investment Holdings, LLC","631,972 Shares",684,(9)(13),,
53,"Vertafore, Inc.",0.50 Unfunded,14576,"(1,381","(1,676",
54,Total Business Services,355357,,,,
55,"Chemicals, Plastics & Rubber",,,,,
56,Carbon Free Chemicals,,,,,
57,Carbonfree Caustic SPE LLC,5.00,11200.0,11200,11200,
58,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),5.22 PIK,50305,50305,43732,
59,"Hare Bidco, Inc.",9.75 (3M E+875),€,13574.0,14475,
60,"Westfall Technik, Inc.","7.83 (3M L+550, 1.00 Floor)",15132,14953,14981,
61,"Total Chemical, Plastics & Rubber",100750,,,,
62,Construction & Building,,,,,
63,Englert,,,,,
64,"Gutter Buyer, Inc.","8.66 (1M L+625, 1.00 Floor)",23864.0,23298,23276,
65,"Gutter Holdings, LP",500 Shares,551,(9)(13),,
66,Total Construction & Building,23686,,,,
67,Consumer Goods – Durable,,,,,
68,"Hayward Industries, Inc.",10.65 (1M L+825),21919.0,21661,21590,
69,KDC US Holdings,7.75 (P+225),1445,1445,1323,
70,KLO Holdings,,,,,
71,9357-5991 Quebec Inc.,10.25 (1M L+775),8763,8702,7447,
72,KLO Acquisition LLC,10.25 (1M L+775),5073,5038,4311,
73,"Project Comfort Buyer, Inc.","9.81 (6M L+700, 1.00 Floor)",23621,22960,23384,
74,"Sorenson Holdings, LLC",587 Shares,477,(10)(13),,
75,Total Consumer Goods - Durable,60141,,,,
76,Consumer Goods – Non-durable,,,,,
77,"ABG Intermediate Holdings 2, LLC","10.15 (1M L+775, 1.00 Floor)",7229.0,7205,7162,
78,"BIG Buyer, LLC","8.90 (1M L+650, 1.00 Floor)",29190,28419,28898,
79,Lion Cashmere Midco Limited,"8.42 (6M L+575, 1.00 Floor)",13053,12835,12694,
80,"Protein For Pets Opco, LLC","7.52 (3M L+500, 1.00 Floor)",12781,12529,12525,
81,Reddy Ice Corporation,"9.94 (1M L+750, 1.00 Floor)",32583,32196,32583,
82,"Sequential Brands Group, Inc.",11.15 (1M L+875),12965,12866,12835,
83,Total Consumer Goods - Non-Durable,108677,,,,
84,Consumer Services,,,,,
85,1A Smart Start LLC,"10.65 (1M L+825, 1.00 Floor)",25100.0,24761,24729,
86,"First Heritage Credit, LLC",7.15 (1M L+475),16500,16349,16331,
87,Nemo (BC) Bidco Pty Ltd,"7.18 (1M BBSW+575, 1.00 Floor)",A$,6768.0,4912,(17)
88,"Paper Source, Inc.","9.52 (3M L+700, 1.00 Floor)",11918,11685,11679,
89,"Pinstripe Holdings, LLC",8.41 (2M L+600),6983,6853,6878,
90,"Tidewater Consumer Receivables, LLC",8.15 (1M L+575),11333,11231,11220,
91,"U.S. Auto Finance, Inc.",7.07 (3M L+475),11000,10963,10956,
92,Total Consumer Services,97867,,,,
93,"Containers, Packaging & Glass",,,,,
94,"Sprint Industrial Holdings, LLC",13.5 PIK,22505.0,22141,22289,
95,"TricorBraun Holdings, Inc.",7.75 (P+225),1418,1418,1419,
96,"Total Containers, Packaging & Glass",23314,,,,
97,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,
98,Alera Group Intermediate Holdings,6.90 (1M L+450),19950.0,19786,19962,
99,Compu-Link Corporation,0.50 Unfunded,2273,(51,(51,
100,"Exeter Property Group, LLC",6.90 (1M L+450),4808,4740,4738,
101,"Flock SPV I, LLC",8.90 (1M L+650),9333,9270,9223,
102,"Golden Bear 2016-R, LLC (4)",09/20/42,16646,12961,(3)(17),
103,Mayfield Agency Borrower Inc.,10.90 (1M L+850),5000,4937,4944,
104,"Peer Advisors, LLC","7.30 (1M L+550, 1.00 Floor)",22727,22222,22216,
105,"Purchasing Power, LLC",7.90 (1M L+550),13906,13906,13888,
106,"Taupo River II, LLC","7.57 (3M L+525, 1.00 Floor)",14000,13965,13964,
107,"Ten-X, LLC",0.50 Unfunded,4680,(274,(293,
108,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",104974,,,,
109,Energy – Electricity,,,,,
110,"AMP Solar Group, Inc. (4)","243,646 Shares",6485.0,(13)(17),,
111,Renew Financial,,,,,
112,"AIC SPV Holdings II, LLC (4)","534,375 Shares",639,(15)(17),,
113,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",14844,(13),,
114,Renew JV LLC (4),1827,(13)(17),,,
115,Solarplicity Group,,,,,
116,Solarplicity Group Limited (4),11/30/22,4331.0,5811,1761,
117,Solarplicity UK Holdings Limited,4.00,£,5562.0,7637,(17)
118,Total Energy – Electricity,45585,,,,
119,Energy – Oil & Gas,,,,,
120,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",8.00 Cash (10.00 PIK Toggle),7000.0,7000,7000,
121,"Pelican Energy, LLC (4)","1,444 Shares",4415,(13)(16)(17),,
122,"SHD Oil & Gas, LLC (5)",12.00,20400,20400,21012,
123,Total Energy – Oil & Gas,200788,,,,
124,Food & Grocery,,,,,
125,Bumble Bee Foods,,,,,
126,"Bumble Bee Holdings, Inc.","10.52 (3M L+800, 1.00 Floor)",15312.0,15083,14393,
127,Connors Bros Clover Leaf Seafoods Company,"10.52 (3M L+800, 1.00 Floor)",4338,4273,4078,
128,Total Food & Grocery,19356,,,,
129,Healthcare & Pharmaceuticals,,,,,
130,Altasciences,,,,,
131,9360-1367 Quebec Inc.,"8.77 (3M L+625, 1.00 Floor)",C$,2375.0,1743,(9)(17)
132,"Altasciences US Acquisition, Inc.","8.77 (3M L+625, 1.00 Floor)",5123,5047,4931,
133,"Amerivet Partners Management, Inc.","8.15 (1M L+575, 1.00 Floor)",15972,15741,15622,
134,Analogic Corporation,"8.40 (1M L+600, 1.00 Floor)",27186,26621,26914,
135,Aptevo Therapeutics Inc.,"10.00 (1M L+760, 0.50 Floor)",8571,8752,8549,
136,"Argon Medical Devices Holdings, Inc.","10.40 (1M L+800, 1.00 Floor)",19600,19519,19355,
137,AVG Intermediate Holdings LLC,"10.38 (1M L+800, 1.00 Floor)",6725,6586,6571,
138,"BioClinica Holding I, LP","10.81 (3M L+825, 1.00 Floor)",24612,24264,23012,
139,Cerus Corporation,"7.85 (1M L+545, 1.80 Floor)",12000,11943,12013,
140,Emmes Corporation,,,,,
141,"Emmes Blocker, Inc.",306 Shares,306,(9)(13),,
142,"The Emmes Company, LLC","7.90 (1M L+550, 1.00 Floor)",12214,12041,11909,
143,"FPG Services, LLC","7.95 (3M L+550, 1.00 Floor)",12632,12381,12379,
144,"GB001, Inc.","8.55 (1M L+615, 2.00 Floor)",6000,5945,5997,
145,"Genesis Healthcare, Inc.","8.32 (3M L+600, 0.50 Floor)",25000,24724,24733,
146,"IMA Group Management Company, LLC","7.83 (3M L+550, 1.00 Floor)",4699,4654,4652,
147,"Lanai Holdings III, Inc.","11.08 (3M L+850, 1.00 Floor)",17391,17082,16087,
148,"LSCS Holdings, Inc",10.58 (3M L+825),19818,19429,19703,
149,"Maxor National Pharmacy Services, LLC","7.83 (3M L+550, 1.00 Floor)",24668,24220,24225,
150,Orchard Therapeutics plc,"8.40 (1M L+600, 1.00 Floor)",8333,8292,8292,
151,"Partner Therapeutics, Inc","9.05 (1M L+665, 1.00 Floor)",11667,11537,11512,
152,"PHS Buyer, Inc.","7.65 (1M L+525, 1.00 Floor)",12968,12696,12708,
153,"ProPharma Group Intermediate, LLC","8.40 (1M L+600, 0.50 Floor)",€,6405.0,7239,
154,"PTC Therapeutics, Inc","8.55 (1M L+615, 1.00 Floor)",12139,12111,12260,
155,"RiteDose Holdings I, Inc.","8.82 (3M L+650, 1.00 Floor)",14775,14437,14355,
156,Royton Bidco Limited,"8.31 (3M L+575, 0.50 Floor)",£,15588.0,19721,(9)(17)
157,"Teladoc, Inc.",0.50 Unfunded,1306,(23,0,
158,"Wright Medical Group, Inc.","10.25 (1M L+785, 1.00 Floor)",6667,6575,6667,
159,Total Healthcare & Pharmaceuticals,399467,,,,
160,High Tech Industries,,,,,
161,AMI US Holdings Inc.,"7.90 (1M L+550, 1.00 Floor)",22038.0,21615,21597,
162,"ChargePoint, Inc.","8.95 (1M L+655, 1.25 Floor)",10500,10416,10438,
163,ChyronHego Corporation,"7.43 (3M L+643, 1.00 Floor)",34346,34238,31942,
164,"DigiCert Holdings, Inc.","10.40 (1M L+800, 1.00 Floor)",12157,12109,12119,
165,"FiscalNote, Inc.","10.40 (1M L+800, 1.00 Floor)",28125,27484,27352,
166,"International Cruise & Excursion Gallery, Inc.","7.65 (1M L+525, 1.00 Floor)",14850,14596,14794,
167,LabVantage Solutions,,,,,
168,LabVantage Solutions Inc.,"9.90 (1M L+750, 1.00 Floor)",11262,11151,11262,
169,LabVantage Solutions Limited,8.50 (E+750),€,11372.0,12120,(17)
170,Magnate Holding Corp.,"8.33 (3M L+600, 1.00 Floor)",16670,16443,16431,
171,New Amsterdam Software BidCo LLC,"5.00 (1M E L+500, 1.00 Floor)",€,743.0,817,(9)
172,"Omnitracs, LLC",0.50 Unfunded,3750,(252,(338,
173,Sirsi Corporation,"7.27 (3M L+475, 1.00 Floor)",7027,6928,6922,
174,Telestream Holdings Corporation,"7.61 (6M L +645, 1.00 Floor)",35605,35396,34892,
175,Tibco Software Inc.,0.50 Unfunded,6000,(5,(450,
176,"Wall Street Systems Delaware, Inc.","7.40 (1M L+500, 2.00 Floor)",14033,13755,13963,
177,"ZPower, LLC","10.15 (1M L+775, 1.00 Floor)",6333,6402,6046,
178,Total High Tech Industries,235969,,,,
179,"Hotel, Gaming, Leisure, Restaurants",,,,,
180,GFRC Holdings LLC,"10.53 (3M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",2500.0,2500,2500,
181,"Total Hotel, Gaming, Leisure, Restaurants",2500,,,,
182,Insurance,,,,,
183,"AQ Sunshine, Inc.","7.90 (1M L+550, 1.00 Floor)",14118.0,13845,13838,
184,Ivy Finco Limited,7.61 (1M L+525),£,8836.0,10927,(9)(17)
185,Total Insurance,25096,,,,
186,"Manufacturing, Capital Equipment",,,,,
187,AVAD,,,,,
188,AVAD Canada Ltd.,"6.40 (1M L+400, 1.00 Floor)",1000.0,983,983,
189,"AVAD, LLC","10.15 (1M L+775, 1.00 Floor)",9411,9248,9223,
190,Kauffman,,,,,
191,"Kauffman Holdco, LLC","250,000 Shares",250,(9)(13),,
192,"Kauffman Intermediate, LLC","8.08 (3M L+575, 1.00 Floor)",17436,17096,17262,
193,MedPlast Holdings Inc.,10.08 (3M L+775),8000,7930,7900,
194,"Total Manufacturing, Capital Equipment",49885,,,,
195,Media – Diversified & Production,,,,,
196,SESAC Holdco II LLC,0.50 Unfunded,587.0,(28,(44,
