,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,
0,"Advertising, Printing & Publishing",,,,,,,
1,A-L Parent LLC,Second Lien Secured Debt,"9.35% (1M L+725, 1.00% Floor)",12/02/24,5536,5489,5591,
2,"American Media, Inc.",First Lien Secured Debt,"11.36% (3M L+900, 1.00% Floor)",08/24/20,12699,12475,13080,
3,"American Media, Inc.",First Lien Secured Debt - Revolver,12.00% (P+700),08/24/20,178,178,183,(23)
4,"American Media, Inc.",First Lien Secured Debt - Revolver,10.34% (3M L+800),08/24/20,533,533,549,(23)
5,"American Media, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/24/20,1067,(29),-,(21)(23)
6,"Simplifi Holdings, Inc.",First Lien Secured Debt,"7.59% (1M L+550, 1.00% Floor)",09/28/22,25556,25053,25300,(9)
7,"Simplifi Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/28/22,2400,(61),(24),(8)(9)(21)(23)
8,Aerospace & Defense,,,,,,,
9,Erickson Inc,First Lien Secured Debt - Revolver,"9.84% (3M L+750, 1.00% Floor)",04/28/22,26014,26014,25429,(9)(23)
10,Erickson Inc,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/28/22,12124,(412),(273),(8)(9)(21)(23)
11,Erickson Inc,First Lien Secured Debt - Letters of Credit,7.50%,8/16/18 - 4/30/20,6862,-,(153),(8)(9)(23)
12,ILC Dover LP,Second Lien Secured Debt,"10.84% (3M L+850, 1.00% Floor)",06/28/24,20000,19583,19550,
13,PAE Holding Corporation,Second Lien Secured Debt,"11.59% (1M L+950, 1.00% Floor)",10/20/23,28097,27451,28272,(10)
14,Automotive,,,,,,,
15,Accelerate Parent Corp.,Common Equity/Interest - Common Stock,N/A,N/A,"1,664,046 Shares",1714,100,(13)
16,Crowne Automotive,,,,,,,
17,"Vari-Form Group, LLC",First Lien Secured Debt,"13.33% (3M L+11.00% (7.00% Cash plus 4.00% PIK), 1.00% Floor)",02/02/23,4998,4862,4848,(9)
18,Vari-Form Inc.,First Lien Secured Debt,"13.33% (3M L+11.00% (7.00% Cash plus 4.00% PIK), 1.00% Floor)",02/02/23,9997,9725,9697,(9)
19,"K&N Parent, Inc.",Second Lien Secured Debt,"11.08% (3M L+875, 1.00% Floor)",10/21/24,26765,26336,26096,(10)
20,Aviation and Consumer Transport,,,,,,,
21,Merx Aviation,,,,,,,
22,Merx Aviation Finance Assets Ireland Limited (5),First Lien Secured Debt - Letters of Credit,2.25%,09/30/18,3600,-,-,(23)
23,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00%,10/31/23,450800,450800,450800,(23)
24,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25%,07/13/18,177,-,-,(23)
25,"Merx Aviation Finance, LLC (5)",Common Equity/Interests - Membership Interests,N/A,N/A,N/A,15000,52001,
26,"Beverage, Food & Tobacco",,,,,,,
27,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"8.84% (3M L+650, 1.00% Floor)",06/14/24,25000,24721,24719,(9)
28,Business Services,,,,,,,
29,"Access CIG, LLC",Second Lien Secured Debt,9.84% (1M L+775),02/27/26,19931,19747,20056,(10)
30,"Access CIG, LLC",Second Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,02/27/26,969,-,-,(10)(21)(23)
31,Aero Operating LLC,First Lien Secured Debt,"9.34% (1M L+725, 1.00% Floor)",12/29/22,33267,32519,32935,(9)
32,Aero Operating LLC,First Lien Secured Debt - Unfunded Revolver,1.00% Unfunded,12/29/22,4812,(43),(48),(8)(9)(21)(23)
33,"Almonde, Inc",Second Lien Secured Debt,"9.56% (3M L+725, 1.00% Floor)",06/13/25,2316,2296,2235,(10)(17)
34,Ambrosia Buyer Corp.,Second Lien Secured Debt,"10.09% (1M L+ 800, 1.00% Floor)",08/28/25,21429,20950,20948,
35,"Aptean, Inc.",Second Lien Secured Debt,"11.83% (3M L+950, 1.00% Floor)",12/20/23,11148,11050,11217,(10)
36,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"11.09% (1M L+900, 1.00% Floor)",12/01/22,31253,30511,30315,(9)
37,Electro Rent Corporation,Second Lien Secured Debt,"11.31% (3M L+900, 1.00% Floor)",01/31/25,18333,17880,17967,(9)
38,Electro Rent Corporation,Second Lien Secured Debt,"11.33% (3M L+900, 1.00% Floor)",01/31/25,18265,17766,17899,(9)
39,"Ministry Brands, LLC",Second Lien Secured Debt,"11.75% (6M L+925, 1.00% Floor)",06/02/23,10000,9886,10065,
40,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.09% (1M L+700, 1.00% Floor)",12/29/22,16069,15716,15909,(9)
