,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0138.0 (18),Maturity Date,Industry,Par Amount(12),Fair  Value (1),
0,1st Lien Secured Debt045.1 (continued),,,,,
1,Reichhold Holdings International B.V. (16)(17),12/19/16,Chemicals,19500.0,19793,
2,"Reichhold Holdings International B.V., (Revolver) (16)(17)",12/19/16,Chemicals,9000,9000,
3,"SCM Insurance Services, Inc. (17)",8/22/19,Business Services,"CAD 30,000",26710,
4,"Spotted Hawk Development, LLC",9/12/16,Oil and Gas,80493.0,78883,
5,"Sunrun Solar Owner IX, LLC",12/31/24,Energy,3525,3376,
6,"UniTek Global Services, Inc., (Revolver)(16)",4/15/16,Telecommunications,38731,38731,
7,"Walter Energy, Inc.(11)(16)(17)",10/15/19,Mining,35061,31730,
8,Total 1st Lien Secured Debt,945706,929846,,,
9,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,
10,Unfunded Revolver Obligations0(0.4),,,,,
11,"Avaya, Inc., (Unfunded Revolver) (8)(13)(16)",10/26/16,Telecommunications,20231.0,"(1,644",
12,"BMC Software, Inc., (Unfunded Revolver) (8)(13)",9/10/18,Business Services,20760,"(1,661",
13,"CIT Group, Inc., (Unfunded Revolver) (8)(13)(17)",1/27/17,Financial Services,25000,"(1,063",
14,"Confie Seguros Holding II Co., (Unfunded Revolver) (13)(16)",12/10/18,Insurance,2724,0,
15,"Laureate Education, Inc., (Unfunded Revolver) (8)(13)(17)",6/16/16,Education,28880,"(2,599",
16,"Reichhold Holdings International B.V., (Unfunded Revolver) (13)(16)(17)",12/19/16,Chemicals,3500,0,
17,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)(13)(16)(17)",1/2/19,Healthcare,24867,(249,
18,"UniTek Global Services, Inc., (Unfunded Revolver) (13)(16)",4/15/16,Telecommunications,14623,0,
19,"Walter Energy, Inc., (Unfunded Revolver) (8)(13)(16)(17)",10/1/17,Mining,275,(18,
20,Total Unfunded Revolver Obligations,"(12,470","(7,234",,,
21,Letters of Credit0 (0.0),,,,,
22,"Confie Seguros Holding II Co., Letter of Credit (13)(16)",10/27/14,Insurance,600.0,0,
23,"Confie Seguros Holding II Co., Letter of Credit (13)(16)",1/13/15,Insurance,66,0,
24,"Salix Pharmaceuticals, Ltd., Letter of Credit (13)(16)(17)",2/10/15,Healthcare,8,0,
25,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)(13)(16)(17)",2/10/15,Healthcare,125,(1,
26,"UniTek Global Services, Inc., Letter of Credit (13)(16)",12/15/14,Telecommunications,5446,0,
27,"UniTek Global Services, Inc., Letter of Credit (13)(16)",3/18/15,Telecommunications,1000,0,
28,"UniTek Global Services, Inc., Letter of Credit (13)(16)",3/18/15,Telecommunications,2700,0,
29,"UniTek Global Services, Inc., Letter of Credit (13)(16)",3/26/15,Telecommunications,12500,0,
30,"Walter Energy, Inc., Letter of Credit (8)(9)(13)(16)(17)",9/18/14- 7/4/15,Mining,86,(6,
31,"Walter Energy, Inc., Letter of Credit (8)(9)(13)(16)(17)",11/28/15-8/31/15,Mining,CAD,0,(11
32,Total Letters of Credit,0,(18,,,
33,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,
34,2nd Lien Secured Debt050.5,,,,,
35,"Active Network, Inc.",11/15/21,Business Services,20419.0,20553,
36,"American Energy - Utica, LLC (10)",9/30/18,Oil and Gas,11020,11571,
37,"Aptean, Inc.",2/26/21,Business Services,11322,11280,
38,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",12/26/20,Financial Services,8000,7920,
39,Asurion Corporation,3/3/21,Insurance,90400,91756,
40,"BancTec Group, LLC (17)",4/3/20,Business Services,40000,39200,
