,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0120.3(10),Maturity Date,Industry (9),Par Amount(12),Fair  Value (1),
0,1st Lien Secured Debt (excluding Revolvers and Letters of Credit)038.9 (continued),,,,,
1,"Saba Software, Inc. (18)",3/30/21,High Tech Industries,9975.0,9825,
2,"SCM Insurance Services, Inc. (17)",8/22/19,Business Services,C$,29603,24368.0
3,"Spotted Hawk Development, LLC",9/12/16,Energy – Oil & Gas,83106,79574,
4,Telestream Holdings Corporation (18),1/15/20,High Tech Industries,32094,31372,
5,UniTek Global Services Inc. (16),1/13/19,Telecommunications,19501,19501,
6,UniTek Global Services Inc. (16),1/13/19,Telecommunications,32367,30748,
7,"Venoco, Inc.",2/28/19,Energy – Oil & Gas,40517,39301,
8,Total 1st Lien Secured Debt (excluding Revolvers and Letters of Credit),782701.0,710113,,,
9,Funded and Unfunded Revolver Obligations00.1,,,,,
10,"Alliant Holdings, (Unfunded Revolver) (8)(21)(23)",8/14/20,Insurance,15000.0,"(1,575",
11,"Avaya Inc., (Revolver) (23)",10/26/16,Telecommunications,3303,3138,
12,"CIT Group, Inc., (Unfunded Revolver) (8)(17)(21)(23)",1/27/17,"Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,(750,
13,"Confie Seguros Holding II Co., (Revolver) (16)(23)",12/10/18,Insurance,1800,1611,
14,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)(21)",12/10/18,Insurance,1864,(196,
15,"My Alarm Center, LLC, (Revolver) (16)(23)",1/9/18,Business Services,833,833,
16,"My Alarm Center, LLC, (Unfunded Revolver) (16)(21)(23)",1/9/18,Business Services,5417,0,
17,"Tibco Software Inc., (Unfunded Revolver) (8)(21)(23)",12/5/19,High Tech Industries,6000,(450,
18,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)(21)",11/12/19,"Diversified Investment Vehicles, Banking, Finance, Real Estate",2943,(88,
19,"UniTek Global Services Inc., (Unfunded Revolver) (16)(21)",1/13/19,Telecommunications,5000,0,
20,Total Funded and Unfunded Revolver Obligations,3797.0,2523,,,
21,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,
22,Letters of Credit0-0.0,,,,,
23,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",6/29/16,Insurance,500.0,(53,
24,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",1/13/16,Insurance,336,(35,
25,"Transfirst Holdings, Inc., Letter of Credit (8)(16)(23)",11/12/19,"Diversified Investment Vehicles, Banking, Finance, Real Estate",57,(2,
26,"UniTek Global Services Inc., Letter of Credit (16)(23)",1/13/19,Telecommunications,15711,0,
27,"UniTek Global Services Inc., Letter of Credit (16)(23)",1/13/19,Telecommunications,1850,0,
28,Total Letters of Credit,0.0,(90,,,
29,TOTAL 1ST LEIN SECURED DEBT,786498.0,712546,,,
30,2nd Lien Secured Debt051.6,,,,,
31,"Access CIG, LLC",10/17/22,Business Services,35755.0,34861,
32,"Active Network, Inc.",11/15/21,Business Services,19672,18615,
33,American Energy - Woodford LLC/AEW Finance Corp (11),12/30/20,Energy – Oil & Gas,3500,1199,
34,"Appriss Holdings, Inc.",5/21/21,Business Services,32750,32750,
