,Industry/Company,Industry,Par_Shares,Cost,Fair_Value
0,CORPORATE DEBT-128.9%,,,,
1,SECURED DEBT-76.1%,,,,
2,1st Lien Secured Debt-36.2%,,,,
3,"Amaya Gaming Group, Inc., L+775, 11/5/15","Hotels, Motels, Inns  and Gaming",14438,14280,14437
4,"Archroma, L+825, 9/30/18 ‡",Chemicals,35600,34888,35244
5,"Avanti Communications Group PLC, 10.00%, 10/1/19   ̈  ‡",Telecommunications,25000,25000,25398
6,"Avaya, Inc., 9.00%, 4/1/19   ̈",Telecommunications,20500,21103,19923
7,"Aveta, Inc., L+825, 12/12/17",Healthcare,64039,62362,64399
8,"Caza Petroleum Inc., L+1000, 5/23/17",Oil & Gas,25000,24192,23900
9,"Delta Educational Systems, Inc., 16.00% (8.00% Cash/8.00% PIK), 12/11/16",Education,5220,5220,5220
10,"Endeavour International Corp., 12.00%, 3/1/18† ‡",Oil & Gas,14621,14125,15279
11,"Endeavour International Corp., 13.00%, 6/30/14† ‡",Oil & Gas,30000,30485,30375
12,"Evergreen Tank Solutions, Inc., L+800, 9/28/18","Containers,  Packaging, and  Glass",30800,30260,30761
13,"Evergreen Tank Solutions, Inc., L+800, 9/28/18","Containers,  Packaging, and  Glass",5479,5479,5472
14,"Garden Fresh Restaurant Corp., P+675 (P+625 Cash/0.50% PIK), 10/2/13 †",Restaurants,2511,2511,1783
15,"Garden Fresh Restaurant Corp., P+775 (P+725 Cash/0.50% PIK), 10/2/13 †",Restaurants,2511,2511,1783
16,"Magnetation, LLC, 11.00%, 5/15/18   ̈",Mining,37750,37911,36712
17,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00%, 9/18/19",Chemicals,60000,60000,60000
18,"Miller Energy Resources, Inc., 18.00% (15.00% Cash/3.00% PIK Option), 6/29/17 † ‡",Oil & Gas,55307,55307,57519
19,"Miller Energy Resources, Inc., 9.00%, 6/29/17† ‡",Oil & Gas,20000,20000,20000
20,"Molycorp, Inc., 10.00%, 6/1/20 ‡","Diversified Natural  Resources,  Precious Metals  and Minerals",34268,33847,34161
21,"New Publishing Holdings (F&W Media), L+650, 6/30/18",Printing &  Publishing,15960,14724,15641
22,"Osage Exploration & Development, Inc., L+1500, 4/27/15 ‡",Oil & Gas,15000,14765,15056
23,"Panda Sherman Power, LLC, L+750, 9/14/18",Energy,15000,14806,15262
24,"Panda Temple Power, LLC, L+1000, 7/18/18",Energy,25500,25064,26241
25,"Pelican Energy, LLC, 10.00% (7.00% Cash / 3.00% PIK), 12/31/18 ‡",Oil & Gas,13021,12607,13281
26,"Spotted Hawk Development LLC, 14.00% (13.00% Cash/ 1.00% PIK), 6/30/16 ‡",Oil & Gas,24185,23482,23290
27,"Sunrun Solar Owner IX, LLC, 9.079%, 12/31/24",Energy,3307,3161,3156
28,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",Telecommunications,65500,65500,65500
29,"Walter Energy Inc., 9.50%, 10/15/19   ̈  ‡",Mining,15000,14914,15550
31,2nd Lien Secured Debt-40.3%,,,,
32,"Allied Security Holdings, LLC, L+825, 2/2/18",Business Services,31000,30784,31368
33,"Armor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/22/20",Financial Services,8000,7843,7950
34,"Ardent Medical Services, Inc., L+950, 1/2/19",Healthcare,15000,14655,15281
35,"Arysta Lifescience Corporation, L+700, 11/22/20 ‡",Chemicals,17874,17704,17863
36,"Avaya, Inc., 10.50%, 3/1/21   ̈",Telecommunications,16577,15866,13386
37,"Brock Holdings III, Inc., L+825, 3/16/18",Environmental  Services,25000,24641,25250
38,"Confie Seguros II, L+900, 5/8/19",Insurance,27344,27077,27566
39,"Deltek, Inc., L+875, 6/30/20",Business Services,27273,27006,27546
40,"Garden Fresh Restaurant Corp., L+1175  PIK, 12/11/13",Restaurants,48955,49853,45528
41,"GCA Services Group, Inc., L+800, 10/31/20",Diversified Service,28547,28602,29047
42,"GETCO Financing Escrow LLC (Knight Capital Group), 8.25%, 6/15/18   ̈",Financial Services,41033,40220,40828
43,"Grocery Outlet Inc., L+925 6/17/19",Grocery,8674,8515,8815
44,"HD Vest Inc., L+800, 6/18/19 ‡",Financial Services,9396,9285,9302
45,"Healogics, Inc., L+800, 2/5/20",Healthcare,10000,10117,10225
46,"Insight Pharmaceuticals, LLC, L+1175, 8/25/17",Consumer Products,15448,15220,15680
47,"IPC Systems, Inc., L+525, 5/31/15",Telecommunications,39250,38067,33461
48,"Kronos, Inc., L+850, 4/26/20",Business Services,61358,60556,63698
49,"Ranpak Corp., L+725, 4/23/20",Packaging,22000,21789,22440
50,"Sedgwick Holdings, Inc., L+700, 12/12/18",Business Services,15225,15151,15501
51,"SESAC Holdco II LLC, L+875, 8/8/19",Broadcasting &  Entertainment,10750,10887,11019
52,"Smart & Final Stores LLC, L+925, 11/8/20",Grocery,12392,12046,12640
53,"Sprint Industrial Holdings, LLC, L+1000, 11/14/19","Containers,  Packaging, and  Glass",13500,13239,13613
54,"SquareTwo Financial Corp. (Collect America), 11.625%, 4/1/17 ‡",Financial Services,51079,49617,53888
55,"Transfirst Holdings Inc., L+975, 6/20/18",Financial Services,64750,63195,66045
56,"TriNet HR Corporation, L+775, 2/12/21",Business Services,7130,6988,6961
57,"U.S. Renal Care, Inc., L+900, 1/3/20†",Healthcare,11927,11984,12158
58,"U.S. Renal Care, Inc., L+750, 7/3/20†",Healthcare,10100,9899,10151
59,"Valerus Compression Services, LP, 11.50%, 3/26/18",Manufacturing,40000,40000,40800
60,"Venoco, Inc., 8.875%, 2/15/19",Oil & Gas,13050,13294,13104
61,"Vertafore, Inc., L+825, 10/29/17",Business Services,49260,48933,50153
63,Unfunded Revolver Obligations- (0.4)%,,,,
64,"Advantage Sales & Marketing, Inc., (Revolver) L+400, 12/17/15 (9)",Grocery,5500,-,(413)
65,"Avaya, Inc., (Revolver) L+275, 10/26/16 (9)",Telecommunications,26185,"(4,398)","(4,255)"
66,"BMC Software Inc., (Revolver), L+400, 8/9/18 (9)",Business Services,24000,"(2,861)","(1,800)"
67,"Confie Seguros II, (Revolver), L+525, 11/9/17 (9)",Insurance,4500,(450),(405)
68,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",Telecommunications,9500,-,-
69,UNSECURED DEBT-52.8%,,,,
70,"Allied Nevada Gold Corp., 8.75%, 6/2/19   ̈  ‡","Diversified Natural  Resources, Precious  Metals and Minerals","CAD 25,357",22924,17638
71,"Altegrity, Inc., 0.00%, 8/2/16   ̈  †",Diversified Service,3545,2506,1489
72,"Altegrity, Inc., 11.75%, 5/1/16   ̈  †",Diversified Service,14639,12291,11034
73,"Altegrity, Inc., 12.00%, 11/1/15   ̈  †",Diversified Service,44000,44000,39160
74,"American Tire Distributors, Inc., 11.50%, 6/1/18   ̈",Distribution,25000,25000,25450
75,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK, 8/17/17 ‡ †",Transportation,20948,33112,33329
76,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK, 8/17/17 ‡ †",Transportation,12721,17458,16918
77,"Ceridian Corp., 12.25% Cash or 13.00% PIK, 11/15/15 †",Diversified Service,14420,14417,14612
78,"Ceridian Corp., 11.25%, 11/15/15 †",Diversified Service,35800,35803,36248
79,"Ceridian Corp., 11.00%, 3/15/21 †   ̈",Diversified Service,34000,34000,39468
80,"CRC Health Corp., 10.75%, 2/1/16",Healthcare,13000,13099,13138
81,"Delta Educational Systems, Inc., 16.00% (10.00% Cash/ 6.00% PIK), 5/12/17",Education,21043,20672,19833
82,"Denver Parent Corp.(Venoco), 12.25%, 8/15/18   ̈",Oil & Gas,25000,24338,24813
83,"Energy & Exploration Partners, Inc., 15.00%, 04/08/18",Oil & Gas,25000,22200,22250
84,"Exova Limited, 10.50%, 10/15/18   ̈  ‡ †",Business Services,18000,27142,31408
85,"Exova Limited, 10.50%, 10/15/18 ‡ †",Business Services,4655,6153,8123
86,"First Data Corp., 11.25%, 1/15/21 †   ̈",Financial Services,67000,66976,69736
87,"First Data Corp., 10.625%, 6/15/21 †   ̈",Financial Services,10000,10000,10163
89,"First Data Corp., 11.75% 8/15/21 †   ̈",Financial Services,27000,27030,25920
90,"First Data Corp., 11.25%, 3/31/16 †",Financial Services,41862,38983,41914
91,"First Data Corp., 12.625%, 1/15/21 †",Financial Services,5000,5644,5507
92,"inVentiv Health, Inc., 11.00%, 8/15/18   ̈",Healthcare,150000,150000,119625
93,"Lonestar Intermediate Super Holdings, LLC (Asurion), L+950, 9/2/19",Insurance,55125,55645,57881
94,"Niacet Corporation, 13.00%, 8/28/18",Chemicals,12500,12500,12500
95,"PetroBakken Energy Ltd. (Lightstream Resources Ltd), 8.625%, 2/1/20 ‡   ̈",Oil & Gas,66082,66960,64485
96,"Symbion Inc., 11.00%, 8/23/15",Healthcare,5483,5483,5490
97,"U.S. Security Associates Holdings, Inc., 11.00%, 7/28/18",Business Services,135000,135000,137565
