,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Health Care Services,"42 North Dental, LLC (fka Gentle Communications, LLC) (15)",Dental services provider,First lien senior secured revolving loan ($3.3 par due 5/2022),8.50% (Base Rate + 5.25%/Q),5/26/2017,3.3,3.0
1,Health Care Services,"42 North Dental, LLC (fka Gentle Communications, LLC) (15)",Dental services provider,First lien senior secured revolving loan ($1.8 par due 5/2022),7.57% (Libor + 6.25%/Q),5/26/2017,1.8,1.6
2,Health Care Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),"8.50% (Libor + 6.75% Cash, 0.75% PIK/Q)",1/15/2019,0.8,0.8
3,Health Care Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($24.6 par due 1/2022),,1/5/2016,24.2,14.3
4,Health Care Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,0.0
5,Health Care Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",,1/5/2016,0.0,0.0
6,Health Care Services,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,0.0
7,Health Care Services,"ADCS Billings Intermediate Holdings, LLC (15)",Dermatology practice,First lien senior secured revolving loan ($5.0 par due 5/2022),6.75% (Libor + 5.75%/Q),5/18/2016,5.0,4.8
8,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,First lien senior secured revolving loan ($13.8 par due 9/2022),"6.32% (Libor + 2.50% Cash, 2.75% PIK/M)",9/28/2016,13.8,11.8
9,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,Second lien senior secured loan ($97.7 par due 3/2024),,9/28/2016,89.0,68.4
10,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,"Membership units (3,000,000 units)",,9/28/2016,3.0,0.0
11,Health Care Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,First lien senior secured loan ($1.7 par due 4/2022),4.25% (Libor + 3.25%/Q),4/3/2020,1.6,1.6
12,Health Care Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),8.88% (Libor + 7.88%/Q),3/14/2018,182.7,182.7
13,Health Care Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,1.4
14,Health Care Services,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),7.50% (Libor + 6.50%/Q),5/15/2017,3.0,2.5
15,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),8.82% (Libor + 8.50%/Q),2/11/2019,210.3,206.1
16,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,"Senior preferred stock (121,810 shares)",11.31% PIK (Libor + 11.13%/M),2/11/2019,141.2,141.2
17,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),,2/11/2019,9.0,12.8
18,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($30.7 par due 7/2026),5.25% (Libor + 4.25%/Q),7/9/2019,30.7,30.4
19,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($17.0 par due 7/2026),5.25% (Libor + 4.25%/Q),9/10/2019,17.0,16.9
20,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($64.2 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,64.2,63.5
21,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($5.3 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,5.3,5.2
22,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,12.6
23,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,"Class B common units (4,211 units)",,7/9/2019,4.2,6.2
24,Health Care Services,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured revolving loan,,10/1/2018,0.0,0.0
25,Health Care Services,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured loan ($34.5 par due 10/2025),6.45% (Libor + 5.50%/Q),9/25/2018,34.2,32.1
26,Health Care Services,"Center for Autism and Related Disorders, LLC (15)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($7.8 par due 11/2023),4.89% (Libor + 4.50%/Q),11/21/2018,7.8,7.2
27,Health Care Services,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured revolving loan ($1.8 par due 2/2024),6.00% (Libor + 4.75%/Q),2/14/2018,1.8,1.6
28,Health Care Services,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured loan ($5.3 par due 2/2024),5.75% (Libor + 4.50%/Q),2/14/2018,5.3,5.0
