,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Health Care Services,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,First lien senior secured loan ($9.2 par due 9/2022),11.00% PIK (Libor + 10.00%/Q),1/5/2016,9.2,9.2
1,Health Care Services,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",,First lien senior secured loan ($16.4 par due 9/2022),11.00% PIK (Libor + 10.00%/Q),1/5/2016,16.4,16.4
2,Health Care Services,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",,"Class A pref units (14,750,000 units)",,1/5/2016,4.7,5.3
3,Health Care Services,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",,"Common units (7,200,000 units)",,1/5/2016,0.0,0.0
4,Health Care Services,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,0.0
5,Health Care Services,"ADCS Billings Intermediate Holdings, LLC (15)",Dermatology practice,First lien senior secured revolving loan ($4.8 par due 5/2022),6.75% (Libor + 5.75%/Q),5/18/2016,4.8,4.7
6,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,First lien senior secured revolving loan ($7.7 par due 9/2022),"7.50% (Libor + 1.50% Cash, 2.75% PIK/M)",9/28/2016,7.7,6.9
7,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",,Second lien senior secured loan ($103.3 par due 3/2024),,9/28/2016,89.0,77.5
8,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",,"Membership units (3,000,000 units)",,9/28/2016,3.0,0.0
9,Health Care Services,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($2.8 par due 9/2023),7.50% (Libor + 6.50%/Q),5/15/2017,2.8,2.3
10,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),8.65% (Libor + 8.50%/M),2/11/2019,210.3,210.3
11,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",,"Senior preferred stock (121,810 shares)",11.28% PIK (Libor + 11.13%/Q),2/11/2019,149.4,149.4
12,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",,Class A interests (0.39% interest),,2/11/2019,9.0,13.9
13,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured revolving loan ($0.1 par due 7/2024),5.25% (Libor + 4.25%/Q),7/9/2019,0.1,0.1
14,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",,First lien senior secured loan ($30.6 par due 7/2026),5.25% (Libor + 4.25%/Q),7/9/2019,30.6,30.6
15,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",,First lien senior secured loan ($17.0 par due 7/2026),5.25% (Libor + 4.25%/Q),9/10/2019,17.0,17.0
16,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",,Second lien senior secured loan ($64.2 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,64.2,64.2
17,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",,Second lien senior secured loan ($5.3 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,5.3,5.3
18,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,12.7
19,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",,"Class B common units (4,211 units)",,7/9/2019,4.2,8.3
20,Health Care Services,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured revolving loan,,10/1/2018,0.0,0.0
21,Health Care Services,"CCS-CMGC Holdings, Inc. (15)",,First lien senior secured loan ($34.3 par due 10/2025),5.67% (Libor + 5.50%/Q),9/25/2018,34.1,32.9
22,Health Care Services,"Center for Autism and Related Disorders, LLC (15)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($7.5 par due 11/2023),4.73% (Libor + 4.50%/Q),11/21/2018,7.5,7.1
23,Health Care Services,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured revolving loan ($1.3 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,1.3,1.3
24,Health Care Services,"Comprehensive EyeCare Partners, LLC (15)",,First lien senior secured loan ($5.3 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,5.3,5.2
25,Health Care Services,"Comprehensive EyeCare Partners, LLC (15)",,First lien senior secured loan ($1.0 par due 2/2024),8.00% (Base Rate + 4.75%/Q),2/14/2018,1.0,1.0
26,Health Care Services,"Comprehensive EyeCare Partners, LLC (15)",,First lien senior secured loan ($2.7 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,2.7,2.7
27,Health Care Services,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($3.1 par due 9/2026),6.25% (Libor + 5.25%/Q),9/4/2019,3.1,3.1
28,Health Care Services,"Convey Health Solutions, Inc.",,First lien senior secured loan ($2.3 par due 9/2026),10.00% (Libor + 9.00%/Q),4/8/2020,2.3,2.3
29,Health Care Services,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,First lien senior secured revolving loan,,10/31/2019,0.0,0.0
30,Health Care Services,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",,First lien senior secured loan ($53.2 par due 10/2025),6.25% (Libor + 5.25%/Q),10/31/2019,53.2,53.2
31,Health Care Services,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",,First lien senior secured loan ($31.3 par due 10/2025),6.25% (Libor + 5.25%/Q),10/31/2019,31.3,31.3
32,Health Care Services,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",,"Common stock (32,429 shares)",,10/31/2019,10.0,11.9
33,Health Care Services,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC",Dental services provider,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,1.0
34,Health Care Services,DCA Investment Holding LLC (15),Multi-branded dental practice management,First lien senior secured revolving loan ($5.7 par due 7/2021),6.25% (Libor + 5.25%/Q),7/2/2015,5.7,5.5
35,Health Care Services,DCA Investment Holding LLC (15),,First lien senior secured loan ($18.1 par due 7/2021),6.25% (Libor + 5.25%/Q),7/2/2015,18.1,17.6
36,Health Care Services,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.9 par due 2/2022),14.00%,2/21/2019,16.9,16.9
37,Health Care Services,"Evolent Health LLC and Evolent Health, Inc. (15)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.00% (Libor + 8.00%/Q),12/30/2019,61.2,75.9
38,Health Care Services,"Evolent Health LLC and Evolent Health, Inc. (15)",,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",,12/30/2019,5.9,7.0
39,Health Care Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.00% (Libor + 8.00%/Q),6/30/2017,34.3,34.5
40,Health Care Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",,Second lien senior secured loan ($55.0 par due 6/2025),9.00% (Libor + 8.00%/Q),1/13/2020,55.0,55.0
41,Health Care Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",,"Series A preferred stock (110,425 shares)",11.75% (Libor + 10.75%/Q),6/30/2017,166.9,166.9
42,Health Care Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",,"Class A units (14,013,303 units)",,6/30/2017,14.0,17.3
43,Health Care Services,Global Medical Response Inc,Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),8.88% (Libor + 7.88%/Q),3/14/2018,182.7,182.7
44,Health Care Services,Global Medical Response Inc,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,2.1
45,Health Care Services,"HealthEdge Software, Inc. (15)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured revolving loan,,4/9/2020,0.0,0.0
46,Health Care Services,"HealthEdge Software, Inc. (15)",,First lien senior secured loan ($47.5 par due 4/2026),7.25% (Libor + 6.25%/M),12/16/2020,47.5,47.5
47,Health Care Services,"HealthEdge Software, Inc. (15)",,First lien senior secured loan ($3.7 par due 4/2026),7.25% (Libor + 6.25%/M),4/9/2020,3.7,3.7
48,Health Care Services,"HealthEdge Software, Inc. (15)",,First lien senior secured loan ($10.7 par due 4/2026),7.25% (Libor + 6.25%/M),4/9/2020,10.7,10.7
49,Health Care Services,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),8.75% (Libor + 7.75%/Q),8/26/2016,2.5,2.5
50,Health Care Services,Hygiena Borrower LLC (15),,Second lien senior secured loan ($10.7 par due 8/2023),8.75% (Libor + 7.75%/Q),2/27/2017,10.7,10.7
51,Health Care Services,Hygiena Borrower LLC (15),,Second lien senior secured loan ($11.1 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,11.1,11.1
52,Health Care Services,Hygiena Borrower LLC (15),,Second lien senior secured loan ($0.6 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,0.6,0.6
53,Health Care Services,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured revolving loan ($0.8 par due 4/2022),,4/10/2017,0.5,0.6
54,Health Care Services,"JDC Healthcare Management, LLC (15)",,First lien senior secured loan ($29.9 par due 4/2023),,4/10/2017,27.9,23.1
55,Health Care Services,"JDC Healthcare Management, LLC (15)",,First lien senior secured loan ($4.2 par due 4/2023),,4/10/2017,3.9,3.2
56,Health Care Services,LivaNova USA Inc.,Medical device company focused on treating cardiovascular and neurological diseases,First lien senior secured loan ($42.5 par due 6/2025),7.50% (Libor + 6.50%/Q),6/10/2020,42.5,42.0
57,Health Care Services,"MB2 Dental Solutions, LLC (15)",Dental services provider,First lien senior secured revolving loan ($2.9 par due 9/2023),8.75% (Base Rate + 5.50%/Q),9/29/2017,2.9,2.9
58,Health Care Services,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($113.5 par due 7/2021),8.50% (Libor + 7.00%/M),7/26/2017,113.5,113.5
59,Health Care Services,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",,"Class A units (1,438,643 shares)",,1/17/2014,1.5,1.1
60,Health Care Services,"Minerva Surgical, Inc. (15)",Medical device company focused on women's health,First lien senior secured loan ($31.5 par due 12/2022),"11.50% (Libor + 3.50% Cash, 6.00% PIK/Q)",12/30/2019,30.7,31.5
61,Health Care Services,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),12.00% PIK (Libor + 11.00%/Q),4/19/2016,72.8,67.0
62,Health Care Services,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,0.1
63,Health Care Services,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,0.3
64,Health Care Services,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",,"Class A units (25,277 units)",,4/19/2016,2.5,0.9
65,Health Care Services,NMN Holdings III Corp. and NMN Holdings LP (15),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,,11/13/2018,0.0,0.0
66,Health Care Services,NMN Holdings III Corp. and NMN Holdings LP (15),,"Partnership units (30,000 units)",,11/13/2018,3.0,4.7
67,Health Care Services,"NueHealth Performance, LLC (15)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($11.1 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,11.1,11.0
68,Health Care Services,"NueHealth Performance, LLC (15)",,First lien senior secured loan ($1.5 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,1.5,1.5
69,Health Care Services,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($10.1 par due 9/2024),"8.50% (Libor + 5.50% Cash, 2.00% PIK/Q)",9/24/2019,10.1,9.3
70,Health Care Services,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",,First lien senior secured loan ($0.0 par due 9/2026),"8.50% (Libor + 5.50% Cash, 2.00% PIK/M)",12/31/2020,0.1,0.0
71,Health Care Services,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",,First lien senior secured loan ($42.5 par due 9/2026),"8.50% (Libor + 5.50% Cash, 2.00% PIK/M)",9/24/2019,42.5,39.1
72,Health Care Services,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",,"Class A common units (9,549,000 units)",,9/24/2019,9.5,3.2
73,Health Care Services,"OMH-HealthEdge Holdings, LLC","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($26.4 par due 10/2025),6.25% (Libor + 5.25%/Q),10/24/2019,26.4,26.4
74,Health Care Services,"OneSmile Intermediate, LLC",Dental services provider,Senior subordinated loan ($8.5 par due 10/2026),8.00% PIK,12/1/2020,8.5,7.1
75,Health Care Services,"OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,11/21/2013,1.0,0.7
76,Health Care Services,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),Veterinary hospital operator,First lien senior secured revolving loan,,3/31/2020,0.0,0.0
77,Health Care Services,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/M),3/31/2020,76.3,76.3
78,Health Care Services,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),,"Class R common units (6,004,768 units)",,3/31/2020,6.0,8.0
79,Health Care Services,"Performance Health Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($84.0 par due 8/2023),11.50% PIK (Libor + 10.50%/Q),9/2/2015,83.3,74.8
80,Health Care Services,"PetVet Care Centers, LLC",Veterinary hospital operator,First lien senior secured loan ($26.0 par due 2/2025),5.25% (Libor + 4.25%/M),10/31/2019,25.6,26.0
81,Health Care Services,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($50.0 par due 9/2022),"12.00% (Libor + 2.50% Cash, 8.50% PIK/Q)",12/18/2015,49.9,46.0
82,Health Care Services,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($12.0 par due 7/2023),3.47% (Libor + 3.25%/Q),7/10/2018,12.0,11.9
83,Health Care Services,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),,First lien senior secured loan ($10.7 par due 7/2025),3.75% (Libor + 3.50%/Q),7/10/2018,10.7,10.6
84,Health Care Services,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),,Second lien senior secured loan ($67.1 par due 7/2026),7.75% (Libor + 7.50%/Q),7/10/2018,66.6,67.1
85,Health Care Services,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),,"Class A units (9,775 units)",,7/10/2018,9.8,14.4
86,Health Care Services,Project Ruby Ultimate Parent Corp.,Provider of care coordination and transition management software solutions,First lien senior secured loan ($1.6 par due 2/2024),5.25% (Libor + 4.25%/Q),12/31/2020,1.6,1.6
87,Health Care Services,Project Ruby Ultimate Parent Corp.,,Second lien senior secured loan ($1.4 par due 2/2025),9.25% (Libor + 8.25%/Q),12/31/2020,1.4,1.4
88,Health Care Services,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0.0,0.0
89,Health Care Services,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (15)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured loan ($38.1 par due 7/2026),8.25% (Libor + 6.75%/Q),7/20/2020,38.1,37.4
