,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($19.1 par due 1/2022),,1/5/2016,19.1,11.8
1,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,First lien senior secured loan ($5.1 par due 1/2022),,1/5/2016,5.1,3.1
2,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,0.0
3,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"Class A common units (4,000,000 units)",,1/5/2016,0.0,0.0
4,Healthcare Services,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,0.0
5,Healthcare Services,"ADCS Billings Intermediate Holdings, LLC (19)",Dermatology practice,First lien senior secured revolving loan ($1.3 par due 5/2022),10.25% (Base Rate + 4.75%/Q),5/18/2016,1.3,1.2
6,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (19)",Dental services provider,First lien senior secured revolving loan ($3.1 par due 9/2022),7.27% (Libor + 4.75%/M),9/28/2016,3.1,3.0
7,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (19)",,First lien senior secured revolving loan ($8.1 par due 9/2022),9.25% (Base Rate + 3.75%/M),9/28/2016,8.1,7.8
8,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (19)",,Second lien senior secured loan ($87.5 par due 3/2024),11.88% (Libor + 9.00%/Q),9/28/2016,87.5,77.0
9,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (19)",,"Membership units (3,000,000 units)",,9/28/2016,3.0,1.0
10,Healthcare Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),10.38% (Libor + 7.88%/M),3/14/2018,182.7,182.7
11,Healthcare Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,1.6
12,Healthcare Services,"Alcami Corporation and ACM Holdings I, LLC (19)",Outsourced drug development services provider,First lien senior secured revolving loan ($1.8 par due 7/2023),6.26% (Libor + 3.75%/M),7/12/2018,1.8,1.8
13,Healthcare Services,"Alcami Corporation and ACM Holdings I, LLC (19)",,First lien senior secured revolving loan ($1.7 par due 7/2023),6.21% (Libor + 3.75%/M),7/12/2018,1.7,1.7
14,Healthcare Services,"Alcami Corporation and ACM Holdings I, LLC (19)",,First lien senior secured loan ($30.1 par due 7/2025),6.71% (Libor + 4.25%/M),7/12/2018,30.0,29.8
15,Healthcare Services,"Alcami Corporation and ACM Holdings I, LLC (19)",,Second lien senior secured loan ($77.5 par due 7/2026),10.51% (Libor + 8.00%/M),7/12/2018,76.8,76.0
16,Healthcare Services,"Alcami Corporation and ACM Holdings I, LLC (19)",,"Common units (3,269,900 units)",,7/12/2018,32.7,26.1
17,Healthcare Services,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),9.02% (Libor + 6.50%/M),5/15/2017,3.0,2.5
18,Healthcare Services,"American Academy Holdings, LLC (19)","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals",First lien senior secured revolving loan ($0.9 par due 12/2022),9.05% (Libor + 6.25%/Q),12/15/2017,0.9,0.9
19,Healthcare Services,"American Academy Holdings, LLC (19)",,First lien senior secured loan ($85.8 par due 12/2022),9.05% (Libor + 6.25%/Q),12/15/2017,85.8,85.8
20,Healthcare Services,"American Academy Holdings, LLC (19)",,First lien senior secured loan ($92.4 par due 12/2022),9.05% (Libor + 6.25%/Q),12/15/2017,92.4,92.4
21,Healthcare Services,"American Academy Holdings, LLC (19)",,Senior subordinated loan ($79.9 par due 6/2023),"16.33% (Libor + 8.00% Cash, 6.00% PIK/Q)",12/15/2017,79.9,79.9
22,Healthcare Services,Bambino CI Inc. (19),Manufacturer and provider of single-use obstetrics products,First lien senior secured revolving loan ($0.3 par due 12/2023),7.93% (Libor + 5.50%/M),10/17/2017,0.3,0.3
23,Healthcare Services,Bambino CI Inc. (19),,First lien senior secured loan ($2.5 par due 12/2024),8.02% (Libor + 5.50%/M),10/17/2017,2.5,2.5
24,Healthcare Services,Bambino CI Inc. (19),,First lien senior secured loan ($30.9 par due 12/2024),8.02% (Libor + 5.50%/M),10/17/2017,30.9,30.9
25,Healthcare Services,"Care Hospice, Inc (19)",Provider of hospice services,First lien senior secured revolving loan ($0.3 par due 4/2022),7.22% (Libor + 4.75%/M),2/8/2018,0.3,0.3
26,Healthcare Services,"CCS-CMGC Holdings, Inc. (19)",Correctional facility healthcare operator,First lien senior secured revolving loan ($1.9 par due 10/2023),8.02% (Libor + 5.50%/M),10/1/2018,1.9,1.8
27,Healthcare Services,"CCS-CMGC Holdings, Inc. (19)",,First lien senior secured loan ($35.0 par due 10/2025),8.02% (Libor + 5.50%/M),9/25/2018,34.7,34.8
28,Healthcare Services,"Center for Autism and Related Disorders, LLC (19)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan,0,11/21/2018,0.0,0.0
29,Healthcare Services,"Comprehensive EyeCare Partners, LLC (19)",Vision care practice management company,First lien senior secured revolving loan ($0.2 par due 2/2024),9.00% (Base Rate + 3.50%/Q),2/14/2018,0.2,0.2
30,Healthcare Services,"Comprehensive EyeCare Partners, LLC (19)",,First lien senior secured loan ($2.4 par due 2/2024),7.30% (Libor + 4.50%/Q),2/14/2018,2.4,2.4
31,Healthcare Services,"Comprehensive EyeCare Partners, LLC (19)",,First lien senior secured loan ($5.4 par due 2/2024),7.30% (Libor + 4.50%/Q),2/14/2018,5.4,5.4
32,Healthcare Services,CSHM LLC (7),Dental services provider,"Class A membership units (1,979 units)",,1/3/2017,0.0,0.0
33,Healthcare Services,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (19)",Dental services provider,First lien senior secured revolving loan ($3.3 par due 12/2022),10.75% (Base Rate + 5.25%/Q),12/21/2016,3.3,3.3
34,Healthcare Services,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (19)",,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,1.3
35,Healthcare Services,Datix Bidco Limited (8),Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($5.8 par due 4/2025),7.28% (Libor + 4.50%/S),4/27/2018,5.7,5.8
36,Healthcare Services,"DCA Investment Holding, LLC (19)",Multi-branded dental practice management,First lien senior secured revolving loan ($0.4 par due 7/2021),9.75% (Base Rate + 4.25%/Q),7/2/2015,0.4,0.4
37,Healthcare Services,"DCA Investment Holding, LLC (19)",,First lien senior secured loan ($18.5 par due 7/2021),8.05% (Libor + 5.25%/Q),7/2/2015,18.5,18.5
