,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Investment Funds and Vehicles,"Covestia Capital Partners, LP (10)",Investment partnership,Limited partnership interest (47.00% interest),,6/17/2008,487,1770
1,Investment Funds and Vehicles,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),,4/1/2010,0,128
2,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP (10)(26)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,4054,17131
3,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,0,194
4,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2655,3039
5,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment II, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,7456,11430
6,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,3355,2796
7,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,1664,1491
8,Investment Funds and Vehicles,"Senior Direct Lending Program, LLC (8)(10)(28)",Co-investment vehicle,"Subordinated certificates ($195,338 par due 12/2036)",8.86% (Libor + 8.00%/M)(22),7/27/2016,195338,195338
9,Investment Funds and Vehicles,"Senior Direct Lending Program, LLC (8)(10)(28)",Co-investment vehicle,Member interest (87.50% interest),,7/27/2016,0,0
10,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,"Subordinated certificates ($2,003,959 par due 12/2024)",8.86% (Libor + 8.00%/M)(21),10/30/2009,1938446,1899754
11,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,Member interest (87.50% interest),,10/30/2009,0,0
12,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),,1/24/2008,299,1124
13,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,,,,2153754,2134195
14,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"First lien senior secured loan ($18,750 par due 1/2022)",9.06% (Libor + 8.06%/Q),1/5/2016,18750,18188
15,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"First lien senior secured loan ($5,000 par due 1/2022)",9.06% (Libor + 8.06%/Q),1/5/2016,5000,4850
16,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",,1/5/2016,4000,1901
17,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",,1/5/2016,0,0
18,Healthcare Services,"ADCS Billings Intermediate Holdings, LLC (25)",Dermatology practice,"First lien senior secured revolving loan ($1,375 par due 5/2022)",8.25%(Base Rate + 4.75%/Q),5/18/2016,1375,1375
19,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (25)",Dental services provider,"First lien senior secured revolving loan ($2,117 par due 9/2022)",5.75% (Libor + 4.75%/Q),9/28/2016,2117,2117
20,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (25)",Dental services provider,"First lien senior secured loan ($33,388 par due 9/2023)",5.75% (Libor + 4.75%/Q),9/28/2016,33387,33387
21,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (25)",Dental services provider,"Second lien senior secured loan ($87,500 par due 3/2024)",10.00% (Libor + 9.00%/Q),9/28/2016,87500,87500
22,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (25)",Dental services provider,"Membership units (3,000,000 units)",,9/28/2016,3000,3000
23,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,12/13/2013,3087,1793
24,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),,12/13/2013,3,0
25,Healthcare Services,"Argon Medical Devices, Inc.",Manufacturer and marketer of single-use specialty medical devices,"Second lien senior secured loan ($9,000 par due 6/2022)",10.50% (Libor + 9.50%/Q),12/23/2015,8758,9000
26,Healthcare Services,AwarePoint Corporation,Healthcare technology platform developer,"First lien senior secured loan ($8,772 par due 6/2018)",10.50% (Libor + 9.50%/M),9/5/2014,8548,8772
27,Healthcare Services,AwarePoint Corporation,Healthcare technology platform developer,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock (expires 9/2024)",,11/14/2014,0,609
28,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"First lien senior secured revolving loan ($3,750 par due 7/2019)",5.00% (Libor + 4.00%/Q),7/23/2014,3750,3188
29,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"First lien senior secured revolving loan ($1,620 par due 7/2019)",6.50%(Base Rate + 3.00%/Q),7/23/2014,1620,1377
30,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"First lien senior secured loan ($6,601 par due 7/2021)",5.00% (Libor + 4.00%/Q),7/23/2014,6579,5611
