,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Investment Funds and Vehicles,"AGILE Fund I, LLC(9)",Investment partnership,Member interest (0.50% interest),,4/1/2010,121,28
1,Investment Funds and Vehicles,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 unit),,9/7/2007,1032,3014
2,Investment Funds and Vehicles,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),,6/17/2008,826,936
3,Investment Funds and Vehicles,"Dynamic India Fund IV, LLC (9)",Investment company,Member interest (5.44% interest),,4/1/2010,4822,3166
4,Investment Funds and Vehicles,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),,4/1/2010,182,343
5,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,5971,12966
6,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,1507,3953
7,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2320,2411
8,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P. (9)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,586,538
9,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,"Subordinated certificates ($1,414,988 par due 12/2022)",8.27% (Libor + 8.00%/Q)(22),10/30/2009,1411466,1436213
10,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,Member interest (87.50% interest),,10/30/2009,0,0
11,Investment Funds and Vehicles,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),,1/24/2008,604,1145
12,Investment Funds and Vehicles,VSC Investors LLC (9),Investment company,,,,1429437,1464713
13,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Senior secured loan ($7,500 par due 4/2019)",5.75% (Libor + 4.50%/Q),4/12/2013,7500,7500
14,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (7,425,000 units)",,4/12/2013,743,743
15,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (75,000 units)",,4/12/2013,7,7
16,Healthcare-Services,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,Senior secured revolving loan,0,11/16/2012,0,0
17,Healthcare-Services,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"Senior secured loan ($53,911 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,53911,53911
18,Healthcare-Services,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",,8/19/2010,602,1410
19,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Senior secured loan ($7,498 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7498,7498
20,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Senior secured loan ($7,108 par due 3/2017)",7.75% (Libor + 6.50%/Q),3/15/2011,7108,7108
21,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Class A common stock (9,679 shares)",,6/15/2007,4000,5723
22,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Class C common stock (1,546 shares)",,6/15/2007,0,1578
23,Healthcare-Services,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",,9/27/2010,1513,910
24,Healthcare-Services,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Junior secured loan ($112,000 par due 6/2019)",10.25% (Libor + 9.00%/Q),12/27/2012,112000,112000
25,Healthcare-Services,"JHP Group Holdings, Inc.",Marketer and manufacturer of branded and generic specialty pharmaceutical products,"Series A preferred stock (1,000,000 shares)",6.00% PIK,2/19/2013,1000,1455
26,Healthcare-Services,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($137,104 par due 3/2018)",9.00% (Libor + 8.00%/Q),9/15/2010,137781,137104
27,Healthcare-Services,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($57,900 par due 3/2018)",9.00% (Libor + 8.00%/Q),9/15/2010,57900,57900
28,Healthcare-Services,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"Senior secured loan ($4,825 par due 3/2018)",9.00% (Libor + 8.00%/Q),3/16/2012,4825,4825
29,Healthcare-Services,MW Dental Holding Corp.,Dental services provider,"Senior secured revolving loan ($3,500 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,3500,3500
30,Healthcare-Services,MW Dental Holding Corp.,Dental services provider,"Senior secured loan ($55,746 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,55746,55746
31,Healthcare-Services,MW Dental Holding Corp.,Dental services provider,"Senior secured loan ($49,005 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,49005,49005
32,Healthcare-Services,MW Dental Holding Corp.,Dental services provider,"Senior secured loan ($9,850 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9850,9850
33,Healthcare-Services,Napa Management Services Corporation,Anesthesia management services provider,"Senior secured revolving loan ($2,880 par due 4/2018)",6.50% (Libor + 5.25%/M),4/15/2011,2880,2880
34,Healthcare-Services,Napa Management Services Corporation,Anesthesia management services provider,"Senior secured loan ($23,615 par due 4/2018)",6.50% (Libor + 5.25%/M),4/15/2011,23615,23615
35,Healthcare-Services,Napa Management Services Corporation,Anesthesia management services provider,"Senior secured loan ($33,434 par due 4/2018)",6.50% (Libor + 5.25%/M),4/15/2011,33364,33434
36,Healthcare-Services,Napa Management Services Corporation,Anesthesia management services provider,"Common units (5,000 units)",,4/15/2011,5000,6486
37,Healthcare-Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,Senior secured loan ($232 par due 12/2017),8.25% (Base Rate + 5.00%/Q),12/18/2012,232,232
38,Healthcare-Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,Senior secured loan ($40 par due 12/2017),8.25% (Base Rate + 5.00%/Q),12/18/2012,40,40
39,Healthcare-Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Senior secured loan ($36,725 par due 12/2017)",7.25% (Libor + 6.00%/Q),12/18/2012,36725,36725
40,Healthcare-Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Senior secured loan ($2,847 par due 12/2017)",7.25% (Libor + 6.00%/Q),12/18/2012,2847,2847
41,Healthcare-Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Common stock (2,500,000 shares)",,6/21/2010,2500,2441
42,Healthcare-Services,OnCURE Medical Corp.,Radiation oncology care provider,"Common stock (857,143 shares)",,8/18/2006,3000,0
43,Healthcare-Services,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Series A preferred stock (1,594,457 shares)",10.00% PIK,7/30/2008,5312,6417
44,Healthcare-Services,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Common stock (16,106 shares)",,7/30/2008,100,0
45,Healthcare-Services,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Junior secured loan ($21,316 par due 10/2018)",8.25% (Libor + 7.00%/Q),4/19/2012,21316,21316
46,Healthcare-Services,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system",Preferred stock (333 shares),,3/12/2008,125,16
47,Healthcare-Services,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Common stock (16,667 shares)",,3/12/2008,167,792
48,Healthcare-Services,"POS I Corp. (fka Vantage Oncology, Inc.)",Radiation oncology care provider,"Common stock (62,157 shares)",,2/3/2011,4670,2357
49,Healthcare-Services,"RCHP, Inc.",Operator of general acute care hospitals,"Senior secured loan ($14,963 par due 11/2018)",7.00% (Libor + 5.75%/Q),11/4/2011,14963,14963
50,Healthcare-Services,"RCHP, Inc.",Operator of general acute care hospitals,"Senior secured loan ($60,823 par due 11/2018)",7.00% (Libor + 5.75%/Q),11/4/2011,60799,60823
51,Healthcare-Services,"RCHP, Inc.",Operator of general acute care hospitals,"Junior secured loan ($85,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,85000,85000
52,Healthcare-Services,"Reed Group, Ltd.",Medical disability management services provider,Equity interests,,4/1/2010,0,0
53,Healthcare-Services,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Senior secured loan ($5,000 par due 7/2015)",11.00%,6/28/2012,4978,5000
54,Healthcare-Services,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrants to purchase up to 99,094 shares of Series C preferred stock",,6/26/2012,38,15
55,Healthcare-Services,"Sage Products Holdings III, LLC",Patient infection control and preventive care solutions provider,"Junior secured loan ($75,000 par due 6/2020)",9.25% (Libor + 8.00%/Q),12/13/2012,75000,75000
56,Healthcare-Services,"Sorbent Therapeutics, Inc.",Orally-administered drug developer,"Senior secured loan ($6,500 par due 9/2016)",10.25%,4/23/2013,6500,6435
57,Healthcare-Services,"Sorbent Therapeutics, Inc.",Orally-administered drug developer,"Warrant to purchase up to 727,272 shares of Series C Preferred Stock",,4/23/2013,0,5
58,Healthcare-Services,"Soteria Imaging Services, LLC (6)",Outpatient medical,"Junior secured loan ($2,504",,4/1/2010,2037,682
59,Healthcare-Services,"Soteria Imaging Services, LLC (6)",imaging provider,"par due 11/2010) Preferred member units (1,823,179 units)",,4/1/2010,0,0
60,Healthcare-Services,"SurgiQuest, Inc.",Medical device company,"Senior secured loan ($7,000 par due 10/2016)",10.00%,9/28/2012,6823,7000
61,Healthcare-Services,"SurgiQuest, Inc.",Medical device company,"Warrants to purchase up to 54,672 shares of Series D-4 convertible preferred stock",,9/28/2012,0,0
62,Healthcare-Services,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"Senior secured loan ($14,925 par due 12/2018)",6.50% (Libor + 5.50%/Q),12/27/2012,14925,14925
63,Healthcare-Services,"Young Innovations, Inc.",Dental supplier and equipment manufacturer,Senior secured loan ($78 par due 1/2019),6.75% (Base Rate + 3.50%/Q),1/31/2013,78,78
64,Healthcare-Services,"Young Innovations, Inc.",Dental supplier and equipment manufacturer,Senior secured loan ($115 par due 1/2019),6.75% (Base Rate + 3.50%/Q),1/31/2013,115,115
