,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Investment Funds and Vehicles,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 units),,9/7/2007,759,3518
1,Investment Funds and Vehicles,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),,6/17/2008,487,1141
2,Investment Funds and Vehicles,"Dynamic India Fund IV, LLC (8)(9)",Investment company,Member interest (5.44% interest),,4/1/2010,4822,5067
3,Investment Funds and Vehicles,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),,4/1/2010,112,385
4,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP (9)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,5134,17921
5,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,1403,3498
6,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P. (9)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2244,2383
7,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment, L.P. (9)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,2042,2042
8,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P. (9)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,838,779
9,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,"Subordinated certificates ($1,938,046 par due 12/2024)",8.23% (Libor + 8.00%/Q)(27),10/30/2009,1938046,1967117
10,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (7)(10),Co-investment vehicle,Membership interest (87.50% interest),,10/30/2009,0,0
11,Investment Funds and Vehicles,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),,1/24/2008,868,1479
12,Investment Funds and Vehicles,VSC Investors LLC (9),Investment company,,,,1956755,2005330
13,Healthcare-Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,12/13/2013,3087,2702
14,Healthcare-Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),,12/13/2013,3,27
15,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (8,218,160 units)",,4/12/2013,822,729
16,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (83,010 units)",,4/12/2013,8,6
17,Healthcare-Services,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"First lien senior secured loan ($48,902 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,48902,48902
18,Healthcare-Services,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",,8/19/2010,602,1608
19,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Class A common stock (9,679 shares)",,6/15/2007,2543,3325
20,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Class C common stock (1,546 shares)",,6/15/2007,0,531
21,Healthcare-Services,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($5,000 par due 10/2017)",9.25%,3/21/2014,4766,5000
22,Healthcare-Services,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($5,000 par due 2/2018)",9.25%,3/21/2014,4752,5000
23,Healthcare-Services,"DNAnexus, Inc.",Bioinformatics company,"Warrants to purchase up to 909,092 units of Series C preferred stock",,3/21/2014,0,0
24,Healthcare-Services,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"First lien senior secured loan ($10,000 par due 4/2017)",8.00%,9/30/2013,9830,10000
25,Healthcare-Services,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"Common stock (37,250 shares)",,2/10/2014,0,698
26,Healthcare-Services,"GI Advo Opco, LLC",Behavioral treatment services provider,"First lien senior secured loan ($14,381 par due 6/2017)",6.00% (Libor + 4.75%/Q),12/13/2013,14745,14381
27,Healthcare-Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"First lien senior secured loan ($125,000 par due 3/2020)",10.00% (Libor + 9.00%/Q),3/11/2014,123871,125000
28,Healthcare-Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"Class A common stock (2,475 shares)",,3/11/2014,2475,2475
29,Healthcare-Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,Class B common stock (938 shares),,3/11/2014,25,146
30,Healthcare-Services,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",,9/27/2010,1512,2107
31,Healthcare-Services,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2020)",9.25% (Libor + 8.25%/Q),12/27/2012,112000,112000
32,Healthcare-Services,"LM Acquisition Holdings, LLC (8)",Developer and manufacturer of medical equipment,Class A units (426 units),,9/27/2013,1000,1407
33,Healthcare-Services,"MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,000,000 shares)",,1/17/2014,1000,1089
34,Healthcare-Services,"Monte Nido Holdings, LLC",Outpatient eating disorder treatment provider,"First lien senior secured loan ($44,750 par due 12/2019)",7.75% (Libor + 6.75%/Q),12/20/2013,44750,44750
35,Healthcare-Services,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($36,912 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,36912,36912
