,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($18.8 par due 1/2022),9.63% (Libor + 8.30%/Q),1/5/2016,18.8,18.2
1,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,First lien senior secured loan ($5.0 par due 1/2022),9.63% (Libor + 8.30%/Q),1/5/2016,5.0,4.8
2,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,1.4
3,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"Class A common units (4,000,000 units)",,1/5/2016,0.0,0.0
4,Healthcare Services,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,0.1
5,Healthcare Services,"ADCS Billings Intermediate Holdings, LLC (20)",Dermatology practice,First lien senior secured revolving loan ($4.8 par due 5/2022),9.00% (Base Rate + 4.75%/Q),5/18/2016,4.8,4.7
6,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (20)",Dental services provider,First lien senior secured revolving loan ($8.0 par due 9/2022),6.00% (Libor + 4.75%/Q),9/28/2016,8.0,7.8
7,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (20)",,First lien senior secured revolving loan ($3.0 par due 9/2022),8.00% (Base Rate + 3.75%/Q),9/28/2016,3.0,2.9
8,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (20)",,Second lien senior secured loan ($87.5 par due 3/2024),10.25% (Libor + 9.00%/Q),9/28/2016,87.5,84.0
9,Healthcare Services,"ADG, LLC and RC IV GEDC Investor LLC (20)",,"Membership units (3,000,000 units)",,9/28/2016,3.0,2.3
10,Healthcare Services,"Alcami Holdings, LLC (8)(20)",Outsourced drug development services provider,First lien senior secured revolving loan ($23.6 par due 10/2019),6.74% (Libor + 5.50%/Q),1/3/2017,23.6,23.6
11,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,First lien senior secured loan ($10.0 par due 10/2020),6.74% (Libor + 5.50%/Q),1/3/2017,10.0,10.0
12,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,First lien senior secured loan ($96.2 par due 10/2020),6.74% (Libor + 5.50%/Q),1/3/2017,96.2,96.2
13,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,Senior subordinated loan ($34.8 par due 10/2020),14.75%,1/3/2017,34.8,34.8
14,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,Senior subordinated loan ($35.2 par due 10/2020),15.25%,1/3/2017,20.7,35.2
15,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,Senior subordinated loan ($25.0 par due 10/2020),12.25%,1/3/2017,25.0,25.0
16,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,Senior subordinated loan ($30.0 par due 10/2020),11.75%,1/3/2017,30.0,30.0
17,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,Senior subordinated loan ($30.0 par due 10/2020),12%,1/3/2017,30.0,30.0
18,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,"Series R preferred membership units (30,000 units)",,1/3/2017,0.0,23.9
19,Healthcare Services,"Alcami Holdings, LLC (8)(20)",,"Series R-2 preferred membership units (54,936 units)",,1/3/2017,0.0,43.8
20,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,12/13/2013,3.1,2.7
21,Healthcare Services,Alegeus Technologies Holdings Corp.,,Common stock (3 shares),,12/13/2013,0.0,0.0
22,Healthcare Services,"Argon Medical Devices, Inc.",Manufacturer and marketer of single-use specialty medical devices,Second lien senior secured loan ($9.0 par due 6/2022),10.74% (Libor + 9.50%/Q),12/23/2015,8.8,9.0
23,Healthcare Services,AwarePoint Corporation,Healthcare technology platform developer,First lien senior secured loan ($8.0 par due 12/2019),13.82% (Libor + 12.50%/M),9/5/2014,7.9,7.3
24,Healthcare Services,AwarePoint Corporation,,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock (expires 9/2024)",,11/14/2014,0.0,0.4
25,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (20)",Correctional facility healthcare operator,First lien senior secured revolving loan ($4.5 par due 7/2019),5.33% (Libor + 4.00%/Q),7/23/2014,4.5,4.0
26,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (20)",,First lien senior secured loan ($6.5 par due 7/2021),5.33% (Libor + 4.00%/Q),7/23/2014,6.5,5.7
27,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (20)",,Second lien senior secured loan ($135.0 par due 7/2022),9.70% (Libor + 8.38%/Q),7/23/2014,134.2,110.7
28,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (20)",,"Class A units (1,000,000 units)",,8/19/2010,0.0,0.7
29,Healthcare Services,"Correctional Medical Group Companies, Inc.",Correctional facility healthcare operator,First lien senior secured loan ($48.8 par due 9/2021),8.79% (Libor + 7.65%/Q),9/29/2015,48.8,48.8
30,Healthcare Services,"Correctional Medical Group Companies, Inc.",,First lien senior secured loan ($3.1 par due 9/2021),8.79% (Libor + 7.65%/Q),9/29/2015,3.1,3.1
31,Healthcare Services,CSHM LLC (8),Dental services provider,"Class A membership units (1,979 units)",,1/3/2017,0.0,0.0
32,Healthcare Services,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (20)",Dental services provider,First lien senior secured revolving loan ($1.2 par due 12/2022),7.56% (Libor + 6.25%/Q),12/21/2016,1.2,1.2
33,Healthcare Services,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (20)",,First lien senior secured revolving loan ($1.3 par due 12/2022),9.50% (Base Rate + 5.25%/Q),12/21/2016,1.3,1.3
34,Healthcare Services,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (20)",,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,1.0
35,Healthcare Services,"DCA Investment Holding, LLC (20)",Multi-branded dental practice management,First lien senior secured revolving loan ($2.8 par due 7/2021),8.50% (Base Rate + 4.25%/Q),7/2/2015,2.8,2.7
36,Healthcare Services,"DCA Investment Holding, LLC (20)",,First lien senior secured loan ($18.8 par due 7/2021),6.58% (Libor + 5.25%/Q),7/2/2015,18.7,18.2
37,Healthcare Services,"DNAnexus, Inc.",Bioinformatics company,"Warrant to purchase up to 909,092 units of Series C preferred stock (expires 3/2024)",,3/21/2014,0.0,0.1
38,Healthcare Services,Drayer Physical Therapy Institute LLC,Outpatient physical therapy provider,First lien senior secured loan ($12.3 par due 7/2018),8.99% (Libor + 7.75%/Q),7/26/2017,12.3,12.3
39,Healthcare Services,Drayer Physical Therapy Institute LLC,,First lien senior secured loan ($114.6 par due 7/2018),8.99% (Libor + 7.75%/Q),7/26/2017,114.6,114.6
40,Healthcare Services,"Emerus Holdings, Inc. (20)",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured revolving loan ($0.3 par due 9/2020),7.75% (Base Rate + 3.50%/Q),3/14/2017,0.3,0.3
41,Healthcare Services,"Emerus Holdings, Inc. (20)",,First lien senior secured loan ($2.3 par due 9/2021),5.74% (Libor + 4.50%/Q),3/14/2017,2.0,2.0
42,Healthcare Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($96.5 par due 6/2025),9.33% (Libor + 8.00%/Q),6/30/2017,95.8,95.5
43,Healthcare Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",,"Series A perpetual preferred stock (110,338 shares)",12.08% PIK (Libor + 10.75%/Q),6/30/2017,113.7,113.7
44,Healthcare Services,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",,"Class A units (13,925,993 units)",,6/30/2017,13.9,14.7
45,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (20)",Software provider for clinical trial management,First lien senior secured revolving loan ($1.0 par due 12/2018),8.00% (Base Rate + 3.75%/Q),12/19/2014,1.0,1.0
46,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (20)",,First lien senior secured loan ($1.5 par due 9/2020),9.30% (Libor + 8.00%/M),12/19/2014,1.5,1.5
47,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (20)",,First lien senior secured loan ($2.7 par due 12/2018),9.30% (Libor + 8.00%/M),12/19/2014,2.7,2.7
48,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (20)",,Limited partnership interest (99.90% interest),,12/19/2014,1.0,2.3
49,Healthcare Services,"Heartland Dental, LLC",Detanl services provider,Second lien senior secured loan ($27.8 par due 7/2024),9.82% (Libor + 8.50%/Q),7/31/2017,27.4,27.8
50,Healthcare Services,Hygiena Borrower LLC (20),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($10.7 par due 8/2023),10.33% (Libor + 9.00%/Q),2/27/2017,10.7,10.7
51,Healthcare Services,Hygiena Borrower LLC (20),,Second lien senior secured loan ($10.0 par due 8/2023),10.33% (Libor + 9.00%/Q),8/26/2016,10.0,10.0
52,Healthcare Services,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,First lien senior secured loan ($107.5 par due 12/2019),5.93% (Libor + 4.75%/Q),7/26/2017,116.8,115.6
53,Healthcare Services,Intermedix Corporation,,First lien senior secured loan ($121.7 par due 12/2019),6.07% (Libor + 4.75%/Q),7/26/2017,132.2,130.9
54,Healthcare Services,Intermedix Corporation,,Second lien senior secured loan ($112.0 par due 6/2020),9.58% (Libor + 8.25%/Q),12/27/2012,112.0,108.6
55,Healthcare Services,"Island Medical Management Holdings, LLC",Provider of physician management services,First lien senior secured loan ($3.5 par due 9/2022),7.00% (Libor + 5.50%/Q),5/15/2017,3.5,3.4
56,Healthcare Services,"JDC Healthcare Management, LLC (20)",Dental services provider,First lien senior secured revolving loan ($1.5 par due 4/2022),7.49% (Libor + 6.25%/Q),4/10/2017,1.5,1.5
57,Healthcare Services,"JDC Healthcare Management, LLC (20)",,First lien senior secured loan ($10.0 par due 4/2023),7.49% (Libor + 6.25%/Q),4/10/2017,10.0,9.8
58,Healthcare Services,"JDC Healthcare Management, LLC (20)",,First lien senior secured loan ($20.0 par due 4/2023),7.49% (Libor + 6.25%/Q),4/10/2017,20.0,19.6
59,Healthcare Services,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (20)",Provider of behavioral health services,First lien senior secured revolving loan ($0.9 par due 3/2022),6.23% (Libor + 5.00%/Q),3/17/2017,0.9,0.9
60,Healthcare Services,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (20)",,First lien senior secured revolving loan ($0.4 par due 3/2022),6.24% (Libor + 5.00%/Q),3/17/2017,0.4,0.4
61,Healthcare Services,Key Surgical LLC (20),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured revolving loan ($0.9 par due 6/2022),6.07% (Libor + 4.75%/Q),6/1/2017,0.9,0.9
62,Healthcare Services,Key Surgical LLC (20),,First lien senior secured loan ($17.8 par due 6/2023),5.75% (EURIBOR + 4.75%/Q),6/1/2017,16.9,17.5
63,Healthcare Services,Key Surgical LLC (20),,First lien senior secured loan ($4.4 par due 6/2023),6.07% (Libor + 4.75%/Q),6/1/2017,4.3,4.3
64,Healthcare Services,"MB2 Dental Solutions, LLC (20)",Dental services provider,First lien senior secured loan ($4.8 par due 9/2023),6.08% (Libor + 3.75%/Q),9/29/2017,4.8,4.7
65,Healthcare Services,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($74.3 par due 1/2020),6.73% (Libor + 5.50%/Q),7/26/2017,74.3,74.3
66,Healthcare Services,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",,First lien senior secured loan ($90.0 par due 1/2020),6.74% (Libor + 5.50%/Q),7/26/2017,90.0,90.0
67,Healthcare Services,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",,"Class A units (1,438,643 shares)",,1/17/2014,1.5,1.1
68,Healthcare Services,MW Dental Holding Corp. (20),Dental services provider,First lien senior secured revolving loan ($9.7 par due 4/2018),9.00% (Libor + 7.50%/Q),4/12/2011,9.7,9.7
69,Healthcare Services,MW Dental Holding Corp. (20),,First lien senior secured loan ($44.5 par due 4/2018),9.00% (Libor + 7.50%/Q),4/12/2011,44.5,44.5
70,Healthcare Services,MW Dental Holding Corp. (20),,First lien senior secured loan ($46.9 par due 4/2018),9.00% (Libor + 7.50%/Q),4/12/2011,46.9,46.9
71,Healthcare Services,MW Dental Holding Corp. (20),,First lien senior secured loan ($19.4 par due 4/2018),9.00% (Libor + 7.50%/Q),4/12/2011,19.4,19.4
72,Healthcare Services,"My Health Direct, Inc.",Healthcare scheduling exchange software solution provider,"Warrant to purchase up to 4,548 shares of Series D preferred stock (expires 9/2024)",,9/18/2014,0.0,0.0
73,Healthcare Services,"New Trident Holdcorp, Inc.",Outsourced mobile diagnostic healthcare service provider,Second lien senior secured loan ($80.0 par due 7/2020),10.83% (Libor + 9.50%/Q),8/6/2013,79.3,62.4
74,Healthcare Services,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),11.33% (Libor + 10.00%/Q),4/19/2016,72.8,69.2
75,Healthcare Services,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",,"Class A units (25,277 units)",,4/19/2016,2.5,1.7
76,Healthcare Services,"Nodality, Inc.",Biotechnology company,First lien senior secured loan ($2.3 par due 8/2016),,11/12/2015,2.1,0.0
77,Healthcare Services,"Nodality, Inc.",,First lien senior secured loan ($10.9 par due 8/2016),,4/25/2014,9.7,0.0
78,Healthcare Services,"Nodality, Inc.",,"Warrant to purchase up to 3,736,255 shares of common stock (expires 3/2026)",,5/1/2016,0.0,0.0
79,Healthcare Services,NSM Sub Holdings Corp. (20),"Provider of customized mobility, rehab and adaptive seating systems",First lien senior secured revolving loan ($0.9 par due 10/2022),8.25% (Base Rate + 4.00%/Q),9/28/2017,0.9,0.9
80,Healthcare Services,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,Second lien senior secured loan ($10.0 par due 4/2023),10.99% (Libor + 9.75%/Q),4/20/2016,9.7,10.0
81,Healthcare Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (20)",Provider of technology-enabled solutions to pharmacies,First lien senior secured loan ($5.9 par due 11/2018),8.83% (Libor + 7.50%/Q),11/21/2013,5.9,5.9
82,Healthcare Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (20)",,Limited liability company membership interest (1.57%),,11/21/2013,1.0,0.6
83,Healthcare Services,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($78.0 par due 8/2023),10.00% (Libor + 8.50%/Q),9/2/2015,76.3,74.9
84,Healthcare Services,"PerfectServe, Inc.",Communications software platform provider for hospitals and physician practices,First lien senior secured loan ($16.0 par due 4/2021),10.30% (Libor + 9.00%/M),4/5/2017,14.8,16.0
85,Healthcare Services,"PerfectServe, Inc.",,First lien senior secured loan ($2.0 par due 4/2021),10.32% (Libor + 9.00%/M),4/5/2017,2.0,2.0
86,Healthcare Services,"PerfectServe, Inc.",,First lien senior secured loan ($2.0 par due 4/2021),10.32% (Libor + 9.00%/M),4/5/2017,2.0,2.0
87,Healthcare Services,"PerfectServe, Inc.",,"Warrant to purchase up to 128,480 shares of Series C preferred stock (expires 4/2027)",,4/5/2017,1.0,0.7
88,Healthcare Services,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),10.07% (Libor + 8.75%/Q),12/18/2015,46.7,45.3
89,Healthcare Services,"Practice Insight, LLC (20)",Revenue cycle management provider to the emergency healthcare industry,First lien senior secured revolving loan ($0.6 par due 8/2022),8.25% (Base Rate + 4.00%/Q),8/23/2017,0.6,0.6
90,Healthcare Services,"Practice Insight, LLC (20)",,First lien senior secured loan ($12.7 par due 8/2022),6.24% (Libor + 5.00%/Q),8/23/2017,12.7,12.7
91,Healthcare Services,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0.0,0.0
92,Healthcare Services,"Sarnova HC, LLC, Tri-Anim Health Services, Inc., and BEMS Holdings, LLC",Distributor of emergency medical service and respiratory products,Second lien senior secured loan ($54.0 par due 7/2022),10.74% (Libor + 9.50%/Q),1/29/2016,54.0,54.0
