,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Health Care Services,"42 North Dental, LLC (fka Gentle Communications, LLC) (16)",Dental services provider,First lien senior secured revolving loan ($1.5 par due 5/2022),8.50% (Base Rate + 5.25%/Q),5/26/2017,1.5,1.4
1,Health Care Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),8.50% (Libor + 7.50%/Q),1/15/2019,0.8,0.8
2,Health Care Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($24.6 par due 1/2022),,1/5/2016,24.2,11.5
3,Health Care Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,0.0
4,Health Care Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"Class A common units (4,000,000 units)",,1/5/2016,0.0,0.0
5,Health Care Services,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,0.0
6,Health Care Services,"ADCS Billings Intermediate Holdings, LLC (16)",Dermatology practice,First lien senior secured revolving loan ($5.0 par due 5/2022),6.79% (Libor + 5.75%/Q),5/18/2016,5.0,4.8
7,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,First lien senior secured revolving loan ($13.7 par due 9/2022),"6.82% (Libor + 3.00% Cash, 2.75% PIK/Q)",9/28/2016,13.7,11.8
8,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,Second lien senior secured loan ($94.9 par due 3/2024),,9/28/2016,89.0,66.4
9,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,"Membership units (3,000,000 units)",,9/28/2016,3.0,0.0
10,Health Care Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),9.49% (Libor + 7.88%/Q),3/14/2018,182.7,177.2
