,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Investment Funds and Vehicles,"Covestia Capital Partners, LP (10)",Investment partnership,Limited partnership interest (47.00% interest),,6/17/2008,487,1863
1,Investment Funds and Vehicles,"HCI Equity, LLC (8)(9)(10)",Investment company,Member interest (100.00% interest),,4/1/2010,0,127
2,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP (10)(26)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,4054,15343
3,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P. (10)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,0,692
4,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2451,3289
5,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment II, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,10/31/2014,6548,8316
6,Investment Funds and Vehicles,"PCG-Ares Sidecar Investment, L.P. (10)(26)",Investment partnership,Limited partnership interest (100.00% interest),,5/22/2014,2178,215
7,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P. (10)(26)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,1626,1639
8,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(27),Co-investment vehicle,"Subordinated certificates ($2,003,959 par due 12/2024)",8.63% (Libor + 8.00%/M) (22),10/30/2009,1938446,1889734
9,Investment Funds and Vehicles,Senior Secured Loan Fund LLC (8)(11)(27),,Member interest (87.50% interest),,10/30/2009,0,0
10,Investment Funds and Vehicles,VSC Investors LLC (10),Investment company,Membership interest (1.95% interest),,1/24/2008,299,1158
11,Investment Funds and Vehicles,VSC Investors LLC (10),,,,,1956089,1922376
12,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,"First lien senior secured loan ($18,750 par due 1/2022)",9.27% (Libor + 8.27%/Q),1/5/2016,18750,18750
13,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"First lien senior secured loan ($5,000 par due 1/2022)",9.27% (Libor + 8.27%/Q),1/5/2016,5000,5000
14,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"Class A preferred units (4,000,000 units)",,1/5/2016,4000,4000
15,Healthcare Services,"Absolute Dental Management LLC and ADM Equity, LLC",,"Class A common units (4,000,000 units)",,1/5/2016,0,0
16,Healthcare Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,12/13/2013,3087,1782
17,Healthcare Services,Alegeus Technologies Holdings Corp.,,Common stock (3 shares),,12/13/2013,3,0
18,Healthcare Services,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($8,810 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,8810,8810
19,Healthcare Services,"American Academy Holdings, LLC",,"First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,52039,52039
20,Healthcare Services,"American Academy Holdings, LLC",,"First lien senior secured loan ($2,801 par due 6/2019)",4.00% (Libor + 3.00%/Q),6/27/2014,2801,2801
21,Healthcare Services,"Argon Medical Devices, Inc.",Manufacturer and marketer of single-use specialty medical devices,"Second lien senior secured loan ($9,000 par due 6/2022)",10.50% (Libor + 9.50%/Q),12/23/2015,8740,9000
22,Healthcare Services,AwarePoint Corporation,Healthcare technology platform developer,"First lien senior secured loan ($9,474 par due 6/2018)",9.50%,9/5/2014,9418,9474
23,Healthcare Services,AwarePoint Corporation,,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock",,11/14/2014,0,609
24,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",Correctional facility healthcare operator,"First lien senior secured revolving loan ($3,750 par due 7/2019)",5.00% (Libor + 4.00%/Q),7/23/2014,3750,3487
25,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",,"First lien senior secured revolving loan ($1,500 par due 7/2019)",6.50%(Base Rate + 3.00%/Q),7/23/2014,1500,1395
26,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",,"First lien senior secured loan ($6,635 par due 7/2021)",5.00% (Libor + 4.00%/Q),7/23/2014,6610,6170
27,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",,"Second lien senior secured loan ($135,000 par due 7/2022)",9.38% (Libor + 8.38%/Q),7/23/2014,133932,121500
28,Healthcare Services,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (25)",,"Class A units (601,937 units)",,8/19/2010,0,661
29,Healthcare Services,"Correctional Medical Group Companies, Inc. (25)",Correctional facility healthcare operator,"First lien senior secured loan ($3,088 par due 9/2021)",9.59% (Libor + 8.59%/Q),9/29/2015,3088,3088
30,Healthcare Services,"Correctional Medical Group Companies, Inc. (25)",,"First lien senior secured loan ($4,093 par due 9/2021)",9.59% (Libor + 8.59%/Q),9/29/2015,4093,4093
31,Healthcare Services,"Correctional Medical Group Companies, Inc. (25)",,"First lien senior secured loan ($44,707 par due 9/2021)",9.59% (Libor + 8.59%/Q),9/29/2015,44707,44707
32,Healthcare Services,"DCA Investment Holding, LLC (25)",Multi-branded dental practice management,"First lien senior secured revolving loan ($1,605 par due 7/2021)",7.75%(Base Rate + 4.25%/Q),7/2/2015,1605,1572
33,Healthcare Services,"DCA Investment Holding, LLC (25)",,"First lien senior secured loan ($19,041 par due 7/2021)",6.25% (Libor + 5.25%/Q),7/2/2015,18887,18660
34,Healthcare Services,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($10,500 par due 10/2018)",9.25% (Libor + 8.25%/M),3/21/2014,10232,10500
35,Healthcare Services,"DNAnexus, Inc.",,"Warrant to purchase up to 909,092 units of Series C preferred stock",,3/21/2014,0,250
36,Healthcare Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"Class A common stock (2,991 shares)",,3/11/2014,2991,2991
37,Healthcare Services,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",,Class B common stock (980 shares),,3/11/2014,30,4735
38,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (25)",Software provider for clinical trial management,"First lien senior secured loan ($4,000 par due 12/2018)",9.00% (Libor + 8.00%/M),12/19/2014,4000,4000
39,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (25)",,Limited partnership interest (99.90% interest),,12/19/2014,999,999
40,Healthcare Services,"INC Research Mezzanine Co-Invest, LLC",Pharmaceutical and biotechnology consulting services,"Common units (1,410,000 units)",,9/27/2010,0,2796
41,Healthcare Services,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2020)",9.25% (Libor + 8.25%/Q),12/27/2012,112000,107520
42,Healthcare Services,"LM Acquisition Holdings, LLC (9)",Developer and manufacturer of medical equipment,Class A units (426 units),,9/27/2013,660,1725
43,Healthcare Services,"MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,338,314 shares)",,1/17/2014,1338,1352
44,Healthcare Services,MW Dental Holding Corp. (25),Dental services provider,"First lien senior secured revolving loan ($2,000 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,2000,2000
45,Healthcare Services,MW Dental Holding Corp. (25),,"First lien senior secured loan ($50,219 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,50219,50219
46,Healthcare Services,MW Dental Holding Corp. (25),,"First lien senior secured loan ($47,620 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,47620,47620
47,Healthcare Services,MW Dental Holding Corp. (25),,"First lien senior secured loan ($19,693 par due 4/2018)",8.50% (Libor + 7.00%/Q),4/12/2011,19693,19693
