,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Investment Funds and Vehicles,"CIC Flex, LP(9)",Investment partnership,Limited partnership units (0.94 units),,9/7/2007,867,2851
1,Investment Funds and Vehicles,"Covestia Capital Partners, LP(9)",Investment partnership,Limited partnership interest (47.00% interest),,6/17/2008,826,1177
2,Investment Funds and Vehicles,"Dynamic India Fund IV, LLC(9)",Investment company,Member interest (5.44% interest),,4/1/2010,4822,3285
3,Investment Funds and Vehicles,"HCI Equity, LLC(7)(8)(9)",Investment company,Member interest (100.00% interest),,4/1/2010,112,334
4,Investment Funds and Vehicles,"Imperial Capital Private Opportunities, LP(9)",Investment partnership,Limited partnership interest (80.00% interest),,5/10/2007,3315,10231
5,Investment Funds and Vehicles,"Partnership Capital Growth Fund I, L.P.(9)",Investment partnership,Limited partnership interest (25.00% interest),,6/16/2006,1411,3939
6,Investment Funds and Vehicles,"Partnership Capital Growth Investors III, L.P.(9)",Investment partnership,Limited partnership interest (2.50% interest),,10/5/2011,2804,2588
7,Investment Funds and Vehicles,"Piper Jaffray Merchant Banking Fund I, L.P.(9)",Investment partnership,Limited partnership interest (2.00% interest),,8/16/2012,632,563
8,Investment Funds and Vehicles,Senior Secured Loan Fund LLC(7)(10),Co-investment vehicle,"Subordinated certificates ($1,745,192 par due 12/2024)",8.24% (Libor + 8.00%/Q)(26),10/30/2009,1745192,1771369
9,Investment Funds and Vehicles,Senior Secured Loan Fund LLC(7)(10),Co-investment vehicle,Membership interest (87.50% interest),,10/30/2009,0,0
10,Investment Funds and Vehicles,VSC Investors LLC(9),Investment company,Membership interest (1.95% interest),,1/24/2008,745,1211
11,Investment Funds and Vehicles,VSC Investors LLC(9),Investment company,,,,1760726,1797548
12,Healthcare-Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",,12/13/2013,3087,3087
13,Healthcare-Services,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),,12/13/2013,3,3
14,Healthcare-Services,"ATI Phyiscal Therapy Holdings, LLC",Outpatient rehabilitation services provider,"Class C common stock (51,005 shares)",,12/13/2013,53,53
15,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"First lien senior secured loan ($4,458 par due 4/2019)",5.75% (Libor + 4.50%/Q),4/12/2013,4458,4458
16,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (8,218,160 units)",,4/12/2013,822,855
17,Healthcare-Services,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (83,010 units)",,4/12/2013,8,9
18,Healthcare-Services,"California Forensic Medical Group, Incorporated",Correctional facility healthcare operator,"First lien senior secured loan ($53,640 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,53640,53640
19,Healthcare-Services,"CCS Group Holdings, LLC",Correctional facility healthcare operator,"Class A units (601,937 units)",,8/19/2010,602,1546
20,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC(6)",Healthcare analysis services provider,"Class A common stock (9,679 shares)",,6/15/2007,2543,4014
21,Healthcare-Services,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC(6)",Healthcare analysis services provider,"Class C common stock (1,546 shares)",,6/15/2007,0,641
22,Healthcare-Services,"Dialysis Newco, Inc.",Dialysis provider,"First lien senior secured loan ($15,509 par due 8/2020)",5.25% (Libor + 4.25%/Q),8/16/2013,15509,15509
23,Healthcare-Services,"Dialysis Newco, Inc.",Dialysis provider,"Second lien senior secured loan ($56,500 par due 2/2021)",9.75% (Libor + 8.50%/Q),8/16/2013,56500,56500
24,Healthcare-Services,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"First lien senior secured loan ($10,000 par due 4/2017)",8.00%,9/30/2013,9805,10000
25,Healthcare-Services,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"Warrant to purchase up to 689,655 shares of Series C convertible preferred stock",,9/30/2013,0,0
26,Healthcare-Services,"GI Advo Opco, LLC",Residential behavioral treatment services provider,"First lien senior secured loan ($15,005 par due 6/2017)",6.00% (Libor + 4.75%/Q),12/13/2013,15448,15455
27,Healthcare-Services,"GI Advo Opco, LLC",Residential behavioral treatment services provider,First lien senior secured loan ($13 par due 6/2017),7.00% (Base Rate + 3.75%/Q),12/13/2013,13,13
28,Healthcare-Services,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",,9/27/2010,1512,1758
29,Healthcare-Services,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2019)",10.25% (Libor + 9.00%/Q),12/27/2012,112000,112000
30,Healthcare-Services,"JHP Group Holdings, Inc.",Manufacturer of speciality pharmaceutical products,"Series A preferred stock (1,000,000 shares)",6.00% PIK,2/19/2013,272,2673
31,Healthcare-Services,"LM Acquisition Holdings, LLC(8)",Developer and manufacturer of medical equipment,Class A units (426 units),,9/27/2013,1000,1195
32,Healthcare-Services,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"First lien senior secured loan ($134,115 par due 3/2018)",9.00% (Libor + 8.00%/Q),9/15/2010,134721,135457
