,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Health Care Services,"42 North Dental, LLC (fka Gentle Communications, LLC) (15)",Dental services provider,First lien senior secured revolving loan ($5.0 par due 5/2022),7.25% (Libor + 6.25%/Q),5/26/2017,5.0,4.7
1,Health Care Services,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",Dental services provider,First lien senior secured loan ($7.5 par due 9/2022),11.00% PIK (Libor + 10.00%/Q),9/30/2020,7.5,7.5
2,Health Care Services,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",,First lien senior secured loan ($16.0 par due 9/2022),11.00% PIK (Libor + 10.00%/Q),9/30/2020,16.0,16.0
3,Health Care Services,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",,"Class A pref units (14,750,000 units)",,9/30/2020,4.7,4.7
4,Health Care Services,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(15)",,"Common units (7,200,000 units)",,9/30/2020,0.0,0.0
5,Health Care Services,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,0.0
6,Health Care Services,"ADCS Billings Intermediate Holdings, LLC (15)",Dermatology practice,First lien senior secured revolving loan ($5.0 par due 5/2022),6.75% (Libor + 5.75%/Q),5/18/2016,5.0,4.8
7,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",Dental services provider,First lien senior secured revolving loan ($13.9 par due 9/2022),"6.25% (Libor + 2.50% Cash, 2.75% PIK/M)",9/28/2016,13.9,12.1
8,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",,Second lien senior secured loan ($100.5 par due 3/2024),,9/28/2016,89.0,72.4
9,Health Care Services,"ADG, LLC and RC IV GEDC Investor LLC (15)",,"Membership units (3,000,000 units)",,9/28/2016,3.0,0.0
10,Health Care Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,First lien senior secured loan ($1.7 par due 4/2022),4.25% (Libor + 3.25%/Q),4/3/2020,1.6,1.7
11,Health Care Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",,Senior subordinated loan ($182.7 par due 3/2026),8.88% (Libor + 7.88%/Q),3/14/2018,182.7,182.7
12,Health Care Services,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,2.0
13,Health Care Services,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($2.8 par due 9/2023),7.50% (Libor + 6.50%/Q),5/15/2017,2.8,2.4
14,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Second lien senior secured loan ($210.3 par due 2/2027),8.75% (Libor + 8.50%/Q),2/11/2019,210.3,210.3
15,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",,"Senior preferred stock (121,810 shares)",11.28% PIK (Libor + 11.13%/Q),2/11/2019,145.3,145.3
16,Health Care Services,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",,Class A interests (0.39% interest),,2/11/2019,9.0,12.1
17,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($30.6 par due 7/2026),5.25% (Libor + 4.25%/Q),7/9/2019,30.6,30.6
18,Health Care Services,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",,First lien senior secured loan ($17.0 par due 7/2026),5.25% (Libor + 4.25%/Q),9/10/2019,17.0,17.0
