,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (19),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,"Class A common units (236,358 units)",0,5/11/2018,4.3,6.6
1,Achilles Acquisition LLC (19),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured loan ($8.3 par due 10/2025),6.06% (Libor + 4.00%/M),10/11/2018,8.3,8.3
2,Achilles Acquisition LLC (19),Benefits broker and outsourced workflow automation platform provider for brokers,First lien senior secured loan ($10.6 par due 10/2025),6.06% (Libor + 4.00%/M),10/11/2018,10.6,10.6
3,"Alera Group Intermediate Holdings, Inc. (19)",Insurance service provider,Second lien senior secured loan ($18.5 par due 3/2026),10.60% (Libor + 8.50%/M),3/5/2019,18.5,18.5
4,"Alera Group Intermediate Holdings, Inc. (19)",Insurance service provider,Second lien senior secured loan ($4.5 par due 3/2026),10.54% (Libor + 8.50%/M),3/5/2019,4.5,4.5
5,"Alera Group Intermediate Holdings, Inc. (19)",Insurance service provider,Second lien senior secured loan ($26.2 par due 3/2026),10.54% (Libor + 8.50%/M),3/5/2019,26.2,26.2
6,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",Provider of IP management lifecycle software,First lien senior secured loan ($4.1 par due 4/2026),5.75% (EURIBOR + 5.75%/Q),4/10/2019,4.2,4.0
7,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",Provider of IP management lifecycle software,First lien senior secured loan ($0.5 par due 4/2026),5.75% (EURIBOR + 5.75%/Q),4/10/2019,0.5,0.5
8,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",Provider of IP management lifecycle software,First lien senior secured loan ($7.4 par due 4/2026),7.86% (Libor + 5.50%/Q),4/10/2019,7.4,7.3
9,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",Provider of IP management lifecycle software,First lien senior secured loan ($0.3 par due 4/2026),7.60% (Libor + 5.50%/Q),4/10/2019,0.3,0.3
10,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (19)",Provider of IP management lifecycle software,"Limited partnership units (4,400,000 units)",0,6/13/2019,5.0,5.0
11,"Apptio, Inc. (19)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),9.56% (Libor + 7.25%/Q),1/10/2019,62.2,61.6
12,"AQ Sunshine, Inc. (19)",Specialized insurance broker,First lien senior secured revolving loan ($0.1 par due 4/2024),7.61% (Libor + 5.50%/Q),4/15/2019,0.1,0.0
13,"AQ Sunshine, Inc. (19)",Specialized insurance broker,First lien senior secured loan ($1.0 par due 4/2025),7.60% (Libor + 5.50%/Q),4/15/2019,1.0,1.0
14,"AQ Sunshine, Inc. (19)",Specialized insurance broker,First lien senior secured loan ($6.6 par due 4/2025),7.60% (Libor + 5.50%/Q),4/15/2019,6.6,6.4
15,"Avetta, LLC (19)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($36.2 par due 4/2024),7.55% (Libor + 5.50%/M),4/10/2018,36.2,36.2
16,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($42.2 par due 7/2026),6.35% (Libor + 4.25%/Q),9/10/2019,42.2,41.7
17,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($2.0 par due 7/2026),6.35% (Libor + 4.25%/Q),7/9/2019,2.0,2.0
18,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($31.0 par due 7/2026),6.35% (Libor + 4.25%/Q),7/9/2019,31.0,30.7
19,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 7/2027),10.35% (Libor + 8.25%/Q),9/10/2019,12.7,12.6
20,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($5.3 par due 7/2027),10.35% (Libor + 8.25%/Q),7/9/2019,5.3,5.2
21,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($64.2 par due 7/2027),10.35% (Libor + 8.25%/Q),7/9/2019,64.2,63.5
22,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (19)",Provider of central institutional review boards over clinical trials,"Common stock (4,211 shares)",0,7/9/2019,4.2,4.2
23,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (19)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured loan ($40.8 par due 8/2023),8.89% (Libor + 6.75%/Q),8/20/2018,40.8,40.8
24,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (19)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,"Series A preferred stock (150,000 shares)",0,9/26/2018,1.5,1.8
25,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",0,7/23/2014,0.0,0.0
26,"Clearwater Analytics, LLC (19)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan ($8.0 par due 9/2022),9.22% (Libor + 7.00%/Q),7/3/2019,8.0,8.0
27,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),0,9/11/2015,0.0,0.0
28,Command Alkon Incorporated (19),Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($1.5 par due 9/2022),10.25% (Base Rate + 5.00%/Q),9/1/2017,1.5,1.4
29,Command Alkon Incorporated (19),Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($20.2 par due 9/2023),8.09% (Libor + 6.00%/M),9/1/2017,20.2,19.6
30,Command Alkon Incorporated (19),Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($33.8 par due 3/2024),12.09% (Libor + 10.00%/M),9/1/2017,33.8,31.8
31,Compuware Software Group LLC,Web and mobile cloud performance testing and monitoring services provider,"Preferred units (4,132 units)",9.00% PIK,7/31/2019,0.8,0.8
32,Compuware Software Group LLC,Web and mobile cloud performance testing and monitoring services provider,"Common units (744,569 units)",0,7/31/2019,0.0,2.4
