,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
0,"CIC Flex, LP (9)",Investment partnership,Limited partnership units (0.94 units),0,9/7/2007,0,250
1,"Covestia Capital Partners, LP (9)",Investment partnership,Limited partnership interest (47.00% interest),0,6/17/2008,487,1863
2,"HCI Equity, LLC (7)(8)(9)",Investment company,Member interest (100.00% interest),0,4/1/2010,0,97
3,"Imperial Capital Private Opportunities, LP (9)(29)",Investment partnership,Limited partnership interest (80.00% interest),0,5/10/2007,4654,19436
4,"Partnership Capital Growth Fund I, L.P. (9)",Investment partnership,Limited partnership interest (25.00% interest),0,6/16/2006,9,1229
5,"Partnership Capital Growth Investors III, L.P. (9)(29)",Investment partnership,Limited partnership interest (2.50% interest),0,10/5/2011,3030,3217
6,"PCG-Ares Sidecar Investment, L.P. (9)(29)",Investment partnership,Limited partnership interest (100.00% interest),0,5/22/2014,2104,1418
7,"PCG-Ares Sidecar Investment II, L.P. (9)(29)",Investment partnership,Limited partnership interest (100.00% interest),0,10/31/2014,6500,7726
8,"Piper Jaffray Merchant Banking Fund I, L.P. (9)(29)",Investment partnership,Limited partnership interest (2.00% interest),0,8/16/2012,1084,993
9,Senior Secured Loan Fund LLC (7)(10)(30),Co-investment vehicle,"Subordinated certificates ($1,974,650 par due 12/2024)",8.27% (Libor + 8.00%/M)(24),10/30/2009,1974650,2004269
10,Senior Secured Loan Fund LLC (7)(10)(30),Co-investment vehicle,Member interest (87.50% interest),0,10/30/2009,0,0
11,VSC Investors LLC (9),Investment company,Membership interest (1.95% interest),0,1/24/2008,879,1607
12,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,"Preferred stock (2,997 shares)",0,12/13/2013,3087,1820
13,Alegeus Technologies Holdings Corp.,Benefits administration and transaction processing provider,Common stock (3 shares),0,12/13/2013,3,0
14,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($8,810 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,8810,8810
15,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($52,039 par due 6/2019)",7.00% (Libor + 6.00%/Q),6/27/2014,52039,52039
16,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($3,920 par due 6/2019)",4.00% (Libor + 3.00%/Q),6/27/2014,3920,3920
17,AwarePoint Corporation,Healthcare technology platform developer,"First lien senior secured loan ($10,000 par due 6/2018)",9.50%,9/5/2014,9914,9900
18,AwarePoint Corporation,Healthcare technology platform developer,"Warrant to purchase up to 3,213,367 shares of Series 1 preferred stock",0,11/14/2014,0,609
