,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,
1,Investments,,,,,,,,,,,,,,,,,,,,,,
2,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,
3,Debt investments,,,,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,
5,"ILC Dover, LP  *^#",One stop,,L + 9.00,,8.23 cash/2.00 PIK,,03/2020,,,17645,,,,17539,,,1.9,,,,17645,
6,"ILC Dover, LP",One stop,,L + 9.00,,8.23 cash/2.00 PIK,,03/2019,,797,,,791,,,0.1,,,797,,,,
7,NTS Technical Systems  *^#,One stop,,L + 6.00,,7.05,,06/2021,,21773,,,21466,,,2.3,,,21773,,,,
<<<<<<< HEAD
8,NTS Technical Systems  (4),One stop,,L + 6.00,,N/A  (5),,06/2021,,0,,,(77,,,0,,,0,,,,
9,NTS Technical Systems  (4),One stop,,L + 6.00,,N/A  (5),,06/2021,,0,,,(128,,,0,,,0,,,,
10,"Tresys Technology Holdings, Inc.  (6)",One stop,,L + 6.75,,8.05,,12/2017,,3899,,,3845,,,0.1,,,1170,,,,
11,"Tresys Technology Holdings, Inc.  (6)",One stop,,L + 6.75,,8.01,,12/2017,,659,,,658,,,0.1,,,659,,,,
12,"Tresys Technology Holdings, Inc.",One stop,,P + 7.50,,11.75,,12/2017,,40,,,40,,,0,,,40,,,,
13,"Tronair Parent, Inc.  #",Senior loan,,L + 4.75,,5.84,,09/2023,,192,,,190,,,0,,,190,,,,
14,"Tronair Parent, Inc.",Senior loan,,L + 4.50,,5.59,,09/2021,,20,,,19,,,0,,,19,,,,
15,Whitcraft LLC  *^#,One stop,,L + 6.25,,7.55,,04/2023,,12596,,,12415,,,1.3,,,12470,,,,
