,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,,,"September 30,  2015",,"September 30,  2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Investments, at fair value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Non-controlled/non-affiliate company investments,,,1425325,,,,1309701,,,,,,,,,,,,,,,,,,,,,,,,,
4,Non-controlled affiliate company investments,,,5523,,,,3080,,,,,,,,,,,,,,,,,,,,,,,,,
5,Controlled affiliate company investments,,,98936,,,,34831,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Total investments at fair value (cost of $1,517,314 and $1,337,580, respectively)",,,1529784,,,,1347612,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,,,5468,,,,5135,,,,,,,,,,,,,,,,,,,,,,,,,
8,Restricted cash and cash equivalents,,,92016,,,,74808,,,,,,,,,,,,,,,,,,,,,,,,,
9,Interest receivable,,,5700,,,,5791,,,,,,,,,,,,,,,,,,,,,,,,,
10,Deferred financing costs,,,7624,,,,9515,,,,,,,,,,,,,,,,,,,,,,,,,
11,Other assets,,,458,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,
12,Total Assets,,,1641050,,,,1443388,,,,,,,,,,,,,,,,,,,,,,,,,
13,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Debt,,,813250,,,,697150,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Secured borrowings, at fair value (proceeds of $351 and $384,  respectively)",,,355,,,,389,,,,,,,,,,,,,,,,,,,,,,,,,
16,Interest payable,,,2722,,,,3196,,,,,,,,,,,,,,,,,,,,,,,,,
17,Management and incentive fees payable,,,11754,,,,8451,,,,,,,,,,,,,,,,,,,,,,,,,
18,Accounts payable and accrued expenses,,,2042,,,,1397,,,,,,,,,,,,,,,,,,,,,,,,,
19,Accrued trustee fees,,,57,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
