,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,
1,Investments,,,,,,,,,,,,,,,,,,,,,,
2,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,
3,Debt investments,,,,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,
5,"ILC Dover, LP  *^#",One stop,,L + 9.00,,8.00 cash/2.00 PIK,,03/2020,,,17673,,,,17557,,,1.8,,,,16259,
6,"ILC Dover, LP",One stop,,L + 9.00,,8.00 cash/2.00 PIK,,03/2019,,793,,,786,,,0.1,,,730,,,,
7,NTS Technical Systems  *^#,One stop,,L + 6.25,,7.25,,06/2021,,25549,,,25178,,,2.8,,,25293,,,,
8,NTS Technical Systems  (4),One stop,,L + 6.25,,N/A  (5),,06/2021,,-,,,(82,,,-,,,(35,,,,
9,NTS Technical Systems  (4),One stop,,L + 6.25,,N/A  (5),,06/2021,,-,,,(136,,,-,,,(29,,,,
10,"Tresys Technology Holdings, Inc.  (6)",One stop,,L + 6.75,,8.00,,12/2017,,3899,,,3845,,,0.1,,,1170,,,,
11,"Tresys Technology Holdings, Inc.",One stop,,L + 6.75,,8.00,,12/2017,,659,,,658,,,0.1,,,659,,,,
12,"Tresys Technology Holdings, Inc.",One stop,,P + 5.50,,9.50,,12/2017,,81,,,81,,,-,,,81,,,,
13,"Tronair Parent, Inc.  #",Senior loan,,L + 4.75,,5.86,,09/2023,,192,,,190,,,-,,,191,,,,
14,"Tronair Parent, Inc.",Senior loan,,P + 3.50,,7.50,,09/2021,,16,,,15,,,-,,,16,,,,
15,Whitcraft LLC  *^,One stop,,L + 6.50,,7.50,,05/2020,,13435,,,13350,,,1.5,,,13435,,,,
