,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,,Valuation of investments using significant unobservable inputs and assumptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Description of the Matter,"At September 30, 2021, the fair value of the Company’s investments categorized as Level 3 investments within the fair value hierarchy (Level 3 investments) totaled $4,894,378 thousand. Management determines the fair value of the Company’s Level 3 investments by applying the methodologies outlined in Notes 2 and 6 to the consolidated financial statements and using significant unobservable inputs and assumptions. Determining the fair value of the Level 3 investments requires management to make judgments about the valuation methodologies (i.e., market approach or income approach) and significant unobservable inputs and assumptions including, among others, EBITDA multiples, revenue multiples, and market interest rates for similar loans with similar credit profiles, used in determining the fair value measurements.  Auditing the fair value of the Company’s Level 3 investments was complex, as the unobservable inputs and assumptions used by the Company are highly judgmental, are sensitive to economic dislocations, and could have a significant effect on the fair value measurements of such investments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,How We Addressed the Matter in Our Audit,"We obtained an understanding, evaluated the design, and tested the operating effectiveness of controls over the Company’s investment valuation process. This included controls over management’s assessment of the valuation methodologies and significant unobservable inputs and assumptions used in determining the fair value measurements of the Level 3 investments.  Our audit procedures included, among others, evaluating the Company’s valuation methodologies, testing the significant unobservable inputs and assumptions used by the Company in determining the fair value of the Company’s Level 3 investments, and testing the mathematical accuracy of the Company’s valuation calculations. For each Level 3 investment, we reviewed the information considered by the Board of Directors relating to the Company’s determination of fair value. For a sample of the Company’s Level 3 investments, with the involvement of our valuation specialists, we independently developed fair value estimates and compared them to the Company’s estimates. We developed our independent fair value estimates by using borrower financial information, which we compared to agreements or underlying source documents provided to the Company by the borrowers, and available market information from third-party sources, such as market spreads, market multiples, and leverage. In developing our independent fair value estimates, we considered the impact of current economic conditions on trends in borrower financial information and the resulting fair value estimates. We also evaluated subsequent events and other available information and considered whether they corroborated or contradicted the Company’s year-end valuations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,NTS Technical Systems*#+~,Senior loan,,L + 5.50,(c),,6.50,,06/2023,,,40173,,,,39983,,,1.6,,,40173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,NTS Technical Systems~,Second lien,,L + 9.75,(c),,10.75,,12/2023,,4589,,,4524,,,0.2,,4589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,NTS Technical Systems+,Senior loan,,L + 5.50,(c),,6.50,,06/2023,,1247,,,1195,,,-,,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,NTS Technical Systems+(5),Senior loan,,L + 5.50,,,N/A(6),,06/2023,,-,,,(26),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,"Tronair Parent, Inc.+",Senior loan,,L + 6.25,(c)(e),,6.75 cash/0.50 PIK,,09/2023,,680,,,676,,,-,,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,"Tronair Parent, Inc.+",Senior loan,,L + 6.25,(c),,6.75 cash/0.50 PIK,,06/2023,,20,,,17,,,-,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Whitcraft LLC*#+~,One stop,,L + 6.00,(c),,7.00,,04/2023,,63253,,,63492,,,2.4,,61355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Whitcraft LLC+(5),One stop,,L + 6.00,,,N/A(6),,04/2023,,-,,,(1),,,-,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,109962,,,109860,,,4.2,,107965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,,L + 6.00,(c),,7.00,,12/2026,,985,,,967,,,-,,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Auto Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,"Covercraft Parent III, Inc.+",Senior loan,,L + 4.50,(c),,5.50,,08/2027,,4927,,,4878,,,0.2,,4877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,"Covercraft Parent III, Inc.+(5)",Senior loan,,L + 4.50,,,N/A(6),,08/2027,,-,,,(1),,,-,,(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,"Covercraft Parent III, Inc.+(5)",Senior loan,,L + 4.50,,,N/A(6),,08/2027,,-,,,(18),,,-,,(18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,"North Haven Falcon Buyer, LLC",One stop,,L + 6.00,(a),,7.00,,05/2027,,6160,,,6045,,,0.2,,6160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,"North Haven Falcon Buyer, LLC+(5)",One stop,,L + 6.00,,,N/A(6),,05/2027,,-,,,(19),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Polk Acquisition Corp.*#+,Senior loan,,L + 6.00,(a),,7.00,,12/2023,,18106,,,17991,,,0.7,,18106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Polk Acquisition Corp.+,Senior loan,,L + 6.00,(a),,7.00,,12/2023,,181,,,182,,,-,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Polk Acquisition Corp.+,Senior loan,,L + 6.00,(a),,7.00,,12/2023,,107,,,106,,,-,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,"Power Stop, LLC+~",Senior loan,,L + 4.50,(a),,4.58,,10/2025,,2813,,,2856,,,0.1,,2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,32294,,,32020,,,1.2,,,32225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Automobiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,"CG Group Holdings, LLC+",One stop,,L + 5.25,(c),,6.25,,07/2027,,31463,,,31159,,,1.2,,31148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,"CG Group Holdings, LLC+",One stop,,L + 5.25,(a)(c),,6.25,,07/2026,,168,,,164,,,-,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.50,,09/2025,,15472,,,15253,,,0.6,,15318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,JHCC Holdings LLC+,One stop,,P + 4.50,(f),,7.75,,08/2027,,501,,,496,,,-,,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,JHCC Holdings LLC+,One stop,,L + 5.50,(c)(f),,6.89,,09/2025,,298,,,296,,,-,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,JHCC Holdings LLC+,One stop,,P + 4.50,(f),,7.53,,09/2025,,7,,,6,,,-,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,JHCC Holdings LLC+(5),One stop,,L + 5.50,,,N/A(6),,08/2027,,-,,,(33),,,-,,(33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,"MOP GM Holding, LLC*#+~",One stop,,L + 5.75,(c),,6.75,,11/2026,,24221,,,23961,,,1.0,,23980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,"MOP GM Holding, LLC+",One stop,,L + 5.75,(d),,6.75,,11/2026,,2604,,,2576,,,0.1,,2578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,"MOP GM Holding, LLC+",One stop,,L + 5.75,(c),,6.75,,11/2026,,1930,,,1909,,,0.1,,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"MOP GM Holding, LLC+(5)",One stop,,L + 5.75,,,N/A(6),,11/2026,,-,,,(2),,,-,,(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,"MOP GM Holding, LLC+(5)",One stop,,L + 5.75,,,N/A(6),,11/2026,,-,,,(76),,,-,,(64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
