,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,NTS Technical Systems*#+~,Senior loan,,L + 5.50,(b),,6.50,,06/2023,,,39971,,,,39836,,,1.6,,,39971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,NTS Technical Systems~,Second lien,,L + 9.75,(b),,10.75,,12/2023,,4589,,,4539,,,0.2,,4589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,NTS Technical Systems+,Senior loan,,L + 5.50,(b),,6.50,,06/2023,,3091,,,3054,,,0.1,,3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,NTS Technical Systems+(5),Senior loan,,L + 5.50,,,N/A(6),,06/2023,,-,,,(18),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"Tronair Parent, Inc.+",Senior loan,,L + 6.25,(b),,6.75 cash/0.50 PIK,,09/2023,,678,,,675,,,-,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,"Tronair Parent, Inc.+",Senior loan,,L + 6.25,(b),,6.75 cash/0.50 PIK,,06/2023,,40,,,38,,,-,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Whitcraft LLC*#+~,One stop,,L + 6.00,(b),,7.01,,04/2023,,62930,,,63092,,,2.3,,61042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Whitcraft LLC+(5),One stop,,L + 6.00,,,N/A(6),,04/2023,,-,,,(1),,,-,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,111299,,,111215,,,4.2,,109312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Aurora Lux Finco S.A.R.L.+(8)(13),One stop,,L + 6.00,(b),,7.00,,12/2026,,980,,,964,,,-,,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Auto Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
