,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,NTS Technical Systems  ^*#+~,One stop,,L + 6.00,(c),,7.43,,06/2021,,,25396,,,,25372,,,1.1,,,,25397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,NTS Technical Systems  +~,One stop,,L + 6.00,(c),,7.43,,06/2021,,4155,,,4150,,,0.2,,,4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,NTS Technical Systems,One stop,,L + 6.00,(c),,7.43,,06/2021,,1996,,,1973,,,0.1,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
8,,"Tronair Parent, Inc.  ^+",Senior loan,,L + 4.75,(c),,5.75,,09/2023,,720,,,713,,,0,,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(c)(f),,4.44,,09/2021,,160,,,159,,,0,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Whitcraft LLC  ^*#+~,One stop,,L + 6.00,(c),,7.00,,04/2023,,64057,,,64487,,,2.5,,,58933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Whitcraft LLC,One stop,,L + 6.00,(c)(f),,7.00,,04/2023,,120,,,118,,,0,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
8,,"Tronair Parent, Inc.  ^+",Senior loan,,L + 4.75,(c),,5.75,,09/2023,,720,,,713,,,-,,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"Tronair Parent, Inc.",Senior loan,,L + 4.50,(c)(f),,4.44,,09/2021,,160,,,159,,,-,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Whitcraft LLC  ^*#+~,One stop,,L + 6.00,(c),,7.00,,04/2023,,64057,,,64487,,,2.5,,,58933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Whitcraft LLC,One stop,,L + 6.00,(c)(f),,7.00,,04/2023,,120,,,118,,,-,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
12,,,,,,,,,,,,96604,,,96972,,,3.9,,,91339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
