,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,
1,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,
2,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,
3,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,
4,United States,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"ILC Dover, LP",,One stop,,P + 4.50,,,7.75,,,03/2019,,,360,,,,352,,,,-,,,,351,
8,"ILC Dover, LP^",,One stop,,L + 5.50,,,6.50,,,03/2020,,,18713,,,,18579,,,,2.6,,,,18572,
9,NTS Technical Systems,,One stop,,L + 6.00,,,7.25,,,11/2018,,,314,,,,284,,,,-,,,,298,
10,NTS Technical Systems*^,,One stop,,L + 6.00,,,7.25,,,11/2018,,,18918,,,,18606,,,,2.6,,,,18729,
11,NTS Technical Systems  (3),,One stop,,L + 6.00,,,N/A,(4),,11/2018,,,-,,,,(63,,,,-,,,,(30,
12,"Tresys Technology Holdings, Inc.  (3)",,One stop,,L + 6.75,,,N/A,(4),,12/2017,,,-,,,,(7,,,,-,,,,-,
13,"Tresys Technology Holdings, Inc.",,One stop,,L + 6.75,,,8.00,,,12/2017,,,3899,,,,3832,,,,0.3,,,,2340,
14,Whitcraft LLC,,Subordinated debt,,N/A,,,12.00,,,12/2018,,,1877,,,,1856,,,,0.3,,,,1877,
15,"White Oak Technologies, Inc.  (3)",,Senior loan,,L + 5.00,,,N/A,(4),,03/2017,,,-,,,,(7,,,,-,,,,-,
16,"White Oak Technologies,  Inc.*",,Senior loan,,L + 5.00,,,6.25,,,03/2017,,,1721,,,,1694,,,,0.2,,,,1721,
17,,,,,,,,,,,,,,45802,,,,45126,,,,6.0,,,,43858,
18,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"ABRA, Inc.  (3)(5)",,One stop,,L + 6.00,,,N/A,(4),,05/2018,,,-,,,,(16,,,,-,,,,-,
