,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/Par  Amount  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,
1,Investments,,,,,,,,,,,,,,,,,,,,,,
2,Non-controlled/non-affiliate company investments,,,,,,,,,,,,,,,,,,,,,,
3,Debt investments,,,,,,,,,,,,,,,,,,,,,,
4,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,
5,"ILC Dover, LP  *^#",One stop,,L + 9.00,,8.00 cash/2.00 PIK,,03/2020,,,17701,,,,17575,,,1.8,,,,15577,
6,"ILC Dover, LP",One stop,,L + 9.00,,8.00 cash/2.00 PIK,,03/2019,,789,,,781,,,0.1,,,694,,,,
7,NTS Technical Systems  *^#,One stop,,L + 6.25,,7.25,,06/2021,,25549,,,25154,,,2.9,,,25039,,,,
8,NTS Technical Systems  (4),One stop,,L + 6.25,,N/A  (5),,06/2021,,-,,,(87,,,-,,,(71,,,,
9,NTS Technical Systems  (4),One stop,,L + 6.25,,N/A  (5),,06/2021,,-,,,(144,,,-,,,(57,,,,
10,"Tresys Technology Holdings, Inc.  (6)",One stop,,L + 6.75,,8.00,,12/2017,,3899,,,3845,,,0.1,,,1170,,,,
11,"Tresys Technology Holdings, Inc.",One stop,,L + 6.75,,8.00,,12/2017,,618,,,616,,,0.1,,,618,,,,
12,"Tronair Parent, Inc.",Senior loan,,L + 4.50,,5.18,,09/2021,,24,,,23,,,-,,,24,,,,
13,Whitcraft LLC  *^,One stop,,L + 6.50,,7.50,,05/2020,,13470,,,13377,,,1.5,,,13470,,,,
14,Whitcraft LLC  (4),One stop,,L + 6.50,,N/A  (5),,05/2020,,-,,,(1,,,-,,,-,,,,
15,,,,,,,,,,62050,,,61139,,,6.5,,,56464,,,,
16,Automobile,,,,,,,,,,,,,,,,,,,,,,
17,CH Hold Corp. (Caliber Collision)  *#,Senior loan,,L + 5.25,,6.25,,11/2019,,5131,,,5097,,,0.6,,,5131,,,,
18,Dent Wizard International Corporation  *,Senior loan,,L + 4.75,,5.75,,04/2020,,2338,,,2329,,,0.3,,,2338,,,,
19,OEConnection LLC  *,Senior loan,,L + 5.00,,6.00,,06/2022,,4871,,,4756,,,0.5,,,4871,,,,
20,OEConnection LLC  (4),Senior loan,,L + 5.00,,N/A  (5),,06/2021,,-,,,(1,,,-,,,-,,,,
21,T5 Merger Corporation  ^,One stop,,L + 6.25,,7.25,,03/2022,,4145,,,4078,,,0.5,,,4103,,,,
22,T5 Merger Corporation,One stop,,L + 6.25,,7.25,,03/2022,,30,,,28,,,-,,,29,,,,
23,,,,,,,,,,16515,,,16287,,,1.9,,,16472,,,,
24,Banking,,,,,,,,,,,,,,,,,,,,,,
25,HedgeServ Holding L.P.  *#,One stop,,L + 8.00,,7.00 cash/2.00 PIK,02/2019,,17621,,,17550,,,1.9,,,16739,,,,,
26,HedgeServ Holding L.P.  (4),One stop,,L + 8.00,,N/A  (5),,02/2019,,-,,,(4,,,-,,,(47,,,,
27,,,,,,,,,,17621,,,17546,,,1.9,,,16692,,,,
28,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,
29,"Abita Brewing Co., L.L.C.",One stop,,L + 8.00,,7.00 cash/2.00 PIK,,04/2021,,7989,,,7855,,,0.8,,,7190,,,,
30,"Abita Brewing Co., L.L.C.",One stop,,L + 8.00,,7.00 cash/2.00 PIK,,04/2021,,9,,,8,,,-,,,7,,,,
31,ABP Corporation  *,Senior loan,,L + 4.75,,6.00,,09/2018,,4684,,,4658,,,0.5,,,4449,,,,
32,ABP Corporation,Senior loan,,P + 3.50,,7.25,,09/2018,,292,,,289,,,-,,,267,,,,
33,"Atkins Nutritionals, Inc  *^",One stop,,L + 8.50,,9.75,,04/2019,,21636,,,21481,,,2.5,,,21636,,,,
34,"Atkins Nutritionals, Inc  *^#",One stop,,L + 5.00,,6.25,,01/2019,,16872,,,16766,,,1.9,,,16872,,,,
35,"Benihana, Inc.  *^",One stop,,L + 7.00,,8.25,,01/2019,,16221,,,15973,,,1.8,,,16072,,,,
36,"Benihana, Inc.",One stop,,L + 7.00,,8.84,,07/2018,,1020,,,990,,,0.1,,,1000,,,,
37,"C. J. Foods, Inc.  *",One stop,,L + 5.00,,6.00,,05/2019,,3133,,,3110,,,0.4,,,3133,,,,
38,"C. J. Foods, Inc.",One stop,,L + 5.00,,6.00,,05/2019,,661,,,655,,,0.1,,,661,,,,
39,"C. J. Foods, Inc.",One stop,,L + 5.00,,6.00,,05/2019,,216,,,211,,,-,,,216,,,,
40,"Firebirds International, LLC  *",One stop,,L + 5.75,,7.00,,05/2018,,1068,,,1063,,,0.1,,,1068,,,,
41,"Firebirds International, LLC  *",One stop,,L + 5.75,,7.00,,05/2018,,301,,,299,,,-,,,301,,,,
42,"Firebirds International, LLC",One stop,,L + 5.75,,7.00,,05/2018,,97,,,96,,,-,,,97,,,,
43,"Firebirds International, LLC  (4)",One stop,,L + 5.75,,N/A  (5),,05/2018,,-,,,(1,,,-,,,-,,,,
44,"First Watch Restaurants, Inc.  *^#",One stop,,L + 6.00,,7.23,,12/2020,,25529,,,25331,,,2.9,,,25529,,,,
