,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,,,Spread,,,,,,,,,,,,,,,Percentage,,,,,,,,,,,
1,,,Investment,,Above,,,Interest,,,Maturity,,,Principal / Par,,,,,,of,,,Fair,,,,,,,,
2,,,Type,,Index  (1),,,Rate  (2),,,Date,,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,,,
3,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aerospace  and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"ILC  Dover, LP  (3)",,Senior loan,,,L  + 5.50,,,,N/A,(4),,,03/2019,,,,-,,,,(9,,,,-,,,,(9,
8,"ILC Dover, LP",,Senior loan,,,P  + 4.50,,,,7.75,,,,03/2020,,,,18830,,,,18689,,,,2.6,,,,18689,
9,NTS  Technical Systems  (3),,One stop,,,L  + 5.50,,,,N/A,(4),,,11/2018,,,,-,,,,(20,,,,-,,,,(9,
10,NTS  Technical Systems  (3),,One stop,,,L  + 5.50,,,,N/A,(4),,,11/2018,,,,-,,,,(63,,,,-,,,,(30,
11,NTS Technical Systems*,,One stop,,,L  + 5.50,,,,6.75,,,,11/2018,,,,18966,,,,18642,,,,2.6,,,,18776,
12,"Tresys  Technology Holdings, Inc.  (3)",,One stop,,,L  + 6.75,,,,N/A,(4),,,12/2017,,,,-,,,,(7,,,,-,,,,-,
13,"Tresys Technology Holdings,  Inc.",,One stop,,,L  + 6.75,,,,8.00,,,,12/2017,,,,3899,,,,3827,,,,0.4,,,,2924,
14,Whitcraft LLC,,Subordinated debt,,,N/A,,,,12.00,,,,12/2018,,,,1877,,,,1855,,,,0.3,,,,1877,
15,"White  Oak Technologies, Inc.  (3)",,Senior loan,,,L  + 5.00,,,,6.25,,,,03/2017,,,,15,,,,8,,,,-,,,,15,
16,"White Oak  Technologies, Inc.*",,Senior loan,,,L  + 5.00,,,,6.25,,,,03/2017,,,,1784,,,,1755,,,,0.2,,,,1784,
17,,,,,,,,,,,,,,,,,,45371,,,,44677,,,,6.1,,,,44017,
18,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
