,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
1,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
2,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,,,
3,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"ILC Dover, LP",,One stop,,P + 4.50,,,7.75,,,03/2019,,,600,,,,593,,,,0.1,,,,564,,,,,
8,"ILC Dover, LP^",,One stop,,L + 5.50,,,6.50,,,03/2020,,,18477,,,,18357,,,,2.4,,,,17923,,,,,
9,"ILC Industries, Inc.  (3)",,One stop,,L + 4.75,,,N/A,(4),,07/2020,,,-,,,,(31,,,,-,,,,-,,,,,
10,"ILC Industries, Inc.*^",,One stop,,L + 4.75,,,5.75,,,07/2020,,,28331,,,,28069,,,,3.8,,,,28331,,,,,
11,NTS Technical Systems  (3),,One stop,,L + 5.50,,,N/A,(4),,11/2018,,,-,,,,(30,,,,-,,,,-,,,,,
12,NTS Technical Systems*^,,One stop,,L + 5.50,,,6.75,,,11/2018,,,18823,,,,18540,,,,2.6,,,,18823,,,,,
13,NTS Technical Systems  (3),,One stop,,L + 5.50,,,N/A,(4),,11/2018,,,-,,,,(63,,,,-,,,,-,,,,,
14,"Tresys Technology Holdings, Inc.",,One stop,,L + 6.75,,,8.00,,,12/2017,,,188,,,,182,,,,-,,,,188,,,,,
15,"Tresys Technology Holdings, Inc.",,One stop,,L + 6.75,,,8.00,,,12/2017,,,3899,,,,3841,,,,0.3,,,,1950,,,,,
16,Whitcraft LLC,,Subordinated debt,,N/A,,,12.00,,,12/2018,,,1877,,,,1858,,,,0.3,,,,1877,,,,,
17,,,,,,,,,,,,,,72195,,,,71316,,,,9.5,,,,69656,,,,,
18,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
