,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,,,,,,,,,,,,,,,,,,Percentage,,,,,,,,,,,
1,,,Investment,,Spread Above,,,Interest,,,Maturity,,,Principal,,,,,,of,,,Fair,,,,,,,,
2,,,Type,,Index  (1),,,Rate  (2),,,Date,,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,
3,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Leisure, Amusement, Motion Pictures,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Extreme Fitness, Inc.  (3)",,Subordinated Debt,,,N/A,,,,12.00 cash/2.50 PIK,,,,11/2015,,,,2932,,,,2810,,,,-,,,,-,
9,Total Canada,,,,,,,,,,,,,,,,,2932,,,,2810,,,,-,,,,-,
10,Fair Value as percentage of Principal Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
11,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"ILC Dover, LP",,Senior Loan,,,L + 6.00,,,,7.25,,,,07/2017,,,,608,,,,604,,,,0.1,,,,596,
15,"ILC Dover, LP",,Senior Loan,,,P + 6.00,,,,8.25,,,,07/2017,,,,34,,,,27,,,,-,,,,25,
16,"ILC Dover, LP",,Senior Loan,,,L + 6.00,,,,7.25,,,,07/2017,,,,4366,,,,4295,,,,0.7,,,,4278,
17,"Tresys Technology Holdings, Inc.  (4)",,One Stop,,,L + 6.75,,,,N/A,(5),,,12/2017,,,,-,,,,(9,,,,-,,,,(13,
18,"Tresys Technology Holdings, Inc.",,One Stop,,,L + 6.75,,,,8.00,,,,12/2017,,,,4000,,,,3910,,,,0.7,,,,3920,
19,TurboCombustor Technology Inc.*,,Senior Loan,,,L + 4.75,,,,5.75,,,,12/2017,,,,383,,,,383,,,,0.1,,,,381,
20,TurboCombustor Technology Inc.*,,Senior Loan,,,L + 5.00,,,,6.00,,,,12/2017,,,,898,,,,895,,,,0.1,,,,893,
21,Whitcraft LLC,,Subordinated Debt,,,N/A,,,,12.00,,,,12/2018,,,,1877,,,,1851,,,,0.3,,,,1877,
22,"White Oak Technologies, Inc.",,Senior Loan,,,L + 5.00,,,,6.25,,,,03/2017,,,,53,,,,45,,,,-,,,,53,
23,"White Oak Technologies, Inc.*",,Senior Loan,,,L + 5.00,,,,6.25,,,,03/2017,,,,1857,,,,1826,,,,0.3,,,,1857,
24,,,,,,,,,,,,,,,,,,14076,,,,13827,,,,2.3,,,,13867,
25,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"ABRA, Inc.  (4)",,One Stop,,,L + 5.75,,,,N/A,(5),,,05/2018,,,,-,,,,(63,,,,-,,,,(44,
27,"ABRA, Inc.",,One Stop,,,P + 5.75,,,,7.75,,,,05/2018,,,,1962,,,,1941,,,,0.3,,,,1948,
28,"ABRA, Inc.*",,One Stop,,,L + 5.75,,,,7.00,,,,05/2018,,,,26438,,,,26245,,,,4.4,,,,26306,
29,"American Driveline Systems, Inc.",,Senior Loan,,,P + 7.50,,,,9.75,,,,01/2016,,,,391,,,,386,,,,0.1,,,,352,
30,"American Driveline Systems, Inc.*",,Senior Loan,,,P + 7.50,,,,9.75,,,,01/2016,,,,2840,,,,2803,,,,0.4,,,,2556,
31,"Express Oil Change, LLC",,Senior Loan,,,P + 4.75,,,,6.75,,,,12/2017,,,,119,,,,115,,,,-,,,,119,
32,"Express Oil Change, LLC",,Senior Loan,,,L + 4.75,,,,6.00,,,,12/2017,,,,181,,,,178,,,,-,,,,181,
33,"Express Oil Change, LLC*",,Senior Loan,,,P + 4.75,,,,6.75,,,,12/2017,,,,1865,,,,1849,,,,0.3,,,,1865,
34,"K&N Engineering, Inc.  (4)",,Senior Loan,,,P + 4.50,,,,N/A,(5),,,04/2018,,,,-,,,,(8,,,,-,,,,(4,
35,"K&N Engineering, Inc.*",,Senior Loan,,,L + 4.50,,,,5.75,,,,04/2018,,,,7297,,,,7191,,,,1.2,,,,7225,
36,,,,,,,,,,,,,,,,,,41093,,,,40637,,,,6.7,,,,40504,
37,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Prommis Fin Co.*  (3),,Senior Loan,,,P + 10.50,,,,2.25 cash/11.50 PIK,,,,06/2015,,,,212,,,,191,,,,-,,,,36,
39,Prommis Fin Co.,,Senior Loan,,,P + 11.00,,,,13.25,,,,06/2015,,,,126,,,,125,,,,-,,,,126,
40,Prommis Fin Co.*  (3),,Second Lien,,,P + 10.50,,,,2.25 cash/11.50 PIK,,,,06/2015,,,,425,,,,382,,,,-,,,,-,
41,Prommis Fin Co.*  (3),,Subordinated Debt,,,P + 10.50,,,,2.25 cash/11.50 PIK,,,,06/2015,,,,213,,,,191,,,,-,,,,-,
42,,,,,,,,,,,,,,,,,,976,,,,889,,,,-,,,,162,
43,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ABP Corporation,,Senior Loan,,,P + 3.50,,,,7.25,,,,06/2016,,,,63,,,,58,,,,-,,,,63,
45,ABP Corporation*,,Senior Loan,,,L + 4.75,,,,6.00,,,,06/2016,,,,4501,,,,4450,,,,0.7,,,,4501,
46,"American Importing Company, Inc.",,One Stop,,,L + 5.75,,,,7.00,,,,05/2018,,,,14843,,,,14651,,,,2.4,,,,14694,
47,"Ameriqual Group, LLC*",,Senior Loan,,,L + 5.00,,,,6.50,,,,03/2016,,,,1727,,,,1708,,,,0.3,,,,1693,
48,"Ameriqual Group, LLC",,Senior Loan,,,L + 7.50,,,,9.00,,,,03/2016,,,,833,,,,824,,,,0.1,,,,800,
49,"Atkins Nutritionals, Inc.*",,One Stop,,,L + 5.00,,,,6.25,,,,01/2019,,,,22395,,,,22141,,,,3.7,,,,22465,
50,"Atkins Nutritionals, Inc.",,One Stop,,,L + 8.50,,,,9.75,,,,04/2019,,,,17270,,,,16810,,,,2.9,,,,17486,
51,"Candy Intermediate Holdings, Inc.",,Senior Loan,,,L + 6.25,,,,7.50,,,,06/2018,,,,4950,,,,4806,,,,0.8,,,,4900,
52,"Firebirds International, LLC  (4)",,One Stop,,,L + 5.75,,,,N/A,(5),,,05/2018,,,,-,,,,(7,,,,-,,,,(6,
53,"Firebirds International, LLC  (4)",,One Stop,,,L + 5.75,,,,N/A,(5),,,05/2018,,,,-,,,,(2,,,,-,,,,(1,
54,"Firebirds International, LLC*",,One Stop,,,L + 5.75,,,,7.00,,,,05/2018,,,,912,,,,900,,,,0.1,,,,902,
55,"First Watch Restaurants, Inc.",,One Stop,,,L + 7.50,,,,8.75,,,,12/2016,,,,420,,,,396,,,,0.1,,,,420,
56,"First Watch Restaurants, Inc.",,One Stop,,,L + 7.50,,,,8.75,,,,12/2016,,,,618,,,,594,,,,0.1,,,,618,
57,"First Watch Restaurants, Inc.*",,One Stop,,,P + 7.50,,,,9.75,,,,12/2016,,,,11443,,,,11284,,,,1.9,,,,11443,
58,IT'SUGAR LLC,,Subordinated Debt,,,N/A,,,,8.00,,,,10/2017,,,,1707,,,,1707,,,,0.4,,,,2697,
59,IT'SUGAR LLC,,Senior Loan,,,L + 8.50,,,,10.00,,,,04/2017,,,,4223,,,,4159,,,,0.7,,,,4223,
60,Julio & Sons Company  (4),,One Stop,,,L + 5.50,,,,N/A,(5),,,09/2014,,,,-,,,,(9,,,,-,,,,-,
61,Julio & Sons Company*,,One Stop,,,L + 5.50,,,,7.00,,,,09/2016,,,,7067,,,,7022,,,,1.2,,,,7067,
62,Julio & Sons Company  (4),,One Stop,,,L + 5.50,,,,N/A,(5),,,09/2016,,,,-,,,,(10,,,,-,,,,-,
63,"Northern Brewer, LLC",,One Stop,,,P + 6.50,,,,8.50,,,,02/2018,,,,332,,,,320,,,,0.1,,,,319,
64,"Northern Brewer, LLC",,One Stop,,,L + 6.50,,,,8.00,,,,02/2018,,,,6494,,,,6343,,,,1.1,,,,6397,
65,"Richelieu Foods, Inc.",,Senior Loan,,,P + 5.00,,,,7.25,,,,11/2015,,,,108,,,,100,,,,-,,,,108,
66,"Richelieu Foods, Inc.*",,Senior Loan,,,L + 5.00,,,,6.75,,,,11/2015,,,,1988,,,,1962,,,,0.3,,,,1988,
67,Smashburger Finance LLC  (4),,Senior Loan,,,L + 4.25,,,,N/A,(5),,,05/2018,,,,-,,,,(6,,,,-,,,,(4,
68,Smashburger Finance LLC*,,Senior Loan,,,L + 4.25,,,,5.50,,,,05/2018,,,,3274,,,,3250,,,,0.5,,,,3258,
69,,,,,,,,,,,,,,,,,,105168,,,,103451,,,,17.4,,,,106031,
70,,,,,,,,,,,,,,,,,,,,Percentage,,,,,,,,,,,
71,,,Investment,,Spread Above,,,Interest,,,Maturity,,,Principal,,,,,,of Total,,,Fair,,,,,,,,
72,,,Type,,Index  (1),,,Rate  (2),,,Date,,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,
73,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ASP PDM Acquisition Co. LLC*  (3),,Senior Loan,,,P + 7.25,,,,10.50,,,,12/2013,,,,451,,,,443,,,,-,,,,180,
75,"Global Claims Services, Inc.  (4)",,Senior Loan,,,L + 4.75,,,,N/A,(5),,,06/2018,,,,-,,,,(1,,,,-,,,,-,
76,"Global Claims Services, Inc.*",,Senior Loan,,,L + 4.75,,,,6.00,,,,06/2018,,,,803,,,,793,,,,0.1,,,,803,
77,"KHKI Acquisition, Inc.",,Senior Loan,,,P + 5.00,,,,8.50,,,,03/2017,,,,2573,,,,2573,,,,0.2,,,,1415,
78,Tecta America Corp.,,Senior Loan,,,P + 5.75,,,,9.00,,,,06/2013,,,,141,,,,141,,,,-,,,,141,
79,Tecta America Corp.,,Senior Loan,,,P + 5.75,,,,9.00,,,,03/2014,,,,3779,,,,3779,,,,0.4,,,,2267,
80,,,,,,,,,,,,,,,,,,7747,,,,7728,,,,0.7,,,,4806,
81,Cargo Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,RP Crown Parent*,,Senior Loan,,,L + 5.50,,,,6.75,,,,12/2018,,,,1990,,,,1953,,,,0.3,,,,2002,
83,RP Crown Parent,,Second Lien,,,L + 10.00,,,,11.25,,,,12/2019,,,,7500,,,,7360,,,,1.3,,,,7772,
84,,,,,,,,,,,,,,,,,,9490,,,,9313,,,,1.6,,,,9774,
85,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Integrated DNA Technologies, Inc",,Subordinated Debt,,,N/A,,,,12.00 cash/2.00 PIK,,,,04/2015,,,,2167,,,,2131,,,,0.4,,,,2167,
87,"Road Infrastructure Investment, LLC",,Senior Loan,,,L + 5.00,,,,5.28,,,,03/2017,,,,316,,,,282,,,,0.1,,,,313,
88,"Road Infrastructure Investment, LLC*",,Senior Loan,,,L + 5.00,,,,6.25,,,,03/2018,,,,4515,,,,4467,,,,0.8,,,,4526,
89,,,,,,,,,,,,,,,,,,6998,,,,6880,,,,1.3,,,,7006,
90,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Fort Dearborn Company*,,Senior Loan,,,L + 4.25,,,,5.25,,,,10/2017,,,,48,,,,48,,,,-,,,,48,
92,Fort Dearborn Company*,,Senior Loan,,,L + 4.75,,,,5.75,,,,10/2018,,,,191,,,,189,,,,-,,,,191,
93,Fort Dearborn Company*,,Senior Loan,,,L + 4.25,,,,5.25,,,,10/2017,,,,570,,,,566,,,,0.1,,,,570,
94,Fort Dearborn Company*,,Senior Loan,,,L + 4.75,,,,5.75,,,,10/2018,,,,2208,,,,2192,,,,0.4,,,,2208,
95,John Henry Holdings Inc.,,Second Lien,,,L + 9.00,,,,10.25,,,,05/2019,,,,1175,,,,1148,,,,0.2,,,,1197,
96,"Packaging Coordinators, Inc.*",,Senior Loan,,,L + 4.25,,,,5.50,,,,05/2020,,,,6810,,,,6776,,,,1.1,,,,6776,
97,"Packaging Coordinators, Inc.",,Second Lien,,,L + 8.25,,,,9.50,,,,11/2020,,,,29098,,,,28520,,,,4.8,,,,28807,
98,,,,,,,,,,,,,,,,,,40100,,,,39439,,,,6.6,,,,39797,
99,Diversified Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Chase Industries, Inc.*",,One Stop,,,L + 6.19,,,,6.75,,,,11/2017,,,,11572,,,,11387,,,,1.9,,,,11572,
101,"Metal Spinners, Inc.*",,Senior Loan,,,L + 6.50,,,,8.00,,,,12/2014,,,,1367,,,,1343,,,,0.2,,,,1367,
102,"Metal Spinners, Inc.*",,Senior Loan,,,L + 6.50,,,,8.00,,,,12/2014,,,,2721,,,,2678,,,,0.5,,,,2721,
103,Onicon Incorporated  (4),,One Stop,,,L + 6.75,,,,N/A,(5),,,12/2017,,,,-,,,,(14,,,,-,,,,-,
104,Onicon Incorporated,,One Stop,,,L + 6.75,,,,8.25,,,,12/2017,,,,3652,,,,3586,,,,0.6,,,,3652,
105,"Pasternack Enterprises, Inc.*",,Senior Loan,,,L + 5.00,,,,6.25,,,,12/2017,,,,1231,,,,1221,,,,0.2,,,,1231,
106,"Plex Systems, Inc.  (4)",,Senior Loan,,,L + 7.50,,,,N/A,(5),,,06/2018,,,,-,,,,(26,,,,-,,,,(26,
107,"Plex Systems, Inc.*",,Senior Loan,,,P + 6.25,,,,9.50,,,,06/2018,,,,13670,,,,13375,,,,2.2,,,,13465,
108,"Sunless Merger Sub, Inc.",,Senior Loan,,,P + 4.00,,,,7.25,,,,07/2016,,,,68,,,,67,,,,-,,,,47,
109,"Sunless Merger Sub, Inc.*",,Senior Loan,,,L + 5.25,,,,6.50,,,,07/2016,,,,2201,,,,2194,,,,0.3,,,,2025,
110,Tecomet Inc.  (4),,Senior Loan,,,L + 4.50,,,,N/A,(5),,,12/2016,,,,-,,,,(5,,,,-,,,,-,
111,Tecomet Inc.*,,Senior Loan,,,L + 4.50,,,,5.75,,,,12/2016,,,,5667,,,,5597,,,,0.9,,,,5667,
112,"TIDI Products, LLC  (4)",,Senior Loan,,,L + 7.00,,,,N/A,(5),,,07/2017,,,,-,,,,(11,,,,-,,,,-,
113,"TIDI Products, LLC*",,Senior Loan,,,L + 7.00,,,,8.25,,,,07/2018,,,,8726,,,,8565,,,,1.5,,,,8726,
114,"Vintage Parts, Inc.*",,One Stop,,,L + 5.50,,,,5.78,,,,12/2013,,,,5069,,,,5063,,,,0.8,,,,5018,
115,"Vintage Parts, Inc.*",,One Stop,,,L + 6.00,,,,8.50,,,,12/2013,,,,70,,,,70,,,,-,,,,70,
116,"Vintage Parts, Inc.*",,One Stop,,,L + 8.00,,,,9.75,,,,12/2013,,,,1059,,,,1053,,,,0.2,,,,1070,
117,,,,,,,,,,,,,,,,,,57073,,,,56143,,,,9.3,,,,56605,
118,Diversified Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Aderant North America, Inc.*",,Senior Loan,,,L + 5.00,,,,6.25,,,,12/2018,,,,4518,,,,4477,,,,0.8,,,,4519,
120,Agility Recovery Solutions Inc.  (4),,One Stop,,,L + 6.75,,,,N/A,(5),,,12/2017,,,,-,,,,(6,,,,-,,,,-,
121,Agility Recovery Solutions Inc.*,,One Stop,,,L + 6.75,,,,8.00,,,,12/2017,,,,5998,,,,5869,,,,1.0,,,,5998,
122,API Healthcare Corporation*,,One Stop,,,L + 8.60,,,,9.85,,,,04/2018,,,,34587,,,,34296,,,,5.7,,,,34424,
123,"Consona Holdings, Inc.  (4)",,Senior Loan,,,L + 5.50,,,,N/A,(5),,,08/2017,,,,-,,,,(3,,,,-,,,,-,
124,"Consona Holdings, Inc.*",,Senior Loan,,,L + 5.50,,,,6.75,,,,08/2018,,,,1051,,,,1020,,,,0.2,,,,1051,
125,"Consona Holdings, Inc.*",,Senior Loan,,,L + 6.00,,,,7.25,,,,08/2018,,,,1555,,,,1542,,,,0.3,,,,1555,
126,"Document Technologies, LLC  (4)",,Senior Loan,,,L + 4.25,,,,N/A,(5),,,12/2018,,,,-,,,,(14,,,,-,,,,-,
127,"Document Technologies, LLC*",,Senior Loan,,,L + 4.25,,,,5.50,,,,12/2018,,,,6758,,,,6688,,,,1.1,,,,6758,
128,"EAG, Inc.*",,Senior Loan,,,P + 3.50,,,,6.75,,,,07/2017,,,,2527,,,,2497,,,,0.4,,,,2527,
129,HighJump Acquisition LLC,,One Stop,,,L + 8.50,,,,9.75,,,,07/2016,,,,5340,,,,5290,,,,0.9,,,,5340,
