,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,
1,,"March 31, 2019",,"March 31, 2018",,,,,,,,,,,,,,,,,
2,Assets,,,,,,,,,,,,,,,,,,,,
3,Investments at fair value:,,,,,,,,,,,,,,,,,,,,
4,"Non-controlled/non-affiliated investments (cost - $1,654,322 and $1,471,492, respectively)",,1627406,,,,1450033,,,,,,,,,,,,,,
5,"Non-controlled/affiliated investments (cost - $67,072 and $73,943, respectively)",49681,,,68954,,,,,,,,,,,,,,,,
6,"Controlled investments (cost -  $736,717  and $723,161, respectively)",731045,,,729060,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,36280,,,14035,,,,,,,,,,,,,,,,
8,"Foreign currencies (cost  - $4,963  and $1,494, respectively)",4909,,,1298,,,,,,,,,,,,,,,,
9,Cash collateral on option contracts,-,,,5016,,,,,,,,,,,,,,,,
10,Receivable for investments sold,336,,,2190,,,,,,,,,,,,,,,,
11,Interest receivable,24280,,,22272,,,,,,,,,,,,,,,,
12,Dividends receivable,3748,,,2550,,,,,,,,,,,,,,,,
13,Deferred financing costs,19776,,,14137,,,,,,,,,,,,,,,,
14,Variation margin receivable,-,,,1846,,,,,,,,,,,,,,,,
15,Prepaid expenses and other assets,336,,,419,,,,,,,,,,,,,,,,
16,Total Assets,,2497797,,,,2311810,,,,,,,,,,,,,,
17,Liabilities,,,,,,,,,,,,,,,,,,,,
18,Debt,,1128686,,,,789846,,,,,,,,,,,,,,
19,Payable for investments purchased,677,,,41827,,,,,,,,,,,,,,,,
20,Distributions payable,31040,,,32447,,,,,,,,,,,,,,,,
21,Management and performance-based incentive fees payable,8880,,,16585,,,,,,,,,,,,,,,,
22,Interest payable,5818,,,5310,,,,,,,,,,,,,,,,
23,Accrued administrative services expense,2983,,,2507,,,,,,,,,,,,,,,,
24,Other liabilities and accrued expenses,7086,,,5202,,,,,,,,,,,,,,,,
25,Total Liabilities,,1185170,,,,893724,,,,,,,,,,,,,,
26,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,
27,Net Assets,,1312627,,,,1418086,,,,,,,,,,,,,,
28,Net Assets,,,,,,,,,,,,,,,,,,,,
29,"Common stock, $0.001 par value (400,000,000 shares authorized; 68,876,986 and 72,104,032 shares issued and outstanding, respectively)",,69,,,,72,,,,,,,,,,,,,,
30,Capital in excess of par value,2155836,,,2636651,,,,,,,,,,,,,,,,
31,Accumulated under-distributed (over-distributed) earnings,"(843,278",,,"(1,218,637",,,,,,,,,,,,,,,,
32,Net Assets,,1312627,,,,1418086,,,,,,,,,,,,,,
33,Net Asset Value Per Share,,19.06,,,,19.67,,,,,,,,,,,,,,
34,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (29),,Fair  Value (1) (30),,,,,,,,
35,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,
36,A-L Parent LLC,,Second Lien Secured Debt,,"9.75% (1M L+725, 1.00% Floor)",,12/02/24,,,5536,,,,5496,,,,5522,,,(10)
37,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"8.00% (1M L+550, 1.00% Floor)",,09/28/22,,25363,,,24948,,,25110,,,(9),,,
38,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,09/28/22,,2400,,,(50,,,(24,,,(8)(9)(21)(23),,,
39,,,,,,,,,,,24898,,,25086,,,,,,,
