,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS -137.3%,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
1,CORPORATE DEBT-127.9%,,,,,,,,,,,,,,
2,SECURED DEBT-74.3%,,,,,,,,,,,,,,
3,1st Lien Secured Debt-35.6%,,,,,,,,,,,,,,
4,"Archroma, L+825, 10/1/18 ‡",,Chemicals,,,35511,,,,34819,,,,35422,
5,"Avanti Communications Group PLC, 10.00%, 10/1/19  t  ‡",,Telecommunications,,11000,,,11000,,,11468,,,,
6,"Avaya, Inc., 9.00%, 4/1/19  t",,Telecommunications,,6973,,,7134,,,7304,,,,
7,"Aveta, Inc., L+825, 12/12/17",,Healthcare,,61623,,,60087,,,62123,,,,
8,"Caza Petroleum Inc., L+1000, 5/23/17",,Oil & Gas,,35000,,,33892,,,33548,,,,
9,"Charming Charlie LLC, L+800, 12/18/19",,Retail,,11615,,,11441,,,11441,,,,
10,"Delta Educational Systems, Inc., 16.00% (8.00% Cash/8.00% PIK), 12/11/16",,Education,,5327,,,5327,,,5327,,,,
11,"Endeavour Energy UK Limited, 9.75%, 12/31/15 ‡",,Oil & Gas,,12500,,,12500,,,12500,,,,
12,"Endeavour International Corp., 12.00%, 3/1/18 †‡",,Oil & Gas,,14621,,,14147,,,15115,,,,
13,"Endeavour International Corp., 13.00%, 6/30/14 †‡",,Oil & Gas,,30000,,,30320,,,30825,,,,
14,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",,"Containers,  Packaging, and  Glass",,36920,,,36375,,,36874,,,,
15,"Evergreen Tank Solutions, Inc., L+800, 9/28/18 †",,"Containers,  Packaging, and  Glass",,5408,,,5408,,,5401,,,,
16,"Magnetation, LLC, 11.00%, 5/15/18  t",,Mining,,25750,,,25903,,,28582,,,,
17,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.), 13.00%, 9/18/19",,Chemicals,,60000,,,60000,,,60000,,,,
18,"Miller Energy Resources, Inc., 18.00% (15.00% Cash/3.00% PIK Option), 6/29/17 †",,Oil & Gas,,55307,,,55307,,,58625,,,,
19,"Miller Energy Resources, Inc., 9.00%, 6/29/17 †",,Oil & Gas,,20000,,,20000,,,20800,,,,
20,"Molycorp, Inc., 10.00%, 6/1/20 ‡",,"Diversified Natural  Resources,  Precious Metals  and Minerals",,40268,,,39809,,,40067,,,,
21,"New Publishing Holdings, LLC (F&W Media), L+650, 6/30/19",,Printing &  Publishing,,15920,,,14720,,,15363,,,,
22,"Osage Exploration & Development, Inc., L+1500, 4/27/15 ‡",,Oil & Gas,,20000,,,19701,,,20000,,,,
23,"Panda Sherman Power, LLC, L+750, 9/14/18",,Energy,,15000,,,14813,,,15450,,,,
24,"Panda Temple Power, LLC, L+1000, 7/17/18",,Energy,,25500,,,25081,,,26265,,,,
25,"Pelican Energy, LLC, 10.00% (7.00% Cash / 3.00% PIK), 12/31/18 ‡",,Oil & Gas,,16455,,,15881,,,16784,,,,
26,"Reichhold Holdings International B.V., L+975, 12/19/16 ‡",,Financial Services,,22500,,,22500,,,22500,,,,
27,"Spotted Hawk Development LLC, 14.00% (13.00% Cash/ 1.00% PIK), 6/30/16 ‡",,Oil & Gas,,24247,,,23597,,,23556,,,,
28,"Sunrun Solar Owner IX, LLC, 9.079%, 12/31/24",,Energy,,3671,,,3510,,,3500,,,,
29,"Travel Leaders Group, LLC, L+600, 12/5/18",,Business Services,,19600,,,18436,,,19355,,,,
30,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",,Telecommunications,,48054,,,48054,,,48054,,,,
31,Total 1st Lien Secured Debt,,,,,,,669762,,,,686249,,,
32,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS -137.3%,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
33,2nd Lien Secured Debt-39.1%,,,,,,,,,,,,,,
34,"Active Network, Inc., L+850, 11/15/21",,Business Services,,,25000,,,,24876,,,,25281,
35,"Allied Security Holdings, LLC, L+825, 2/2/18",,Business Services,,31000,,,30793,,,31349,,,,
36,"Ardent Medical Services, Inc., L+950, 1/2/19",,Healthcare,,12000,,,11727,,,12165,,,,
37,"Armor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/26/20",,Financial Services,,8000,,,7847,,,8020,,,,
38,"Bennu Oil & Gas, LLC, L+900, 11/1/18",,Oil & Gas,,12098,,,11992,,,12219,,,,
39,"BJ's Wholesale Club, Inc, L+750, 3/26/20",,Retail,,20000,,,19901,,,20463,,,,
40,"Brock Holdings III, Inc., L+825, 3/16/18",,Environmental  Services,,19500,,,19233,,,19866,,,,
41,"Confie Seguros Holding II Co., L+900, 5/8/19",,Insurance,,27344,,,27086,,,27617,,,,
42,"Consolidated Precision Products Corp., L+775, 4/30/21",,Aerospace & Defense,,8940,,,8896,,,9108,,,,
43,"Del Monte Foods Co, L+725, 7/26/21",,"Beverage, Food & Tobacco",,15140,,,14989,,,15348,,,,
44,"Deltek, Inc., L+875, 10/10/19",,Business Services,,27273,,,27015,,,27682,,,,
45,"Digital Insight Corporation, L+775, 8/1/20",,Business Services,,7820,,,7743,,,7986,,,,
46,"Garden Fresh Restaurant Corp., 7.25% PIK, 1/1/19 †",,Restaurants,,7525,,,5410,,,5117,,,,
47,"Garden Fresh Restaurant Corp., 14.50% PIK, 1/1/19 †",,Restaurants,,33305,,,31044,,,29641,,,,
48,"GCA Services Group, Inc., L+800, 11/1/20",,Diversified Service,,22838,,,22942,,,23194,,,,
49,"Grocery Outlet Inc., L+925, 6/17/19",,Grocery,,8674,,,8521,,,8847,,,,
50,"HD Vest Inc., L+800, 6/18/19 ‡",,Financial Services,,9396,,,9287,,,9302,,,,
51,"Healogics, Inc., L+800, 2/5/20",,Healthcare,,10000,,,10113,,,10225,,,,
52,"Insight Pharmaceuticals, LLC, L+1175, 8/25/17",,Consumer Products,,15448,,,15232,,,15217,,,,
53,"Kronos, Inc., L+850, 4/30/20",,Business Services,,76920,,,75985,,,79997,,,,
54,"Learfield Communications, Inc., L+775, 10/8/21",,Media,,15000,,,14852,,,15375,,,,
55,"Ranpak Corp., L+725, 4/23/20",,Packaging,,22000,,,21795,,,22660,,,,
56,"River Cree Enterprises LP, 11.00%, 1/20/21  t  ‡",,"Hotels, Motels, Inns & Gaming",,CAD,35000,,,32996,,,34176,,,
57,"Sedgwick Holdings, Inc., L+700, 12/12/18",,Business Services,,,15225,,,15154,,,15510,,,
58,"SESAC Holdco II LLC, L+875, 7/12/19",,Broadcasting &  Entertainment,,10750,,,10882,,,11019,,,,
59,"Sprint Industrial Holdings, LLC, L+1000, 11/14/19",,"Containers,  Packaging, and  Glass",,14163,,,13921,,,14305,,,,
60,"SquareTwo Financial Corp. (Collect America, Ltd.), 11.625%, 4/1/17 ‡",,Financial Services,,51079,,,49713,,,53218,,,,
61,"Transfirst Holdings Inc., L+975, 6/27/18",,Financial Services,,64750,,,63258,,,65681,,,,
62,"TriNet HR Corporation, L+775, 2/20/21",,Business Services,,7130,,,6992,,,7170,,,,
63,"U.S. Renal Care, Inc., L+900, 1/3/20 †",,Healthcare,,11927,,,11982,,,12151,,,,
64,"U.S. Renal Care, Inc., L+750, 7/3/20 †",,Healthcare,,10100,,,9904,,,10264,,,,
65,"Valerus Compression Services, LP, 11.50%, 3/26/18",,Manufacturing,,40000,,,40000,,,41200,,,,
66,"Vertafore, Inc., L+825, 10/29/17",,Business Services,,50436,,,50152,,,51445,,,,
67,Total 2nd Lien Secured Debt,,,,,,,732233,,,,752818,,,
68,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS -137.3%,,Industry,,Par  Amount*,,Cost,,Fair  Value (1),,,,,,
69,Unfunded Revolver Obligations- (0.4)%,,,,,,,,,,,,,,
70,"Advantage Sales & Marketing, Inc., (Revolver) L+400, 12/17/15 (8)",,Grocery,,,5500,,,,-,,,,(413,
71,"Avaya, Inc., (Revolver) L+275, 10/26/16 (8)",,Telecommunications,,36785,,,"(5,702",,,"(3,035",,,,
72,"BMC Software Inc., (Revolver), L+400, 9/10/18 (8)",,Business Services,,30760,,,"(3,677",,,"(2,153",,,,
73,"Confie Seguros Holding II Co., (Revolver), L+525, 11/9/17 (8)",,Insurance,,4500,,,(450,,,(495,,,,
74,"Reichhold Holdings International B.V., (Revolver) L+600, 12/19/16 ‡",,Financial Services,,12500,,,-,,,-,,,,
75,"Salix Pharmaceuticals, Ltd., (Revolver) L+300, 1/2/19 ‡(8)",,Healthcare,,25000,,,"(2,000",,,"(2,000",,,,
76,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",,Telecommunications,,26946,,,-,,,-,,,,
77,Total Unfunded Revolver Obligations,,,,,,,"(11,829",,,,"(8,096",,,
78,TOTAL SECURED DEBT,,,,,,,1390166,,,,1430971,,,
79,UNSECURED DEBT-53.6%,,,,,,,,,,,,,,
80,"Allied Nevada Gold Corp., 8.75%, 6/1/19  t  ‡",,"Diversified Natural  Resources, Precious  Metals and Minerals",,CAD,16981,,,,15350,,,,10229,
81,"Altegrity, Inc., 0.00%, 8/2/16 †",,Diversified Service,,,3545,,,2584,,,1276,,,
82,"Altegrity, Inc., 12.00%, 11/1/15 †  t",,Diversified Service,,44000,,,44000,,,40095,,,,
83,"American Tire Distributors, Inc., 11.50%, 6/1/18",,Distribution,,25000,,,25000,,,25670,,,,
84,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK,  8/17/17 †‡",,Transportation,,£,20948,,,33142,,,34764,,,
85,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK,  8/17/17 †‡",,Transportation,,€,12721,,,17473,,,17564,,,
86,"Ceridian Corp., 12.25% Cash or 13.00% PIK, 11/15/15 †",,Diversified Service,,,14420,,,14420,,,14555,,,
87,"Ceridian Corp., 11.25%, 11/15/15 †",,Diversified Service,,35800,,,35800,,,36136,,,,
88,"Ceridian Corp., 11.00%, 3/15/21 †  t",,Diversified Service,,34000,,,34000,,,39100,,,,
89,"CRC Health Corp., 10.75%, 2/1/16",,Healthcare,,13000,,,13088,,,13073,,,,
90,"Delta Educational Systems, Inc., 16.00% (10.00% Cash/ 6.00% PIK), 5/12/17",,Education,,21361,,,21010,,,20218,,,,
91,"Denver Parent Corp.(Venoco), 12.25%, 8/15/18  t",,Oil & Gas,,25000,,,24363,,,24563,,,,
92,"Energy & Exploration Partners, Inc., 15.00%, 4/8/18 †",,Oil & Gas,,25000,,,22304,,,23823,,,,
93,"Energy & Exploration Partners, Inc., 15.00%, 12/12/18 †",,Oil & Gas,,4464,,,4256,,,4254,,,,
94,"Exova Limited, 10.50%, 10/15/18 †‡  t",,Business Services,,£,18000,,,27202,,,32347,,,
95,"Exova Limited, 10.50%, 10/15/18 †‡",,Business Services,,4655,,,6194,,,8365,,,,
96,"First Data Corp., 11.25%, 1/15/21 †  t",,Financial Services,,,67000,,,66977,,,74161,,,
97,"First Data Corp., 10.625%, 6/15/21 †  t",,Financial Services,,10000,,,10000,,,10941,,,,
98,"First Data Corp., 11.25%, 3/31/16 †",,Financial Services,,17941,,,17105,,,18019,,,,
99,"First Data Corp., 12.625%, 1/15/21 †",,Financial Services,,5000,,,5642,,,5888,,,,
100,"inVentiv Health, Inc., 11.00%, 8/15/18  t",,Healthcare,,146000,,,146000,,,129757,,,,
101,"Lonestar Intermediate Super Holdings, LLC (Asurion), L+950,  9/2/19",,Insurance,,55125,,,55630,,,57054,,,,
102,"Niacet Corporation, 13.00%, 8/28/18",,Chemicals,,12500,,,12500,,,12500,,,,
103,"PetroBakken Energy Ltd. (Lightstream Resources Ltd), 8.625%, 2/1/20 ‡  t",,Oil & Gas,,59082,,,59800,,,60042,,,,
104,"Prospect Holding Co LLC, 10.25%, 10/1/18 ‡  t",,Financial Services,,7500,,,7129,,,7087,,,,
105,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS -137.3%,,Industry,,Par  Amount*,,Cost,,Fair  Value (1),,,,,,
106,UNSECURED DEBT (continued)-53.6%,,,,,,,,,,,,,,
