,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (29),,,Fair Value (1)(30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Learfield Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A-L Parent LLC,,Second Lien Secured Debt,,"8.25% (1M L+725, 1.00% Floor)",,12/02/24,,,5536,,,,5507,,,,,3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"7.00% (3M L+600, 1.00% Floor)",,08/02/25,,38635,,,38053,,,,37441,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,First Lien Secured Debt - Revolver,,"7.00% (3M L+600, 1.00% Floor)",,08/02/25,,1200,,,1200,,,,1163,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,08/02/25,,1200,,,(44),,,,(37),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,39209,,,,38567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,"Total Advertising, Printing & Publishing",,,44716,,,,,42221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Erickson Inc,,First Lien Secured Debt - Revolver,,"9.00% (3M L+750, 1.50% Floor)",,04/28/22,,,30169,,,,30169,,,,,29566,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/28/22,,5085,,,(147),,,,(102),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,First Lien Secured Debt - Letters of Credit,,7.50%,,10/01/20 - 07/15/22,,2246,,,-,,,,(43),,,(8)(9)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,Total Aerospace & Defense,,,30022,,,,,29421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Accelerate Parent Corp. (American Tire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Accelerate Parent Corp.,,Common Equity - Common Stock,,N/A,,N/A,,"1,664,046 Shares",,,1714,,,,,-,,,(13)(19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Arlington Industries Group Limited,,First Lien Secured Debt,,"5.75% (1M E+525, 0.50% Floor)",,03/29/24,,€,2495,,,2799,,,,2912,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,First Lien Secured Debt,,"5.75% (1M GBPL+525, 0.50% Floor)",,03/29/24,,£,3627,,,4611,,,,4636,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,7410,,,,7548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Vari-Form Group, LLC",,First Lien Secured Debt,,L+11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,5860,,,901,,,,762,,,(9)(13)  (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Vari-Form Inc.,,First Lien Secured Debt,,L+11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,2110,,,391,,,,274,,,(9)(13)  (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,1292,,,,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"K&N Parent, Inc.",,Second Lien Secured Debt,,"9.75% (1M L+875, 1.00% Floor)",,10/21/24,,23765,,,23519,,,,21566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Truck-Lite Co., LLC",,First Lien Secured Debt,,"7.25% (3M L+625, 1.00% Floor)",,12/14/26,,25022,,,24492,,,,24494,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,First Lien Secured Debt - Revolver,,"7.25% (1M L+625, 1.00% Floor)",,12/13/24,,218,,,218,,,,215,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
