,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,
1,,"June 30, 2016",,"March 31, 2016",,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost - $1,805,634 and $2,052,896, respectively)",,1564731,,,,1790294,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost - $244,140 and $216,202, respectively)",224886,,,272558,,,,,,,,,,,,,,
7,"Controlled investments (cost - $827,448 and $829,029, respectively)",828097,,,853977,,,,,,,,,,,,,,
8,"Total investments at fair value (cost - $2,877,222 and $3,098,127, respectively)",2617714,,,2916829,,,,,,,,,,,,,,
9,Cash,57496,,,16521,,,,,,,,,,,,,,
10,"Foreign currencies (cost - $2,896 and $2,354, respectively)",2824,,,2384,,,,,,,,,,,,,,
11,Receivable for investments sold,44879,,,79625,,,,,,,,,,,,,,
12,Interest receivable,27554,,,29749,,,,,,,,,,,,,,
13,Dividends receivable,7639,,,9509,,,,,,,,,,,,,,
14,Deferred financing costs,13305,,,14497,,,,,,,,,,,,,,
15,Prepaid expenses and other assets,15186,,,9523,,,,,,,,,,,,,,
16,Total Assets,,2786597,,,,3078637,,,,,,,,,,,,
17,Liabilities,,,,,,,,,,,,,,,,,,
18,Debt,,1098977,,,,1312960,,,,,,,,,,,,
19,Payable for investments purchased,36370,,,25091,,,,,,,,,,,,,,
20,Dividends payable,45013,,,45231,,,,,,,,,,,,,,
21,Management and performance-based incentive fees payable,28955,,,31124,,,,,,,,,,,,,,
22,Interest payable,12469,,,7444,,,,,,,,,,,,,,
23,Accrued administrative services expense,2571,,,2015,,,,,,,,,,,,,,
24,Other liabilities and accrued expenses,9833,,,9191,,,,,,,,,,,,,,
25,Total Liabilities,,1234188,,,,1433056,,,,,,,,,,,,
26,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,
27,Net Assets,,1552409,,,,1645581,,,,,,,,,,,,
28,Net Assets,,,,,,,,,,,,,,,,,,
29,"Common stock, $0.001 par value (400,000,000 shares authorized; 225,067,696 and 226,156,496 shares issued and outstanding, respectively)",,225,,,,226,,,,,,,,,,,,
30,Paid-in capital in excess of par,3020850,,,3026922,,,,,,,,,,,,,,
31,Accumulated underdistributed net investment income,62282,,,71231,,,,,,,,,,,,,,
32,Accumulated net realized loss,"(1,300,771",,,"(1,288,141",,,,,,,,,,,,,,
33,Net unrealized loss,"(230,177",,,"(164,657",,,,,,,,,,,,,,
34,Net Assets,,1552409,,,,1645581,,,,,,,,,,,,
35,Net Asset Value Per Share,,6.90,,,,7.28,,,,,,,,,,,,
36,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
37,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,,
38,Corporate Debt,,,,,,,,,,,,,,,,,,
39,Secured Debt,,,,,,,,,,,,,,,,,,
40,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
41,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,
42,"Aventine Renewable Energy Holdings, Inc.",,"Chemicals, Plastics & Rubber",,15.00% PIK Toggle (10.50% Cash),,9/24/17,,,17399,,,,19688,,,,15828,
43,"Belk, Inc.",,Retail,,"5.75% (6M L+475, 1.00% Floor)",,12/12/22,,1292,,,1159,,,1037,,,,
44,ChyronHego Corporation (18),,High Tech Industries,,"6.63% (3M L+563, 1.00% Floor)",,3/9/20,,32019,,,31510,,,31378,,,,
45,"Delta Educational Systems, Inc. (14)(16)",,Education,,"16.00% (3M L+1400 PIK, 2.00% Floor)",,12/11/16,,7049,,,7049,,,180,,,,
46,Dodge Data & Analytics LLC,,Business Services,,"9.75% (3M L+875, 1.00% Floor)",,10/31/19,,52747,,,51992,,,51296,,,,
47,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"8.00% (3M L+700, 1.00% Floor)",,6/12/21,,11109,,,10974,,,10754,,,,
48,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"8.00% (6M L+700, 1.00% Floor)",,6/12/21,,11166,,,11017,,,10808,,,,
49,Garden Fresh Restaurant Corp. (16),,"Hotel, Gaming, Leisure, Restaurants",,"10.50% (1M L+900, 1.50% Floor)",,7/3/18,,2500,,,2500,,,2500,,,,
50,LabVantage Solutions Inc.,,High Tech Industries,,"9.00% (3M L+800, 1.00% Floor)",,12/29/20,,14813,,,14378,,,14331,,,,
51,LabVantage Solutions Limited (16)(17),,High Tech Industries,,"9.00% (3M E+800, 1.00% Floor)",,12/29/20,,€,13570,,,14151,,,14585,,,
52,"Magnetation, LLC (14)",,Metals & Mining,,12.00% PIK,,7/7/16,,13875,,,12428,,,32,,,,
53,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,13.00%,,12/31/18,,59305,,,59305,,,57355,,,,
54,"My Alarm Center, LLC, Term Loan A (16)",,Business Services,,"9.00% (1M L+800, 1.00% Floor)",,1/9/19,,28035,,,28035,,,27755,,,,
55,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,"9.00% (1M L+800, 1.00% Floor)",,1/9/19,,7860,,,7860,,,7781,,,,
56,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,11.00% (P+700),,1/9/19,,75,,,75,,,74,,,,
57,"My Alarm Center, LLC, Unfunded Term Loan B (8)(16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,826,,,-,,,(8,,,,
