,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,
1,,"December 31, 2018",,"March 31, 2018",,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost 0 $1,522,779 and $1,471,492, respectively)",,1492712,,,,1450033,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost 0 $67,308 and $73,943, respectively)",51236,,,68954,,,,,,,,,,,,,,,,
7,"Controlled investments (cost 0 $767,028 and $723,161, respectively)",764018,,,729060,,,,,,,,,,,,,,,,
8,Cash and cash equivalents,22654,,,14035,,,,,,,,,,,,,,,,
9,"Foreign currencies (cost 0 $7,259 and $1,292, respectively)",7283,,,1298,,,,,,,,,,,,,,,,
10,Cash collateral on options contracts,0,,,5016,,,,,,,,,,,,,,,,
11,Receivable for investments sold,43,,,2190,,,,,,,,,,,,,,,,
12,Interest receivable,20695,,,22272,,,,,,,,,,,,,,,,
13,Dividends receivable,3454,,,2550,,,,,,,,,,,,,,,,
14,Deferred financing costs,20603,,,14137,,,,,,,,,,,,,,,,
15,Variation margin receivable on options contracts,0,,,1846,,,,,,,,,,,,,,,,
16,Prepaid expenses and other assets,969,,,419,,,,,,,,,,,,,,,,
17,Total Assets,,2383667,,,,2311810,,,,,,,,,,,,,,
18,Liabilities,,,,,,,,,,,,,,,,,,,,
19,Debt,,994487,,,,789846,,,,,,,,,,,,,,
20,Payable for investments purchased,7811,,,41827,,,,,,,,,,,,,,,,
21,Distributions payable,31302,,,32447,,,,,,,,,,,,,,,,
22,Management and performance-based incentive fees payable,14276,,,16585,,,,,,,,,,,,,,,,
23,Interest payable,9508,,,5310,,,,,,,,,,,,,,,,
24,Accrued administrative services expense,3012,,,2507,,,,,,,,,,,,,,,,
25,Other liabilities and accrued expenses,6666,,,5202,,,,,,,,,,,,,,,,
26,Total Liabilities,,1067062,,,,893724,,,,,,,,,,,,,,
27,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,
28,Net Assets,,1316605,,,,1418086,,,,,,,,,,,,,,
29,Net Assets,,,,,,,,,,,,,,,,,,,,
30,"Common stock, $0.001 par value (400,000,000 shares authorized; 69,187,804 and 72,104,032 shares issued and outstanding, respectively)",,69,,,,72,,,,,,,,,,,,,,
31,Paid-in capital in excess of par,2590605,,,2636651,,,,,,,,,,,,,,,,
32,Accumulated over-distributed net investment income,"(10,565",,,"(10,229",,,,,,,,,,,,,,,,
33,Accumulated net realized loss,"(1,216,679",,,"(1,166,471",,,,,,,,,,,,,,,,
34,Net unrealized loss,"(46,825",,,"(41,937",,,,,,,,,,,,,,,,
35,Net Assets,,1316605,,,,1418086,,,,,,,,,,,,,,
36,Net Asset Value Per Share,,19.03,,,,19.67,,,,,,,,,,,,,,
37,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (28),,Fair  Value (1) (29),,,,,,,,
38,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,
39,A-L Parent LLC,,Second Lien Secured Debt,,"9.78 (1M L+725, 1.00 Floor)",,12/02/24,,,5536,,,,5495,,,,5536,,,
40,"American Media, Inc.",,First Lien Secured Debt,,"10.53 (3M L+800, 1.00 Floor)",,08/24/20,,11633,,,11471,,,12214,,,,,,
41,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,08/24/20,,1778,,,(22,,,0,,,(21)(23),,,
42,,,,,,,,,,,11449,,,12214,,,,,,,
43,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"8.02 (1M L+550, 1.00 Floor)",,09/28/22,,25427,,,24983,,,25173,,,(9),,,
44,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/28/22,,2400,,,(54,,,(24,,,(8)(9)(21)(23),,,
45,,,,,,,,,,,24929,,,25149,,,,,,,
46,"Total Advertising, Printing & Publishing",,,,41873,,,,42899,,,,,,,,,,,,
47,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,
48,Erickson Inc,,First Lien Secured Debt - Revolver,,"10.30 (3M L+750, 1.00 Floor)",,04/28/22,,,21257,,,,21257,,,,20779,,,(9)(23)
49,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,04/28/22,,17899,,,(374,,,(403,,,(8)(9)(21)(23),,,
50,,,First Lien Secured Debt - Letters of Credit,,7.50,,4/21/19 - 4/30/20,,5843,,,0,,,(131,,,(8)(9)(23),,,
51,,,,,,,,,,,20883,,,20245,,,,,,,
52,ILC Dover LP,,Second Lien Secured Debt,,"11.38 (6M L+850, 1.00 Floor)",,06/28/24,,20000,,,19618,,,19550,,,,,,
53,PAE Holding Corporation,,Second Lien Secured Debt,,"12.12 (2M L+950, 1.00 Floor)",,10/20/23,,28097,,,27510,,,27675,,,(10),,,
54,Total Aerospace & Defense,,,,68011,,,,67470,,,,,,,,,,,,
55,Automotive,,,,,,,,,,,,,,,,,,,,
56,Accelerate Parent Corp.,,Common Equity/Interests - Common Stock,,N/A,,N/A,,"1,664,046 Shares",,,,1714,,,,0,,,(13),
57,Crowne Automotive,,,,,,,,,,,,,,,,,,,,
58,"Vari-Form Group, LLC",,First Lien Secured Debt,,"13.80 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",,02/02/23,,,6627,,,6266,,,3777,,,(9)(13)(14),,
59,Vari-Form Inc.,,First Lien Secured Debt,,"13.80 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",,02/02/23,,10443,,,9836,,,5953,,,(9)(13)(14),,,
60,,,16102,,,9730,,,,,,,,,,,,,,,
61,"K&N Parent, Inc.",,Second Lien Secured Debt,,"11.27 (1M L+875, 1.00 Floor)",,10/21/24,,23765,,,23414,,,22873,,,(10),,,
62,Total Automotive,,,,41230,,,,32603,,,,,,,,,,,,
63,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,
64,Merx Aviation,,,,,,,,,,,,,,,,,,,,
65,Merx Aviation Finance Assets Ireland Limited (5),,First Lien Secured Debt - Letters of Credit,,2.25,,2/18/19 - 2/22/19,,,3600,,,,0,,,,0,,,(23)
66,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,12.00,,10/31/23,,402200,,,402200,,,402200,,,(23),,,
67,,,First Lien Secured Debt - Letter of Credit,,2.25,,07/13/19,,177,,,0,,,0,,,(23),,,
68,,,Common Equity/Interests - Membership Interests,,N/A,,N/A,,N/A,,,15000,,,53351,,,,,,
69,Total Aviation and Consumer Transport,,,,417200,,,,455551,,,,,,,,,,,,
70,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,
71,"Eagle Foods Family Group, LLC",,First Lien Secured Debt,,"9.30 (3M L+650, 1.00 Floor)",,06/14/24,,,24875,,,,24621,,,,24626,,,(9)
72,,,First Lien Secured Debt - Unfunded Revolver,,0.00 Unfunded,,06/14/23,,3750,,,(38,,,(38,,,(8)(9)(21)(23),,,
73,,,,,,,,,,,24583,,,24588,,,,,,,
74,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (28),,Fair  Value (1) (29),,,,,,,,
75,Florida Food Products,,,,,,,,,,,,,,,,,,,,
76,"Florida Food Products, Inc.",,First Lien Secured Debt,,"9.27 (1M L+675, 1.00 Floor)",,09/08/25,,23229,,,22675,,,22997,,,(9),,,
77,"Florida Food Products, LLC",,First Lien Secured Debt - Revolver,,"9.27 (1M L+675, 1.00 Floor)",,09/06/23,,1062,,,1062,,,1051,,,(9)(23),,,
78,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/06/23,,651,,,(40,,,(7,,,(8)(9)(21)(23),,,
79,,,,,,,,,,,23697,,,24041,,,,,,,
80,TNT Crust LLC,,First Lien Secured Debt,,"8.77 (1M L+625, 1.00 Floor)",,11/06/23,,9106,,,8929,,,8924,,,(9),,,
81,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,11/06/23,,1626,,,(32,,,(33,,,(8)(9)(21)(23),,,
82,,,Common Equity/Interests - Series A Units,,N/A,,N/A,,244 Shares,,,244,,,244,,,(9)(13),,,
83,,,,,,,,,,,9141,,,9135,,,,,,,
84,"Total Beverage, Food & Tobacco",,,,57421,,,,57764,,,,,,,,,,,,
85,Business Services,,,,,,,,,,,,,,,,,,,,
86,"Access CIG, LLC",,Second Lien Secured Debt,,10.46 (3M L+775),,02/27/26,,,15900,,,,15768,,,,15761,,,(10)
87,Aero Operating LLC,,First Lien Secured Debt,,"9.77 (1M L+725, 1.00 Floor)",,12/29/22,,37249,,,36483,,,36876,,,(9),,,
