,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,•,Aerospace & Defense,,,,,,,,,,,,,,,,,
1,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,
2,,"March 31, 2016",,"March 31, 2015",,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost 0 $2,052,896 and $2,514,328, respectively)",,1790294,,,,2357042,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost 0 $216,202 and $297,948, respectively)",272558,,,327218,,,,,,,,,,,,,,
7,"Controlled investments (cost 0 $829,029 and $674,299, respectively)",853977,,,665567,,,,,,,,,,,,,,
8,"Total investments at fair value (cost 0 $3,098,127 and $3,486,575, respectively)",2916829,,,3349827,,,,,,,,,,,,,,
9,Cash,16521,,,3766,,,,,,,,,,,,,,
10,"Foreign currencies (cost 0 $2,354 and $4,856, respectively)",2384,,,4651,,,,,,,,,,,,,,
11,Receivable for investments sold,79625,,,114884,,,,,,,,,,,,,,
12,Interest receivable,29749,,,43312,,,,,,,,,,,,,,
13,Dividends receivable,9509,,,5425,,,,,,,,,,,,,,
14,Deferred financing costs,29147,,,29743,,,,,,,,,,,,,,
15,Prepaid expenses and other assets,9523,,,9283,,,,,,,,,,,,,,
16,Total Assets,,3093287,,,,3560891,,,,,,,,,,,,
17,Liabilities,,,,,,,,,,,,,,,,,,
18,Debt,,1327610,,,,1498759,,,,,,,,,,,,
19,Payable for investments purchased,25091,,,10736,,,,,,,,,,,,,,
20,Dividends payable,45231,,,47348,,,,,,,,,,,,,,
21,Management and performance-based incentive fees payable,31124,,,37361,,,,,,,,,,,,,,
22,Interest payable,7444,,,15851,,,,,,,,,,,,,,
23,Accrued administrative services expense,2015,,,2000,,,,,,,,,,,,,,
24,Other liabilities and accrued expenses,9191,,,11228,,,,,,,,,,,,,,
25,Total Liabilities,,1447706,,,,1623283,,,,,,,,,,,,
26,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,
27,Net Assets,,1645581,,,,1937608,,,,,,,,,,,,
28,Net Assets,,,,,,,,,,,,,,,,,,
29,"Common stock, $0.001 par value (400,000,000 shares authorized; 226,156,496 and 236,741,351 shares issued and outstanding, respectively)",,226,,,,237,,,,,,,,,,,,
30,Paid-in capital in excess of par,3026922,,,3197715,,,,,,,,,,,,,,
31,Accumulated (overdistributed) underdistributed net investment income,71231,,,"(35,589",,,,,,,,,,,,,,
32,Accumulated net realized loss,"(1,288,141",,,"(1,102,517",,,,,,,,,,,,,,
33,Net unrealized loss,"(164,657",,,"(122,238",,,,,,,,,,,,,,
34,Net Assets,,1645581,,,,1937608,,,,,,,,,,,,
35,Net Asset Value Per Share,,7.28,,,,8.18,,,,,,,,,,,,
36,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
37,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,,
38,Corporate Debt,,,,,,,,,,,,,,,,,,
39,Secured Debt,,,,,,,,,,,,,,,,,,
40,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
41,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,
42,"Aventine Renewable Energy Holdings, Inc.",,"Chemicals, Plastics & Rubber",,10.50 Cash (15.00 PIK Toggle),,9/22/17,,,16764,,,,19053,,,,15334,
43,"Aveta, Inc. (16)",,Healthcare & Pharmaceuticals,,"9.75 (3M L+825, 1.50 Floor)",,12/12/17,,21367,,,21114,,,13461,,,,
44,"Aveta, Inc. (16)",,Healthcare & Pharmaceuticals,,"9.75 (3M L+825, 1.50 Floor)",,12/12/17,,15533,,,15315,,,9786,,,,
45,"Belk, Inc.",,Retail,,"5.75 (6M L+475, 1.00 Floor)",,12/12/22,,1866,,,1610,,,1660,,,,
46,ChyronHego Corporation (18),,High Tech Industries,,"6.63 (3M L+563, 1.00 Floor)",,3/9/20,,32225,,,31684,,,31580,,,,
47,"Deep Gulf Energy II, LLC",,Energy – Oil & Gas,,"14.50 (3M L+1300, 1.50 Floor)",,9/30/18,,25000,,,25000,,,22500,,,,
48,"Delta Educational Systems, Inc. (16)",,Education,,"16.00 (3M L+1400 PIK, 2.00 Floor)",,12/11/16,,6784,,,6784,,,6784,,,,
49,Dodge Data & Analytics LLC,,Business Services,,"9.75 (3M L+875, 1.00 Floor)",,10/31/19,,53125,,,52316,,,51664,,,,
50,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"8.00 (3M L+700, 1.00 Floor)",,6/12/21,,11166,,,11017,,,10786,,,,
51,ECN Holding Company (Emergency Communications Network) (16)(18),,High Tech Industries,,"8.00 (6M L+700, 1.00 Floor)",,6/12/21,,11166,,,11017,,,10786,,,,
52,LabVantage Solutions Inc.,,High Tech Industries,,"9.00 (3M L+800, 1.00 Floor)",,12/29/20,,14906,,,14445,,,14422,,,,
53,LabVantage Solutions Limited (16)(17),,High Tech Industries,,"9.00 (3M E+800, 1.00 Floor)",,12/29/20,,€,13656,,,14221,,,15055,,,
54,"Magnetation, LLC (14)",,Metals & Mining,,12.00 PIK,,7/7/16,,13466,,,12427,,,1687,,,,
55,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,13.00,,12/31/18,,59305,,,59305,,,58569,,,,
56,"My Alarm Center, LLC, Term Loan A (16)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,28035,,,28035,,,27545,,,,
57,"My Alarm Center, LLC, Term Loan B (16)(23)",,Business Services,,"9.00 (1M L+800, 1.00 Floor)",,1/9/19,,7774,,,7774,,,7638,,,,
58,"My Alarm Center, LLC, Unfunded Term Loan B (8)(16)(21)(23)",,Business Services,,0.35 Unfunded,,1/9/19,,987,,,0,,,(17,,,,
59,"My Alarm Center, LLC, Term Loan C (16)(23)",,Business Services,,"9.00 (3M L+800, 1.00 Floor)",,1/9/19,,2865,,,2865,,,2814,,,,
60,"My Alarm Center, LLC, Unfunded Term Loan C (8)(16)(21)(23)",,Business Services,,0.35 Unfunded,,1/9/19,,1247,,,0,,,(22,,,,
61,"Osage Exploration & Development, Inc. (11)(14)(16)(17)",,Energy – Oil & Gas,,11.44 Cash (1M L+1100 PIK Toggle),,4/27/16,,26698,,,24706,,,5374,,,,
62,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
