,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,,,"September 30, 2023",,,"December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,(Unaudited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Investments at fair value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Non-controlled/non-affiliated investments (cost - $  2,043,931  and $  2,019,573  , respectively)",,,,1967203,,,,,1960199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/affiliated investments (cost - $  132,431  and $  121,307  , respectively)",,,,76960,,,,,49141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Controlled investments (cost - $  400,921  and $  466,294  , respectively)",,,,324945,,,,,388780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,,,,42951,,,,,84713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Foreign currencies (cost - $  229  and $  2,404  , respectively)",,,,199,,,,,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Receivable for investments sold,,,,264,,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Interest receivable,,,,20406,,,,,17169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dividends receivable,,,,1328,,,,,4836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Deferred financing costs,,,,20645,,,,,13403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Prepaid expenses and other assets,,,,170,,,,,1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Total Assets,,,,2455071,,,,,2525516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Debt,,,,1434497,,,,,1483394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Distributions payable,,,,-,,,,,24217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Management and performance-based incentive fees payable,,,,10291,,,,,9060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Interest payable,,,,4871,,,,,13546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Accrued administrative services expense,,,,2601,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Other liabilities and accrued expenses,,,,5966,,,,,6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Total Liabilities,,,,1458226,,,,,1537410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Net Assets,,,,996845,,,,,988106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Common stock, $  0.001  par value (  130,000,000  shares authorized;  65,253,275  and  65,451,359  shares issued and outstanding, respectively)",,,,65,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Capital in excess of par value,,,,2104823,,,,,2107120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
