,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited)  June 30, 2014  (in thousands)",,,,,,,,,,,,,,,,,,
1,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-136.8%,,Interest Rate,,Maturity Date,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
2,CORPORATE DEBT-125.6%,,,,,,,,,,,,,,,,,,
3,SECURED DEBT-87.4%,,,,,,,,,,,,,,,,,,
4,1st Lien Secured Debt-37.3%,,,,,,,,,,,,,,,,,,
5,"Altegrity, Inc.  t  †",,9.500%,,7/1/19,,Diversified Service,,,3000,,,,3000,,,,3023,
6,"Altegrity, Inc. †",,L+825,,7/1/19,,Diversified Service,,4500,,,4433,,,4444,,,,
7,Archroma ‡,,"9.50% (L+825, 1.25% Floor)",,10/1/18,,Chemicals,,45459,,,44972,,,46198,,,,
8,Avanti Communication Group PLC  t  ‡,,10.000%,,10/1/19,,Telecommunications,,2891,,,3035,,,3068,,,,
9,"Avaya, Inc., (Revolver) †",,"2.90% (L+275) Funded, 0.50% Unfunded",,10/26/16,,Telecommunications,,18392,,,18392,,,16967,,,,
10,"Aveta, Inc.",,"9.75% (L+825, 1.50% Floor)",,12/12/17,,Healthcare,,58287,,,56987,,,58797,,,,
11,"Caza Petroleum, Inc.",,"12.00% (L+1000, 2.00% Floor)",,5/23/17,,Oil and Gas,,45000,,,43701,,,44145,,,,
12,"Confie Seguros Holding II Co., (Revolver) †",,"6.75% (P+350, 3.25% Floor) Funded, 0.50% Unfunded",,12/10/18,,Insurance,,210,,,210,,,191,,,,
13,"Deep Gulf Energy II, LLC",,11.500%,,3/31/17,,Oil and Gas,,25000,,,25000,,,25000,,,,
14,"Delta Educational Systems, Inc.",,16.00% (8.00% Cash/8.00% PIK),,12/11/16,,Education,,5546,,,5546,,,5546,,,,
15,"Evergreen Tank Solutions, Inc.",,"9.50% (L+800, 1.50% Floor)",,9/28/18,,"Containers, Packaging, and Glass",,41214,,,40734,,,41420,,,,
16,"Extraction Oil & Gas Holdings, LLC",,11.000%,,5/29/19,,Oil and Gas,,25000,,,24630,,,24625,,,,
17,"GenCorp, Inc. ‡",,"9.50% (L+850, 1.00% Floor)",,4/18/22,,Aerospace and Defense,,39500,,,39500,,,39500,,,,
