,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,
1,,"September 30, 2017",,"March 31, 2017",,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,
4,Investments and option contracts at fair value:,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost 0 $1,448,348 and $1,510,980, respectively)",,1441064,,,,1402409,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost 0 $246,083 and $417,471, respectively)",224881,,,239050,,,,,,,,,,,,,,,,
7,"Controlled investments (cost 0 $701,852 and $676,972, respectively)",694345,,,675249,,,,,,,,,,,,,,,,
8,"Option contracts (cost 0 $5,057 and $0, respectively)",4020,,,0,,,,,,,,,,,,,,,,
9,Cash and cash equivalents,31179,,,9783,,,,,,,,,,,,,,,,
10,"Foreign currencies (cost 0 $1,961 and $1,494, respectively)",1966,,,1497,,,,,,,,,,,,,,,,
11,Collateral on option contracts,6070,,,0,,,,,,,,,,,,,,,,
12,Receivable for investments sold,8129,,,40226,,,,,,,,,,,,,,,,
13,Interest receivable,18237,,,17072,,,,,,,,,,,,,,,,
14,Dividends receivable,3143,,,6489,,,,,,,,,,,,,,,,
15,Deferred financing costs,15791,,,17632,,,,,,,,,,,,,,,,
16,Prepaid expenses and other assets,581,,,713,,,,,,,,,,,,,,,,
17,Total Assets,,2449406,,,,2410120,,,,,,,,,,,,,,
18,Liabilities,,,,,,,,,,,,,,,,,,,,
19,Debt,,864906,,,,848449,,,,,,,,,,,,,,
20,"Option contracts at fair value (proceeds 0 $5,041 and $0, respectively)",5877,,,0,,,,,,,,,,,,,,,,
21,Payable for investments purchased,40878,,,13970,,,,,,,,,,,,,,,,
22,Distributions payable,32855,,,32954,,,,,,,,,,,,,,,,
23,Management and performance-based incentive fees payable,18370,,,16306,,,,,,,,,,,,,,,,
24,Interest payable,7280,,,7319,,,,,,,,,,,,,,,,
25,Accrued administrative services expense,1785,,,2250,,,,,,,,,,,,,,,,
26,Other liabilities and accrued expenses,4855,,,7075,,,,,,,,,,,,,,,,
27,Total Liabilities,,976806,,,,928323,,,,,,,,,,,,,,
28,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,
29,Net Assets,,1472600,,,,1481797,,,,,,,,,,,,,,
30,Net Assets,,,,,,,,,,,,,,,,,,,,
31,"Common stock, $0.001 par value (400,000,000 shares authorized; 219,034,354 and 219,694,654 shares issued and outstanding, respectively)",,219,,,,220,,,,,,,,,,,,,,
32,Paid-in capital in excess of par,2920820,,,2924775,,,,,,,,,,,,,,,,
33,Accumulated underdistributed net investment income,89802,,,88134,,,,,,,,,,,,,,,,
34,Accumulated net realized loss,"(1,514,999",,,"(1,277,625",,,,,,,,,,,,,,,,
35,Net unrealized loss,"(23,242",,,"(253,707",,,,,,,,,,,,,,,,
36,Net Assets,,1472600,,,,1481797,,,,,,,,,,,,,,
37,Net Asset Value Per Share,,6.72,,,,6.74,,,,,,,,,,,,,,
38,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,ASC 820 Level (32),,,,,,
39,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,,,,
40,Corporate Debt,,,,,,,,,,,,,,,,,,,,
41,Secured Debt,,,,,,,,,,,,,,,,,,,,
42,First Lien Secured Debt,,,,,,,,,,,,,,,,,,,,
43,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,,,
44,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"10.24 (1M L+900, 1.00 Floor)",,8/24/20,,,14667,,,,14324,,,,15033,,,Level 3
45,"Simplifi Holdings, Inc. (9)(16)",,"Advertising, Printing & Publishing",,"7.74 (1M L+650, 1.00 Floor)",,9/28/22,,12200,,,11835,,,11834,,,Level 3,,,
46,"Total Advertising, Printing & Publishing0 1.8(10)",,,,,,,26159,,,,26867,,,,,,,,,
47,Dodge Data & Analytics LLC,,Business Services,,"10.13 (3M L+875, 1.00 Floor)",,10/31/19,,,50478,,,,50055,,,,49090,,,Level 3
48,"PSI Services, LLC (9)(16)",,Business Services,,"6.24 (1M L+500, 1.00 Floor)",,1/20/23,,4142,,,4050,,,4070,,,Level 3,,,
49,"RA Outdoors, LLC (9)(16)",,Business Services,,"5.99 (1M L+475, 1.00 Floor)",,9/11/24,,8800,,,8625,,,8624,,,Level 3,,,
50,Total Business Services0 4.2(10),,,,,,,62730,,,,61784,,,,,,,,,
51,"Maxus Capital Carbon SPE I, LLC",,"Chemicals, Plastics & Rubber",,5.22 PIK,,12/31/18,,,59305,,,,59305,,,,49544,,,Level 3
52,"Total Chemicals, Plastics & Rubber0 3.4(10)",,,,,,,59305,,,,49544,,,,,,,,,
53,KLO / 9357-5991 Quebec Inc,,Consumer Goods – Durable,,"9.00 (1M L+775, 0.75 Floor)",,4/7/22,,,9382,,,,9276,,,,9273,,,Level 3
54,KLO Acquisition LLC,,Consumer Goods – Durable,,"9.00 (1M L+775, 0.75 Floor)",,4/7/22,,5466,,,5404,,,5403,,,Level 3,,,
55,Total Consumer Goods – Durable0 1.0(10),,,,,,,14680,,,,14676,,,,,,,,,
56,Westinghouse Electric Co LLC (9),,Energy – Electricity,,"7.50 (1M L+625, 1.25 Floor)",,3/31/18,,,40000,,,,39449,,,,40000,,,Level 3
57,Total Energy – Electricity0 2.7(10),,,,,,,39449,,,,40000,,,,,,,,,
58,"Bumble Bee Holdings, Inc.",,Food & Grocery,,"9.32 (3M L+800, 1.00 Floor)",,8/15/23,,,15585,,,,15278,,,,15273,,,Level 3
59,Connors Bros Clover Leaf Seafoods Company,,Food & Grocery,,"9.32 (3M L+800, 1.00 Floor)",,8/15/23,,4415,,,4328,,,4327,,,Level 3,,,
60,Total Food & Grocery0 1.3(10),,,,,,,19606,,,,19600,,,,,,,,,
61,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),,Healthcare & Pharmaceuticals,,"7.62 (3M L+625, 1.00 Floor)",,6/9/23,,C$,2430,,,,1771,,,,1900,,,Level 3
62,Altasciences / 9360-1367 Quebec Inc. (9)(16)(17),,Healthcare & Pharmaceuticals,,"7.58 (3M L+625, 1.00 Floor)",,6/9/23,,2913,,,2851,,,2848,,,Level 3,,,
63,"Altasciences US Acquistion, Inc. (9)(16)",,Healthcare & Pharmaceuticals,,"7.58 (3M L+625, 1.00 Floor)",,6/9/23,,5261,,,5149,,,5143,,,Level 3,,,
64,"Altasciences US Acquistion, Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)(28)",,Healthcare & Pharmaceuticals,,0.50 Unfunded,,6/9/23,,2851,,,(34,,,(64,,,Level 3,,,
65,Aptevo Therapeutics Inc. (9)(16)(23),,Healthcare & Pharmaceuticals,,8.84 (1M L+760),,2/1/21,,8571,,,8664,,,8508,,,Level 3,,,
66,"Aptevo Therapeutics Inc., Unfunded Delayed Draw (8)(9)(16)(21)(23)",,Healthcare & Pharmaceuticals,,0.00 Unfunded,,2/1/21,,6429,,,(24,,,(48,,,Level 3,,,
67,"Invuity, Inc. (9)(16)",,Healthcare & Pharmaceuticals,,"8.00 (1M L+650, 1.50 Floor)",,3/1/22,,10000,,,9914,,,9808,,,Level 3,,,
68,"Oxford Immunotec, Inc. (9)(16)(17)",,Healthcare & Pharmaceuticals,,8.84 (1M L+760),,10/1/21,,9750,,,9824,,,9859,,,Level 3,,,
69,"PTC Therapeutics, Inc (9)(16)(17)",,Healthcare & Pharmaceuticals,,"7.39 (1M L+615, 1.00 Floor)",,5/1/21,,12667,,,12610,,,12667,,,Level 3,,,
70,"PTC Therapeutics, Inc, Unfunded Delayed Draw (9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.00 Unfunded,,5/1/21,,6333,,,0,,,0,,,Level 3,,,
