,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,
1,,"September 30, 2016",,"March 31, 2016",,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost - $1,605,296 and $2,052,896, respectively)",,1410698,,,,1790294,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost - $363,985 and $216,202, respectively)",287569,,,272558,,,,,,,,,,,,,,
7,"Controlled investments (cost - $859,936 and $829,029, respectively)",850301,,,853977,,,,,,,,,,,,,,
8,"Total investments at fair value (cost - $2,829,217 and $3,098,127, respectively)",2548568,,,2916829,,,,,,,,,,,,,,
9,Cash,65744,,,16521,,,,,,,,,,,,,,
10,"Foreign currencies (cost - $4,369 and $2,354, respectively)",4368,,,2384,,,,,,,,,,,,,,
11,Receivable for investments sold,71,,,79625,,,,,,,,,,,,,,
12,Interest receivable,15323,,,29749,,,,,,,,,,,,,,
13,Dividends receivable,6992,,,9509,,,,,,,,,,,,,,
14,Deferred financing costs,12447,,,14497,,,,,,,,,,,,,,
15,Prepaid expenses and other assets,1051,,,9523,,,,,,,,,,,,,,
16,Total Assets,,2654564,,,,3078637,,,,,,,,,,,,
17,Liabilities,,,,,,,,,,,,,,,,,,
18,Debt,,1014794,,,,1312960,,,,,,,,,,,,
19,Payable for investments purchased,24126,,,25091,,,,,,,,,,,,,,
20,Distributions payable,33314,,,45231,,,,,,,,,,,,,,
21,Management and performance-based incentive fees payable,22350,,,31124,,,,,,,,,,,,,,
22,Interest payable,7034,,,7444,,,,,,,,,,,,,,
23,Accrued administrative services expense,1412,,,2015,,,,,,,,,,,,,,
24,Other liabilities and accrued expenses,9596,,,9191,,,,,,,,,,,,,,
25,Total Liabilities,,1112626,,,,1433056,,,,,,,,,,,,
26,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,
27,Net Assets,,1541938,,,,1645581,,,,,,,,,,,,
28,Net Assets,,,,,,,,,,,,,,,,,,
29,"Common stock, $0.001 par value (400,000,000 shares authorized; 221,994,770 and 226,156,496 shares issued and outstanding, respectively)",,222,,,,226,,,,,,,,,,,,
30,Paid-in capital in excess of par,3002583,,,3026922,,,,,,,,,,,,,,
31,Accumulated underdistributed net investment income,68504,,,71231,,,,,,,,,,,,,,
32,Accumulated net realized loss,"(1,282,620",,,"(1,288,141",,,,,,,,,,,,,,
33,Net unrealized loss,"(246,751",,,"(164,657",,,,,,,,,,,,,,
34,Net Assets,,1541938,,,,1645581,,,,,,,,,,,,
35,Net Asset Value Per Share,,6.95,,,,7.28,,,,,,,,,,,,
36,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
37,Non-Controlled/Non-Affiliated Investments,,,,,,,,,,,,,,,,,,
38,Corporate Debt,,,,,,,,,,,,,,,,,,
39,Secured Debt,,,,,,,,,,,,,,,,,,
40,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
41,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,
42,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.50% (1M L+750, 1.00% Floor)",,8/24/20,,,270,,,,262,,,,262,
43,"American Media, Inc. (16)",,"Advertising, Printing & Publishing",,"8.50% (1M L+750, 1.00% Floor)",,8/24/20,,10396,,,10092,,,10085,,,,
