,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (35),,,Fair Value (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KL Charlie Acquisition Company,,First Lien Secured Debt,,"L+625, 1.00 Floor",,12/30/26,,,30875,,,,22411,,,,,22566,,,(9)(21)(23)  (26)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,First Lien Secured Debt - Revolver,,"L+625, 1.00 Floor",,12/30/26,,2190,,(18),,,,(22),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,N/A,,N/A,,"218,978 Shares",,219,,,,344,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,22612,,,,22888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hero Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"HRO (Hero Digital) Holdings, LLC",,First Lien Secured Debt,,"L+600, 1.00 Floor",,11/18/28,,27234,,19111,,,,19303,,,(9)(21)(23)  (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,First Lien Secured Debt - Revolver,,"L+600, 1.00 Floor",,11/18/26,,2553,,(50),,,,(26),,,(8)(9)(20)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,HRO Holdings I LP,,Common Equity - Common Stock,,N/A,,N/A,,213 Shares,,213,,,,213,,,(9)(13)(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,19274,,,,19490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,"Total Advertising, Printing & Publishing",,,41886,,,,,42378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Erickson Inc,,First Lien Secured Debt - Revolver,,"L+750, 1.50 Floor",,04/28/22,,,32250,,,,20722,,,,,20446,,,(9)(20)(21)  (23)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,First Lien Secured Debt - Revolver,,13.50,,04/28/22,,3750,,3750,,,,3713,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,Total Aerospace & Defense,,,24472,,,,,24159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
