,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,
1,,"March 31, 2018",,"March 31, 2017",,,,,,,,,,,,,,,,,
2,Assets,,,,,,,,,,,,,,,,,,,,
3,Investments at fair value:,,,,,,,,,,,,,,,,,,,,
4,"Non-controlled/non-affiliated investments (cost 0 $1,471,492 and $1,510,980, respectively)",,1450033,,,,1402409,,,,,,,,,,,,,,
5,"Non-controlled/affiliated investments (cost 0 $73,943 and $417,471, respectively)",68954,,,239050,,,,,,,,,,,,,,,,
6,"Controlled investments (cost 0 $723,161 and $676,972, respectively)",729060,,,675249,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,14035,,,9783,,,,,,,,,,,,,,,,
8,"Foreign currencies (cost 0 $1,292 and $1,494, respectively)",1298,,,1497,,,,,,,,,,,,,,,,
9,Cash collateral on option contracts,5016,,,0,,,,,,,,,,,,,,,,
10,Receivable for investments sold,2190,,,40226,,,,,,,,,,,,,,,,
11,Interest receivable,22272,,,17072,,,,,,,,,,,,,,,,
12,Dividends receivable,2550,,,6489,,,,,,,,,,,,,,,,
13,Deferred financing costs,14137,,,17632,,,,,,,,,,,,,,,,
14,Variation margin receivable,1846,,,0,,,,,,,,,,,,,,,,
15,Prepaid expenses and other assets,419,,,713,,,,,,,,,,,,,,,,
16,Total Assets,,2311810,,,,2410120,,,,,,,,,,,,,,
17,Liabilities,,,,,,,,,,,,,,,,,,,,
18,Debt,,789846,,,,848449,,,,,,,,,,,,,,
19,Payable for investments purchased,41827,,,13970,,,,,,,,,,,,,,,,
20,Distributions payable,32447,,,32954,,,,,,,,,,,,,,,,
21,Management and performance-based incentive fees payable,16585,,,16306,,,,,,,,,,,,,,,,
22,Interest payable,5310,,,7319,,,,,,,,,,,,,,,,
23,Accrued administrative services expense,2507,,,2250,,,,,,,,,,,,,,,,
24,Other liabilities and accrued expenses,5202,,,7075,,,,,,,,,,,,,,,,
25,Total Liabilities,,893724,,,,928323,,,,,,,,,,,,,,
26,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,
27,Net Assets,,1418086,,,,1481797,,,,,,,,,,,,,,
28,Net Assets,,,,,,,,,,,,,,,,,,,,
29,"Common stock, $0.001 par value (400,000,000 shares authorized; 216,312,096 and 219,694,654 shares issued and outstanding, respectively)",,216,,,,220,,,,,,,,,,,,,,
30,Paid-in capital in excess of par,2636507,,,2924775,,,,,,,,,,,,,,,,
31,Accumulated under-distributed (over-distributed) net investment income,"(10,229",,,88134,,,,,,,,,,,,,,,,
32,Accumulated net realized loss,"(1,166,471",,,"(1,277,625",,,,,,,,,,,,,,,,
33,Net unrealized loss,"(41,937",,,"(253,707",,,,,,,,,,,,,,,,
34,Net Assets,,1418086,,,,1481797,,,,,,,,,,,,,,
35,Net Asset Value Per Share,,6.56,,,,6.74,,,,,,,,,,,,,,
36,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
37,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,
38,A-L Parent LLC,,Second Lien Secured Debt,,"9.13 (1M L+725, 1.00 Floor)",,12/02/24,,,7536,,,,7473,,,,7611,,,
39,"American Media, Inc.",,First Lien Secured Debt,,"10.75 (3M L+900, 1.00 Floor)",,08/24/20,,13867,,,13596,,,14213,,,,,,
40,,,First Lien Secured Debt - Revolver,,"11.25 (3M L+900, 1.00 Floor)",,08/24/20,,948,,,948,,,963,,,(23),,,
41,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,08/24/20,,746,,,(32,,,0,,,(21)(23),,,
42,,,First Lien Secured Debt - Letter of Credit,,9.00,,08/24/20,,84,,,0,,,0,,,(23),,,
43,,,,,,,,,,,14512,,,15176,,,,,,,
44,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"8.39 (1M L+650, 1.00 Floor)",,09/28/22,,12139,,,11812,,,11775,,,(9),,,
