,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (33),,,Fair Value (1)(34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KL Charlie Acquisition Company,,First Lien Secured Debt,,"L+625, 1.00% Floor",,12/30/26,,,30818,,,,22373,,,,,22510,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,First Lien Secured Debt - Revolver,,"L+625, 1.00% Floor",,12/30/26,,1962,,,(31),,,,(20),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,N/A,,N/A,,"218,978 Shares",,219,,,,353,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,22561,,,,22843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Hero Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"HRO (Hero Digital) Holdings, LLC",,First Lien Secured Debt,,"L+600, 1.00% Floor",,11/18/28,,27186,,19084,,,,19253,,,(9)(21)(23)  (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,First Lien Secured Debt - Revolver,,"L+600, 1.00% Floor",,11/18/26,,2553,,(47),,,,(26),,,(8)(9)(20)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
