,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,
1,,"June 30, 2018",,"March 31, 2018",,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost - $1,627,841 and $1,471,492, respectively)",,1601259,,,,1450033,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost - $69,977 and $73,943, respectively)",64123,,,68954,,,,,,,,,,,,,,,,
7,"Controlled investments (cost - $815,599 and $723,161, respectively)",830077,,,729060,,,,,,,,,,,,,,,,
8,Cash and cash equivalents,11612,,,14035,,,,,,,,,,,,,,,,
9,"Foreign currencies (cost - $1,063 and $1,292, respectively)",1055,,,1298,,,,,,,,,,,,,,,,
10,Cash collateral on option contracts,4228,,,5016,,,,,,,,,,,,,,,,
11,Receivable for investments sold,15874,,,2190,,,,,,,,,,,,,,,,
12,Interest receivable,23406,,,22272,,,,,,,,,,,,,,,,
13,Dividends receivable,7815,,,2550,,,,,,,,,,,,,,,,
14,Deferred financing costs,13121,,,14137,,,,,,,,,,,,,,,,
15,Variation margin receivable,-,,,1846,,,,,,,,,,,,,,,,
16,Prepaid expenses and other assets,801,,,419,,,,,,,,,,,,,,,,
17,Total Assets,,2573371,,,,2311810,,,,,,,,,,,,,,
18,Liabilities,,,,,,,,,,,,,,,,,,,,
19,Debt,,1102679,,,,789846,,,,,,,,,,,,,,
20,Payable for investments purchased,11453,,,41827,,,,,,,,,,,,,,,,
21,Distributions payable,32293,,,32447,,,,,,,,,,,,,,,,
22,Management and performance-based incentive fees payable,17506,,,16585,,,,,,,,,,,,,,,,
23,Interest payable,10184,,,5310,,,,,,,,,,,,,,,,
24,Accrued administrative services expense,1575,,,2507,,,,,,,,,,,,,,,,
25,Variation margin payable on option contracts,1206,,,-,,,,,,,,,,,,,,,,
26,Other liabilities and accrued expenses,5309,,,5202,,,,,,,,,,,,,,,,
27,Total Liabilities,,1182205,,,,893724,,,,,,,,,,,,,,
28,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,
29,Net Assets,,1391166,,,,1418086,,,,,,,,,,,,,,
30,Net Assets,,,,,,,,,,,,,,,,,,,,
31,"Common stock, $0.001 par value (400,000,000 shares authorized; 214,925,294 and 216,312,096 shares issued and outstanding, respectively)",,215,,,,216,,,,,,,,,,,,,,
32,Paid-in capital in excess of par,2628631,,,2636507,,,,,,,,,,,,,,,,
33,Accumulated over-distributed net investment income,"(10,974",,,"(10,229",,,,,,,,,,,,,,,,
34,Accumulated net realized loss,"(1,189,654",,,"(1,166,471",,,,,,,,,,,,,,,,
35,Net unrealized loss,"(37,052",,,"(41,937",,,,,,,,,,,,,,,,
36,Net Assets,,1391166,,,,1418086,,,,,,,,,,,,,,
37,Net Asset Value Per Share,,6.47,,,,6.56,,,,,,,,,,,,,,
38,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
39,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,
40,A-L Parent LLC,,Second Lien Secured Debt,,"9.35% (1M L+725, 1.00% Floor)",,12/02/24,,,5536,,,,5489,,,,5591,,,
41,"American Media, Inc.",,First Lien Secured Debt,,"11.36% (3M L+900, 1.00% Floor)",,08/24/20,,12699,,,12475,,,13080,,,,,,
42,,,First Lien Secured Debt - Revolver,,12.00% (P+700),,08/24/20,,178,,,178,,,183,,,(23),,,
43,,,First Lien Secured Debt - Revolver,,10.34% (3M L+800),,08/24/20,,533,,,533,,,549,,,(23),,,
44,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,08/24/20,,1067,,,(29,,,-,,,(21)(23),,,
45,,,,,,,,,,,13157,,,13812,,,,,,,
46,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"7.59% (1M L+550, 1.00% Floor)",,09/28/22,,25556,,,25053,,,25300,,,(9),,,
47,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,09/28/22,,2400,,,(61,,,(24,,,(8)(9)(21)(23),,,
48,,,,,,,,,,,24992,,,25276,,,,,,,
49,"Total Advertising, Printing & Publishing",,,,43638,,,,44679,,,,,,,,,,,,
50,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,
51,Erickson Inc,,First Lien Secured Debt - Revolver,,"9.84% (3M L+750, 1.00% Floor)",,04/28/22,,,26014,,,,26014,,,,25429,,,(9)(23)
52,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/28/22,,12124,,,(412,,,(273,,,(8)(9)(21)(23),,,
53,,,First Lien Secured Debt - Letters of Credit,,7.50%,,8/16/18 - 4/30/20,,6862,,,-,,,(153,,,(8)(9)(23),,,
54,,,,,,,,,,,25602,,,25003,,,,,,,
55,ILC Dover LP,,Second Lien Secured Debt,,"10.84% (3M L+850, 1.00% Floor)",,06/28/24,,20000,,,19583,,,19550,,,,,,
56,PAE Holding Corporation,,Second Lien Secured Debt,,"11.59% (1M L+950, 1.00% Floor)",,10/20/23,,28097,,,27451,,,28272,,,(10),,,
57,Total Aerospace & Defense,,,,72636,,,,72825,,,,,,,,,,,,
58,Automotive,,,,,,,,,,,,,,,,,,,,
59,Accelerate Parent Corp.,,Common Equity/Interest - Common Stock,,N/A,,N/A,,"1,664,046 Shares",,,,1714,,,,100,,,(13),
60,Crowne Automotive,,,,,,,,,,,,,,,,,,,,
61,"Vari-Form Group, LLC",,First Lien Secured Debt,,"13.33% (3M L+11.00% (7.00% Cash plus 4.00% PIK), 1.00% Floor)",,02/02/23,,4998,,,4862,,,4848,,,(9),,,
62,Vari-Form Inc.,,First Lien Secured Debt,,"13.33% (3M L+11.00% (7.00% Cash plus 4.00% PIK), 1.00% Floor)",,02/02/23,,9997,,,9725,,,9697,,,(9),,,
63,,,14587,,,14545,,,,,,,,,,,,,,,
64,"K&N Parent, Inc.",,Second Lien Secured Debt,,"11.08% (3M L+875, 1.00% Floor)",,10/21/24,,26765,,,26336,,,26096,,,(10),,,
65,Total Automotive,,,,42637,,,,40741,,,,,,,,,,,,
66,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,
67,Merx Aviation,,,,,,,,,,,,,,,,,,,,
68,Merx Aviation Finance Assets Ireland Limited (5),,First Lien Secured Debt - Letters of Credit,,2.25%,,09/30/18,,,3600,,,,-,,,,-,,,(23)
69,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,12.00%,,10/31/23,,450800,,,450800,,,450800,,,(23),,,
