,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited)  September 30, 2015  (in thousands except share data)",,,,,,,,,,,,,,,,,,
1,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-120.3%(10),,Interest Rate (20),,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
2,CORPORATE DEBT-106.8%,,,,,,,,,,,,,,,,,,
3,SECURED DEBT-90.6%,,,,,,,,,,,,,,,,,,
4,1ST LIEN SECURED DEBT-39.0%,,,,,,,,,,,,,,,,,,
5,1st Lien Secured Debt (excluding Revolvers and Letters of Credit)-38.9%,,,,,,,,,,,,,,,,,,
6,"Aventine Renewable Energy Holdings, Inc.",,10.500% Cash (15.000% PIK Toggle),,9/22/17,,"Chemicals, Plastics & Rubber",,,16339,,,,18192,,,,16252,
7,"Aveta, Inc.",,"9.750%  (3M L+825, 1.50% Floor)",,12/12/17,,Healthcare & Pharmaceuticals,,51315,,,50538,,,38144,,,,
8,Caza Petroleum Inc.,,"12.000%  (12M L+1000, 2.00% Floor)",,5/23/17,,Energy – Oil & Gas,,45000,,,44202,,,42666,,,,
9,ChyronHego Corporation (18),,"6.625%  (3M L+563, 1.00% Floor)",,3/9/20,,High Tech Industries,,32638,,,32032,,,31985,,,,
10,"CITGO Holding, Inc. (11)",,"9.500%  (3M L+850, 1.00% Floor)",,5/12/18,,Utilities - Oil and Gas,,16737,,,15899,,,16497,,,,
11,"Deep Gulf Energy II, LLC (23)",,"14.500% (14.500% or 6M L+1300, 1.50% Floor)",,9/30/18,,Energy – Oil & Gas,,50000,,,50000,,,48000,,,,
12,"Delta Educational Systems, Inc.",,16.000% PIK,,12/11/16,,Education,,6008,,,6008,,,6008,,,,
13,Dodge Data & Analytics LLC,,"9.750%  (3M L+875, 1.00% Floor)",,10/31/19,,Business Services,,53902,,,52986,,,52419,,,,
14,"Emergency Communications Network, LLC (18)",,"8.000%  (3M L+700, 1.00% Floor)",,6/12/21,,High Tech Industries,,22444,,,22121,,,22107,,,,
15,"Hunt Companies, Inc. (11)",,9.625%,,3/1/21,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,19008,,,18812,,,17677,,,,
16,"Magnetation, LLC (16)",,12.000% PIK,,12/7/15,,Metals & Mining,,12673,,,12673,,,12267,,,,
17,"Magnetation, LLC (11)(13)(14)(16)",,11.000%,,5/15/18,,Metals & Mining,,32632,,,33927,,,6119,,,,
18,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.)",,13.000%,,9/18/19,,"Chemicals, Plastics & Rubber",,66765,,,66765,,,66765,,,,
19,"My Alarm Center, LLC (16)",,"9.000%  (12M L+800, 1.00% Floor)",,1/9/18,,Business Services,,42614,,,42614,,,42614,,,,
20,"My Alarm Center, LLC (16)(23)",,"9.000%  (12M L+800 Funded, 0.350% Unfunded, 1.00% Floor)",,1/9/18,,Business Services,,12789,,,12789,,,12789,,,,
21,"My Alarm Center, LLC (16)(23)",,"9.000%  (3M L+800 Funded, 0.350% Unfunded, 1.00% Floor)",,1/9/18,,Business Services,,3868,,,3868,,,3868,,,,
22,"Osage Exploration & Development, Inc. (11)(17)",,"13.000%  (12M L+1100, 2.00% Floor)",,4/27/16,,Energy – Oil & Gas,,25000,,,24856,,,14465,,,,
23,"Pelican Energy, LLC (17)",,10.000% (7.000% Cash / 3.000% PIK),,12/31/18,,Energy – Oil & Gas,,28098,,,27256,,,24782,,,,
24,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,,,,,,,,,,,,,,
25,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-120.3%(10),,Interest Rate (20),,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
26,1st Lien Secured Debt (excluding Revolvers and Letters of Credit)-38.9% (continued),,,,,,,,,,,,,,,,,,
27,"Saba Software, Inc. (18)",,"9.750%  (12M L+875, 1.00% Floor)",,3/30/21,,High Tech Industries,,,9975,,,,9975,,,,9825,
28,"SCM Insurance Services, Inc. (17)",,9.250%,,8/22/19,,Business Services,,C$,33000,,,29603,,,24368,,,
29,"Spotted Hawk Development, LLC",,19.000% (13.000% Cash / 6.000% PIK),,9/12/16,,Energy – Oil & Gas,,83106,,,83106,,,79574,,,,
30,Telestream Holdings Corporation (18),,"7.430%  (3M L+643, 1.00% Floor)",,1/15/20,,High Tech Industries,,32094,,,32094,,,31372,,,,
31,UniTek Global Services Inc. (16),,"9.500%  (3M L+750, 1.000% PIK, 1.00% Floor)",,1/13/19,,Telecommunications,,19501,,,19501,,,19501,,,,
32,UniTek Global Services Inc. (16),,"8.500%  (3M L+750, 1.00% Floor)",,1/13/19,,Telecommunications,,32367,,,32367,,,30748,,,,
33,"Venoco, Inc.",,12.000%,,2/28/19,,Energy – Oil & Gas,,40517,,,40517,,,39301,,,,
34,Total 1st Lien Secured Debt (excluding Revolvers and Letters of Credit),,,782701,,,,710113,,,,,,,,,,,
35,Funded and Unfunded Revolver Obligations-0.1%,,,,,,,,,,,,,,,,,,
36,"Alliant Holdings, (Unfunded Revolver) (8)(21)(23)",,0.500% Unfunded,,8/14/20,,Insurance,,,15000,,,,"(1,575",,,,"(1,575",
37,"Avaya Inc., (Revolver) (23)",,"2.933%  (12M L+275, 0.190% Floor)",,10/26/16,,Telecommunications,,3303,,,3106,,,3138,,,,
38,"CIT Group, Inc., (Unfunded Revolver) (8)(17)(21)(23)",,0.625% Unfunded,,1/27/17,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,25000,,,(11,,,(750,,,,
39,"Confie Seguros Holding II Co., (Revolver) (16)(23)",,"4.672%  (3M L+450, 0.17% Floor) / 6.750%  (3M P+350, 3.25% Floor) Funded",,12/10/18,,Insurance,,1800,,,1800,,,1611,,,,
40,"Confie Seguros Holding II Co., (Unfunded Revolver) (8)(16)(21)",,0.500% Unfunded,,12/10/18,,Insurance,,1864,,,(294,,,(196,,,,
41,"My Alarm Center, LLC, (Revolver) (16)(23)",,"9.000%  (3M L+800, 1.00% Floor)",,1/9/18,,Business Services,,833,,,833,,,833,,,,
42,"My Alarm Center, LLC, (Unfunded Revolver) (16)(21)(23)",,0.350% Unfunded,,1/9/18,,Business Services,,5417,,,-,,,-,,,,
43,"Tibco Software Inc., (Unfunded Revolver) (8)(21)(23)",,0.500% Unfunded,,12/5/19,,High Tech Industries,,6000,,,(50,,,(450,,,,
44,"Transfirst Holdings, Inc., (Unfunded Revolver) (8)(16)(21)",,0.500% Unfunded,,11/12/19,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,2943,,,(12,,,(88,,,,
45,"UniTek Global Services Inc., (Unfunded Revolver) (16)(21)",,0.500% Unfunded,,1/13/19,,Telecommunications,,5000,,,-,,,-,,,,
46,Total Funded and Unfunded Revolver Obligations,,,3797,,,,2523,,,,,,,,,,,
47,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,,,,,,,,,,,,,,
48,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-120.3%(10),,Interest Rate (20),,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
49,Letters of Credit--0.0%,,,,,,,,,,,,,,,,,,
50,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",,4.500%,,6/29/16,,Insurance,,,500,,,,-,,,,(53,
51,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",,4.500%,,1/13/16,,Insurance,,336,,,-,,,(35,,,,
52,"Transfirst Holdings, Inc., Letter of Credit (8)(16)(23)",,3.750%,,11/12/19,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,57,,,-,,,(2,,,,
53,"UniTek Global Services Inc., Letter of Credit (16)(23)",,7.500%,,1/13/19,,Telecommunications,,15711,,,-,,,-,,,,
54,"UniTek Global Services Inc., Letter of Credit (16)(23)",,7.500%,,1/13/19,,Telecommunications,,1850,,,-,,,-,,,,
55,Total Letters of Credit,,,-,,,,(90,,,,,,,,,,,
56,TOTAL 1ST LEIN SECURED DEBT,,,786498,,,,712546,,,,,,,,,,,
57,2nd Lien Secured Debt-51.6%,,,,,,,,,,,,,,,,,,
58,"Access CIG, LLC",,"9.750%  (3M L+875, 1.00% Floor)",,10/17/22,,Business Services,,,35755,,,,34096,,,,34861,
59,"Active Network, Inc.",,"9.500%  (3M L+850, 1.00% Floor)",,11/15/21,,Business Services,,19672,,,19591,,,18615,,,,
60,American Energy - Woodford LLC/AEW Finance Corp (11),,12.000%,,12/30/20,,Energy – Oil & Gas,,3500,,,2409,,,1199,,,,
61,"Appriss Holdings, Inc.",,"9.250%  (3M L+825, 1.00% Floor)",,5/21/21,,Business Services,,32750,,,32299,,,32750,,,,
62,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",,"10.250%  (3M L+900, 1.25% Floor)",,12/26/20,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,8000,,,7876,,,7930,,,,
63,Asurion Corporation,,"8.500%  (3M L+750, 1.00% Floor)",,3/3/21,,Insurance,,67590,,,67301,,,61507,,,,
64,"1A Smart Start, LLC",,"9.500%  (3M L+850, 1.00% Floor)",,8/19/22,,Consumer Services,,35000,,,34308,,,34300,,,,
65,Confie Seguros Holding II Co.,,"10.250%  (3M L+900, 1.25% Floor)",,5/8/19,,Insurance,,22344,,,22236,,,22288,,,,
66,"Delta Educational Systems, Inc.",,35.000% PIK,,6/10/18,,Education,,1083,,,1083,,,1603,,,,
67,"Deltek, Inc.",,"9.500%  (3M L+850, 1.00% Floor)",,6/26/23,,Business Services,,33736,,,33243,,,33841,,,,
68,"Elements Behavioral Health, Inc.",,"11.750%  (3M L+875 Cash / 2.000% PIK, 1.00% Floor)",,2/11/20,,Healthcare & Pharmaceuticals,,9500,,,9426,,,9443,,,,
69,"Extraction Oil & Gas Holdings, LLC",,11.000% & 10.000%,,5/29/19,,Energy – Oil & Gas,,52633,,,52000,,,52264,,,,
70,Garden Fresh Restaurant Corp. (16),,"7.750%  (3M L+625 PIK, 1.50% Floor)",,1/1/19,,"Hotel, Gaming, Leisure, Restaurants",,8585,,,7034,,,6267,,,,
71,Garden Fresh Restaurant Corp. (16),,"15.000%  (12M L+1350 PIK, 1.50% Floor)",,1/1/19,,"Hotel, Gaming, Leisure, Restaurants",,43037,,,41367,,,38303,,,,
72,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,,,,,,,,,,,,,,
73,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-120.3%(10),,Interest Rate (20),,Maturity Date,,Industry (9),,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
74,2nd Lien Secured Debt-51.6% (continued),,,,,,,,,,,,,,,,,,
75,"GCA Services Group, Inc.",,"9.250%  (3M L+800, 1.25% Floor)",,11/2/20,,Business Services,,,19333,,,,19464,,,,19333,
76,"Grocery Outlet, Inc.",,"9.250%  (3M L+825, 1.00% Floor)",,10/21/22,,Food & Grocery,,28000,,,27614,,,27930,,,,
77,"GTCR Valor Companies, Inc.",,"9.500%  (3M L+850, 1.00% Floor)",,11/30/21,,Business Services,,35000,,,34685,,,34475,,,,
