,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (28),,,Fair Value (1)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KL Charlie Acquisition Company,,First Lien Secured Debt,,"7.25 (3M L+625, 1.00 Floor)",,12/30/26,,,18653,,,,18292,,,,,18467,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/30/26,,2190,,(29),,,,(22),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00 Unfunded,,12/30/26,,4380,,(29),,,,(44),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,N/A,,N/A,,"218,978 Shares",,219,,,,239,,,(9)(13)  (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,18453,,,,18640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"7.25 (6M L+625, 1.00 Floor)",,08/02/25,,38440,,37919,,,,37867,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,First Lien Secured Debt - Revolver,,8.50 (P+525),,08/02/25,,1440,,1440,,,,1418,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,08/02/25,,960,,(40),,,,(14),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,39319,,,,39271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,"Total Advertising, Printing & Publishing",,,57772,,,,,57911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Erickson Inc,,First Lien Secured Debt - Revolver,,"9.00 (3M L+750, 1.50 Floor)",,04/28/22,,,30469,,,,30469,,,,,30012,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,04/28/22,,4091,,(101),,,,(61),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,First Lien Secured Debt - Letters of Credit,,7.50,,04/23/21 - 11/23/22,,1440,,0,,,,(21),,,(8)(9)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,Total Aerospace & Defense,,,30368,,,,,29930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
