,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,
1,,"December 31, 2015",,"March 31, 2015",,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cost 0 $2,353,855 and $2,514,328, respectively)",,2079618,,,,2357042,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost 0 $188,725 and $297,948, respectively)",249607,,,327218,,,,,,,,,,,,,,
7,"Controlled investments (cost 0 $715,920 and $674,299, respectively)",739768,,,665567,,,,,,,,,,,,,,
8,"Total investments at fair value (cost 0 $3,258,500 and $3,486,575, respectively)",3068993,,,3349827,,,,,,,,,,,,,,
9,Cash,10414,,,3766,,,,,,,,,,,,,,
10,"Foreign currencies (cost 0 $2,125 and $4,856, respectively)",2113,,,4651,,,,,,,,,,,,,,
11,Receivable for investments sold,63024,,,114884,,,,,,,,,,,,,,
12,Interest receivable,32603,,,43312,,,,,,,,,,,,,,
13,Dividends receivable,8874,,,5425,,,,,,,,,,,,,,
14,Deferred financing costs,30111,,,29743,,,,,,,,,,,,,,
15,Prepaid expenses and other assets,3162,,,9283,,,,,,,,,,,,,,
16,Total Assets,,3219294,,,,3560891,,,,,,,,,,,,
17,Liabilities,,,,,,,,,,,,,,,,,,
18,Debt,,1384719,,,,1498759,,,,,,,,,,,,
19,Payable for investments purchased,5282,,,10736,,,,,,,,,,,,,,
20,Dividends payable,45634,,,47348,,,,,,,,,,,,,,
21,Management and performance-based incentive fees payable,30086,,,37361,,,,,,,,,,,,,,
22,Interest payable,17292,,,15851,,,,,,,,,,,,,,
23,Accrued administrative services expense,1808,,,2000,,,,,,,,,,,,,,
24,Other liabilities and accrued expenses,10264,,,11228,,,,,,,,,,,,,,
25,Total Liabilities,,1495085,,,,1623283,,,,,,,,,,,,
26,Net Assets,,1724209,,,,1937608,,,,,,,,,,,,
27,Net Assets,,,,,,,,,,,,,,,,,,
28,"Common stock, $0.001 par value (400,000,000 shares authorized; 228,168,622 and 236,741,351 shares issued and outstanding, respectively)",,228,,,,237,,,,,,,,,,,,
29,Paid-in capital in excess of par,3145287,,,3197715,,,,,,,,,,,,,,
30,Over-distributed net investment income,"(26,783",,,"(35,589",,,,,,,,,,,,,,
31,Accumulated net realized loss,"(1,222,886",,,"(1,102,517",,,,,,,,,,,,,,
32,Net unrealized loss,"(171,637",,,"(122,238",,,,,,,,,,,,,,
33,Net Assets,,1724209,,,,1937608,,,,,,,,,,,,
34,Net Asset Value Per Share,,7.56,,,,8.18,,,,,,,,,,,,
35,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
36,Non-Controlled/Non-Affiliated Investments0120.6 (10),,,,,,,,,,,,,,,,,,
37,Corporate Debt0105.5,,,,,,,,,,,,,,,,,,
