,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,,,"March 31, 2023",,,"December 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,(Unaudited),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Investments at fair value:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Non-controlled/non-affiliated investments (cost 0 $  2,065,947  and $  2,019,573  , respectively)",,,,2006527,,,,,1960199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/affiliated investments (cost 0 $  121,409  and $  121,307  , respectively)",,,,50476,,,,,49141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Controlled investments (cost 0 $  404,405  and $  466,294  , respectively)",,,,328208,,,,,388780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cash and cash equivalents,,,,69676,,,,,84713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Foreign currencies (cost 0 $  418  and $  2,404  , respectively)",,,,388,,,,,2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Receivable for investments sold,,,,1792,,,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Interest receivable,,,,16043,,,,,17169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Dividends receivable,,,,3152,,,,,4836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Deferred financing costs,,,,12252,,,,,13403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Prepaid expenses and other assets,,,,751,,,,,1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Total Assets,,,,2489265,,,,,2525516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Debt,,,,1470852,,,,,1483394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Payable for investments purchased,,,,111,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Distributions payable,,,,0,,,,,24217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Management and performance-based incentive fees payable,,,,10348,,,,,9060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Interest payable,,,,7179,,,,,13546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Accrued administrative services expense,,,,1393,,,,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Other liabilities and accrued expenses,,,,6014,,,,,6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
