,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"APOLLO INVESTMENT CORPORATION  STATEMENTS OF ASSETS AND LIABILITIES  (In thousands, except share and per share data)",,,,,,,,,,,,,,,,,,,,
1,,"September 30, 2019",,"March 31, 2019",,,,,,,,,,,,,,,,,
2,,(Unaudited),,,,,,,,,,,,,,,,,,,
3,Assets,,,,,,,,,,,,,,,,,,,,
4,Investments at fair value:,,,,,,,,,,,,,,,,,,,,
5,"Non-controlled/non-affiliated investments (cos  t 0 $2,159,801 an  d $1,654,322, respectively)",,2121375,,,,1627406,,,,,,,,,,,,,,
6,"Non-controlled/affiliated investments (cost 0 $67,304 and $67,072, respectively)",49164,,,49681,,,,,,,,,,,,,,,,
7,"Controlled investments (cost  0 $662,657  and $736,717, respectively)",634221,,,731045,,,,,,,,,,,,,,,,
8,Cash and cash equivalents,31637,,,36280,,,,,,,,,,,,,,,,
9,"Foreign currencies (cost 0 $4,860 and $4,963, respectively)",4801,,,4909,,,,,,,,,,,,,,,,
10,Receivable for investments sold,269,,,336,,,,,,,,,,,,,,,,
11,Interest receivable,28692,,,24280,,,,,,,,,,,,,,,,
12,Dividends receivable,4381,,,3748,,,,,,,,,,,,,,,,
13,Deferred financing costs,17693,,,19776,,,,,,,,,,,,,,,,
14,Prepaid expenses and other assets,729,,,336,,,,,,,,,,,,,,,,
15,Total Assets,,2892962,,,,2497797,,,,,,,,,,,,,,
16,Liabilities,,,,,,,,,,,,,,,,,,,,
17,Debt,,1584128,,,,1128686,,,,,,,,,,,,,,
18,Payable for investments purchased,0,,,677,,,,,,,,,,,,,,,,
19,Distributions payable,30171,,,31040,,,,,,,,,,,,,,,,
20,Management and performance-based incentive fees payable,12101,,,8880,,,,,,,,,,,,,,,,
21,Interest payable,3666,,,5818,,,,,,,,,,,,,,,,
22,Accrued administrative services expense,2354,,,2983,,,,,,,,,,,,,,,,
23,Other liabilities and accrued expenses,7150,,,7086,,,,,,,,,,,,,,,,
24,Total Liabilities,,1639570,,,,1185170,,,,,,,,,,,,,,
25,Commitments and contingencies (Note 10),,,,,,,,,,,,,,,,,,,,
26,Net Assets,,1253392,,,,1312627,,,,,,,,,,,,,,
27,Net Assets,,,,,,,,,,,,,,,,,,,,
28,"Common stock, $0.001 par value (130,000,000 and 400,000,000 shares authorized; 67,047,352 and 68,876,986 shares issued and outstanding, respectively)",,67,,,,69,,,,,,,,,,,,,,
29,Capital in excess of par value,2126502,,,2155836,,,,,,,,,,,,,,,,
