,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KL Charlie Acquisition Company,,First Lien Secured Debt,,"7.25% (3M L+625, 1.00% Floor)",,12/30/26,,,13212,,,,12948,,,,12947,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/30/26,,2190,,,(43),,,,(44),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,12/30/26,,4379,,,(43),,,,(88),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,N/A,,N/A,,"218,978 Shares",,219,,,,219,,,(9)(13)  (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,13081,,,,13034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"7.25% (6M L+625, 1.00% Floor)",,08/02/25,,38537,,,37986,,,,37612,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,08/02/25,,2400,,,(42),,,,(58),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,37944,,,,37554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,"Total Advertising, Printing & Publishing",,,51025,,,,,50588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
