,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,
3,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,106686,,,106686,,,106686.0,2.9%
4,"Common Stock (272,116 shares)",,24769,,26236,,0.7%,,,,,
5,Net Operating Income Interest (5% of Net Operating Income),,-,,10594,,0.3%,,,,,
6,,,,,131455,,143516,,3.9%,,,
7,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,,31640,,31640,,0.9%,,
8,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,,20230,,20230,,0.5%,,,,
9,Class A Units (700 units),,9006,,10046,,0.3%,,,,,
10,,,,,60876,,61916,,1.7%,,,
11,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16875,,16875,,16875,,0.5%,,
12,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8691,,8691,,8691,,0.2%,,,,
13,"Common Stock (14,857 shares)",,8553,,11308,,0.3%,,,,,
14,,,,,34119,,36874,,1.0%,,,
15,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,,11035,,11035,,0.3%,,
16,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(3)(4)",73099,,73099,,73099,,2.0%,,,,
17,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15214,,15214,,15214,,0.4%,,,,
18,"Common Stock (2,924 shares)",,15227,,2290,,0.1%,,,,,
19,,,,,114575,,101638,,2.8%,,,
20,"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,,36333,,36333,,1.0%,,
21,"Class A Shares (7,500,000 shares)(22)",,11633,,10766,,0.3%,,,,,
22,Net Revenues Interest (25% of Net Revenues)(22),,-,,4443,,0.1%,,,,,
23,,,,,47966,,51542,,1.4%,,,
24,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",40808,,40808,,40808,,1.1%,,
25,"Class A Shares (11,335,318 shares)",,19907,,28133,,0.8%,,,,,
26,,,,,60715,,68941,,1.9%,,,
27,First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(22)",251246,,251246,,251246,,6.8%,,
28,"Class A Shares (83,729,323 shares)(22)",,66473,,103884,,2.8%,,,,,
29,,,,,317719,,355130,,9.6%,,,
