,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,American Property REIT Corp.(8),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",,51905,,,51905,,,51905.0,,1.4%,,,,,,,
1,"Common Stock (318,249 shares)",-,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",24382,51905,43170,,1.3%,,,51905.0,,1.4%,,,,,,,
2,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",-,51905,12418,,0.4%,,,51905.0,,1.4%,,,,,,,
3,Net Operating Income Interest (5% of Net Operating Income),-,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",-,76287,12418,107493,0.4%,3.1%,,51905.0,,1.4%,,,,,,,
4,"Arctic Energy Services, LLC(9)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,76287,31639,107493,33116,3.1%,1.0%,51905.0,,1.4%,,,,,,,
5,"Class E Units (21,080 units)",-,"Class D Units (32,915 units)",20230,76287,4500,107493,0.1%,3.1%,1.0%,51905.0,,1.4%,,,,,,,
6,Class A Units (700 units),-,"Class D Units (32,915 units)",9006,76287,-,107493,-%,3.1%,1.0%,51905.0,,1.4%,,,,,,,
7,Class C Units (10 units),-,"Class D Units (32,915 units)",-,76287,-,107493,-%,3.1%,1.0%,51905.0,,1.4%,,,,,,,
8,Class C Units (10 units),-,"Class D Units (32,915 units)",-,60875,-,37616,-%,1.1%,1.0%,51905.0,,1.4%,,,,,,,
9,CCPI Inc.(10),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12425,60875,12425,37616,12425,1.1%,0.4%,51905.0,,1.4%,,,,,,,
10,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9320,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",9320,60875,9320,37616,0.3%,1.1%,0.4%,51905.0,,1.4%,,,,,,,
11,"Common Stock (14,957 shares)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6636,60875,19108,37616,0.5%,1.1%,0.4%,51905.0,,1.4%,,,,,,,
12,"Common Stock (14,957 shares)",-,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",6636,28381,19108,40853,0.5%,1.2%,0.4%,51905.0,,1.4%,,,,,,,
13,CP Energy Services Inc.(11),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",-,28381,98272,40853,75423,1.2%,2.2%,51905.0,,1.4%,,,,,,,
14,"Common Stock (2,924 shares)",-,"Series B Convertible Preferred Stock (1,043 shares)",15227,28381,-,40853,-%,1.2%,2.2%,51905.0,,1.4%,,,,,,,
15,"Common Stock (2,924 shares)",-,"Series B Convertible Preferred Stock (1,043 shares)",15227,113499,-,75423,-%,2.2%,2.2%,51905.0,,1.4%,,,,,,,
16,"Credit Central Loan Company, LLC(12)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(32)",36333,113499,36333,75423,36333,2.2%,1.0%,51905.0,,1.4%,,,,,,,
17,"Class A Shares (7,500,000 shares)(32)",-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(32)",11633,113499,12426,75423,0.4%,2.2%,1.0%,51905.0,,1.4%,,,,,,,
18,Net Revenues Interest (25% of Net Revenues)(32),-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(32)",-,113499,3627,75423,0.1%,2.2%,1.0%,51905.0,,1.4%,,,,,,,
19,Net Revenues Interest (25% of Net Revenues)(32),-,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(32)",-,47966,3627,52386,0.1%,1.5%,1.0%,51905.0,,1.4%,,,,,,,
20,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(30)",37855,47966,37855,52386,37855,1.5%,1.1%,51905.0,,1.4%,,,,,,,
21,Membership Interest (99%),-,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(30)",19907,47966,19109,52386,0.6%,1.5%,1.1%,51905.0,,1.4%,,,,,,,
22,Membership Interest (99%),-,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(30)",19907,57762,19109,56964,0.6%,1.7%,1.1%,51905.0,,1.4%,,,,,,,
23,"Edmentum Ultimate Holdings, LLC(13)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(33)",-,57762,2742,56964,2742,1.7%,0.1%,51905.0,,1.4%,,,,,,,
24,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(6)",6209,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(33)",6209,57762,6209,56964,0.2%,1.7%,0.1%,51905.0,,1.4%,,,,,,,
25,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(6)",28131,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(33)",21632,57762,25092,56964,0.7%,1.7%,0.1%,51905.0,,1.4%,,,,,,,
26,"Class A Common Units (370,964.14 units)",-,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(33)",6577,57762,6245,56964,0.2%,1.7%,0.1%,51905.0,,1.4%,,,,,,,
27,"Class A Common Units (370,964.14 units)",-,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(33)",6577,37160,6245,40288,0.2%,1.2%,0.1%,51905.0,,1.4%,,,,,,,
28,First Tower Finance Company LLC(14),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(32)",255249,37160,255249,40288,255249,1.2%,7.5%,51905.0,,1.4%,,,,,,,
29,"Class A Shares (86,711,625 shares)(32)",-,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(32)",70476,37160,102881,40288,3.0%,1.2%,7.5%,51905.0,,1.4%,,,,,,,
30,"Class A Shares (86,711,625 shares)(32)",-,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(32)",70476,325725,102881,358130,3.0%,10.5%,7.5%,51905.0,,1.4%,,,,,,,
31,"Freedom Marine Solutions, LLC(15)",Louisiana / Oil & Gas Services,Membership Interest (100%),-,325725,40211,358130,26619,10.5%,0.8%,51905.0,,1.4%,,,,,,,
32,"Freedom Marine Solutions, LLC(15)",Louisiana / Oil & Gas Services,Membership Interest (100%),-,40211,40211,26619,26619,0.8%,0.8%,51905.0,,1.4%,,,,,,,
33,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,26619,0.8%,0.8%,51905.0,,1.4%,,,,,,,
34,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)(30)",Principal Value,37379,Fair  Value(2),% of Net Assets,33925,0.8%,0.8%,9946.0,,0.3%,,,,,,,
35,"Series A Convertible Preferred Stock (99,900 shares)",-,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)(30)",25950,37379,-,% of Net Assets,-%,0.8%,0.8%,9946.0,,0.3%,,,,,,,
36,"Series A Convertible Preferred Stock (99,900 shares)",-,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)(30)",25950,59875,-,9946,-%,0.3%,0.8%,9946.0,,0.3%,,,,,,,
37,"Harbortouch Payments, LLC(16)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(30)",128225,59875,128225,9946,128225,0.3%,3.7%,9946.0,,0.3%,,,,,,,
38,"Senior Secured Term Loan B (5.50% (LIBOR + 4.00% with 1.50% LIBOR floor) plus 5.50% PIK, due 3/31/2018)(4)(6)(30)",144878,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(30)",144878,59875,144878,9946,4.2%,0.3%,3.7%,9946.0,,0.3%,,,,,,,
39,"Senior Secured Term Loan C (13.00% (LIBOR + 9.00% with 4.00% LIBOR floor), due 9/29/2018)(4)(30)",19639,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(30)",19639,59875,19639,9946,0.6%,0.3%,3.7%,9946.0,,0.3%,,,,,,,
40,Class C Shares (535 shares),-,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(30)",8689,59875,42938,9946,1.3%,0.3%,3.7%,9946.0,,0.3%,,,,,,,
