,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
1,,Control Investments (greater than 25.00% voting control)  (42),,,,,,,,,,,,
2,,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",,"$ 27,881",,"$ 27,881",,"$ 27,881",,0.9%
3,,,,,,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",,19698,,19698,,19698,,0.6%
4,,,,,,"Convertible Preferred Stock (9,919.684 shares)",,,,9920,,1888,,0.1%
5,,,,,,Common Stock (100 shares),,,,-,,-,,0.0%
6,,,,,,,,,,57499,,49467,,1.6%
7,,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Senior Secured Note (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",,19536,,19536,,19536,,0.6%
8,,,,,,"Convertible Preferred Stock - Series B (25,000 shares)",,,,25000,,5045,,0.2%
9,,,,,,"Convertible Preferred Stock - Series A (6,142.6 shares)",,,,6057,,-,,0.0%
10,,,,,,Unrestricted Common Stock (6 shares),,,,-,,-,,0.0%
11,,,,,,,,,,50593,,24581,,0.8%
12,,"APH Property Holdings, LLC  (32)",,Florida / Real Estate,,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,161662,,161662,,161662,,5.0%
13,,,,,,Membership Units (100 shares),,,,32240,,32240,,1.0%
14,,,,,,,,,,193902,,193902,,6.0%
15,,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class A (1,800,000 units)",,,,-,,-,,0.0%
16,,,,,Members Units - Class B-1 (1 unit),,,,-,,-,,0.0%,
17,,,,,,"Members Units - Class B-2 (7,999,999 units)",,,,-,,-,,0.0%
18,,,,,,,,,,-,,-,,0.0%
19,,"Borga, Inc.",,California / Manufacturing,,"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",,1150,,1095,,474,,0.0%
20,,,,,,"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",,1612,,1501,,-,,0.0%
21,,,,,,"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",,9940,,707,,-,,0.0%
22,,,,,,Common Stock (100 shares)  (21),,,,-,,-,,0.0%
23,,,,,,"Warrants (33,750 warrants)  (21)",,,,-,,-,,0.0%
24,,,,,,,,,,3303,,474,,0.0%
25,,"CCPI Holdings, Inc.  (33)",,Ohio / Manufacturing,,"Senior Secured Note (10.00%, due 12/31/2017)  (3)",,17437,,17437,,17437,,0.5%
26,,,,,,"Senior Secured Note (12.00% plus 7.00% PIK, due 6/30/2018)",,8075,,8075,,8075,,0.2%
27,,,,,,Common Stock (100 shares),,,,8581,,13790,,0.4%
28,,,,,,Net Revenue Interest (4% of Net Revenue),,,,-,,516,,0.0%
29,,,,,,,,,,34093,,39818,,1.1%
30,,CP Holdings of Delaware LLC  (38),,Oklahoma / Oil & Gas Production,,"Senior Secured Note (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 8/2/2018)  (4)",,75773,,75773,,75773,,2.3%
31,,,,,,"Senior Secured Note (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor), due 8/2/2018)  (4)",,22400,,22400,,22400,,0.7%
32,,,,,,Membership Units (100 shares),,,,15228,,20955,,0.6%
33,,,,,,,,,,113401,,119128,,3.6%
34,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
35,,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,,
36,,Control Investments (greater than 25.00% voting control)  (42),,,,,,,,,,,,
37,,"Credit Central Holdings of Delaware, LLC  (22), (34)",,South Carolina / Consumer Finance,,"Senior Secured Revolving Credit Facility - $60,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 12/31/2022)  (4), (25)",,"$ 38,082",,"$ 38,082",,"$ 38,082",,1.2%
38,,,,,,Membership Units (100 shares),,,,9581,,10957,,0.3%
39,,,,,,Net Revenue Interest (5% of Net Revenue),,,,-,,2207,,0.1%
40,,,,,,,,,,47663,,51246,,1.6%
41,,"Energy Solutions Holdings, Inc.  (8)",,Texas / Energy,,"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",,3500,,3500,,3500,,0.1%
42,,,,,,"Senior Secured Debt to Vessel Holdings II, LLC (13.00%, in non-accrual status, due 11/25/2018)",,13000,,13000,,11928,,0.4%
43,,,,,,"Senior Secured Debt to Vessel Holdings III, LLC (13.00%, due 12/3/2018)",,16000,,16000,,14584,,0.5%
44,,,,,,"Senior Secured Debt to Yatesville Coal Holdings, Inc. (Non-accrual status effective 1/1/2009, past due)",,1449,,1449,,-,,0.0%
45,,,,,,Common Stock (100 shares),,,,8318,,3539,,0.1%
46,,,,,,,,,,42267,,33551,,1.1%
47,,"First Tower Holdings of Delaware, LLC  (22), (29)",,Mississippi / Consumer Finance,,"Senior Secured Revolving Credit Facility - $400,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 6/30/2022)  (4), (25)",,273260,,273260,,273260,,8.4%
48,,,,,,Membership Units (100 shares),,,,44693,,34648,,1.1%
49,,,,,,Net Revenue Interest (5% of Net Revenue & Distributions),,,,-,,14603,,0.5%
50,,,,,,,,,,317953,,322511,,10.0%
51,,Gulf Coast Machine & Supply Company,,Texas / Manufacturing,,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 10/12/2017)  (4)",,17500,,17500,,12414,,0.4%
52,,,,,,"Convertible Preferred Stock - Series A (99,900 shares)",,,,25950,,-,,0.0%
53,,,,,,,,,,43450,,12414,,0.4%
54,,"The Healing Staff, Inc.  (9)",,North Carolina / Contracting,,"Secured Promissory Notes (15.00%, in non-accrual status effective 12/22/2010, past due)",,1688,,1686,,-,,0.0%
55,,,,,,"Senior Demand Note (15.00%, in non-accrual status effective 11/1/2010, past due)",,1170,,1170,,-,,0.0%
56,,,,,,"Common Stock (1,000 shares)",,,,975,,-,,0.0%
57,,,,,,,,,,3831,,-,,0.0%
58,,"Manx Energy, Inc.  (12)",,Kansas / Oil & Gas Production,,"Senior Secured Note (13.00%, in non-accrual status effective 1/19/2010, past due)",,225,,225,,-,,0.0%
59,,,,,,"Preferred Stock (6,635 shares)",,,,-,,-,,0.0%
60,,,,,,"Common Stock (17,082 shares)",,,,-,,-,,0.0%
61,,,,,,,,,,225,,-,,0.0%
