,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
1,"Arctic Energy Services, LLC(15)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(39)",Principal Value,Amortized Cost,31640,% of Net Assets,,18555,,0.5%,
2,"Class E Units (21,080 units)(39)",Wyoming / Energy Equipment & Services,20230,Principal Value,-,31640,-%,,,,,
3,Class A Units (700 units)(39),Wyoming / Energy Equipment & Services,9006,Principal Value,-,31640,-%,,,,,
4,Class C Units (10 units)(39),Wyoming / Energy Equipment & Services,-,Principal Value,-,31640,-%,,,,,
5,Class C Units (10 units)(39),Wyoming / Energy Equipment & Services,-,Principal Value,60876,31640,18555,,0.5%,,,
6,CCPI Inc.(16),Ohio / Metals & Mining,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12088,60876,12088,18555,12088,,0.3%,,
7,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(40)",9320,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",9320,60876,9320,18555,0.3%,,,,
8,"Common Stock (14,857 shares)",9320,6759,9320,21469,9320,0.6%,0.3%,,,,
9,"Common Stock (14,857 shares)",9320,6759,9320,28167,9320,42877,0.3%,1.2%,,,
10,CP Energy Services Inc.(17),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(39)",9320,98272,9320,73048,0.3%,2.1%,,,
11,"Common Stock (2,924 shares)(39)",Oklahoma / Energy Equipment & Services,15227,9320,-,9320,-%,0.3%,,,,
12,"Common Stock (2,924 shares)(39)",Oklahoma / Energy Equipment & Services,15227,9320,113499,9320,73048,0.3%,2.1%,,,
13,"Credit Central Loan Company, LLC(18)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(40)",51370,113499,44112,73048,51370,,1.5%,,
14,"Class A Units (10,640,642 units)(13)(39)",South Carolina / Consumer Finance,13731,51370,8312,44112,0.2%,51370,,,,
15,Net Revenues Interest (25% of Net Revenues)(13)(39),South Carolina / Consumer Finance,-,51370,3299,44112,0.1%,51370,,,,
16,Net Revenues Interest (25% of Net Revenues)(13)(39),South Carolina / Consumer Finance,-,51370,57843,44112,62981,51370,1.8%,,,
17,Echelon Aviation LLC,New York / Diversified Financial Services,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(40)",31055,57843,31055,62981,31055,,0.9%,,
18,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(12)(39)(40)",16044,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(40)",16044,57843,16044,62981,0.5%,,,,
19,Membership Interest (99%),16044,22738,16044,29760,16044,0.8%,0.5%,,,,
20,Membership Interest (99%),16044,22738,16044,69837,16044,76859,0.5%,2.2%,,,
21,"Edmentum Ultimate Holdings, LLC(19)",Minnesota / Internet Software & Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",-,69837,-,76859,-,,-%,,
22,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(40)",6619,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",6619,69837,6619,76859,0.2%,,,,
23,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(40)",30326,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",23829,69837,26561,76859,0.8%,,,,
24,"Class A Units (370,964 units)(39)",30326,6577,23829,3432,26561,0.1%,0.8%,,,,
25,"Class A Units (370,964 units)(39)",30326,6577,23829,37025,26561,36612,0.8%,1.1%,,,
26,First Tower Finance Company LLC(20),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(13)(40)",258210,37025,258210,36612,258210,,7.5%,,
27,"Class A Units (93,997,533 units)(13)(39)",Mississippi / Consumer Finance,78481,258210,97398,258210,2.8%,258210,,,,
28,"Class A Units (93,997,533 units)(13)(39)",Mississippi / Consumer Finance,78481,258210,336691,258210,355608,258210,10.3%,,,
29,"Freedom Marine Solutions, LLC(21)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(39),258210,41411,258210,26671,258210,0.8%,,,
30,"Freedom Marine Solutions, LLC(21)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(39),258210,41411,258210,26671,258210,0.8%,,,
31,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,258210,,,,
32,Gulf Coast Machine & Supply Company,Texas / Energy Equipment & Services,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",Principal Value,41980,Fair  Value(2),% of Net Assets,35403,,,7487.0,0.2%
33,"Series A Convertible Preferred Stock (99,900 shares)(39)",Texas / Energy Equipment & Services,25950,Principal Value,-,Fair  Value(2),-%,35403,,,,
34,Common Stock (100 shares)(39),-,25950,-,-,-,-%,-%,,,,
35,Common Stock (100 shares)(39),-,25950,-,61353,-,7487,-%,0.2%,,,
36,"MITY, Inc.(22)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",18250,61353,18250,7487,18250,,0.5%,,
37,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(10)(11)(40)",16442,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",16442,61353,16442,7487,0.5%,,,,
38,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(13)",5478,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",7200,61353,5478,7487,0.2%,,,,
39,"Common Stock (42,053 shares)",5478,6849,7200,16789,5478,0.4%,0.2%,,,,
40,"Common Stock (42,053 shares)",5478,6849,7200,48741,5478,56959,0.2%,1.6%,,,
41,National Property REIT Corp.(23),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(40)",284421,48741,284421,56959,284421,,8.2%,,
42,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(40)",205591,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(40)",205591,48741,205591,56959,6.0%,,,,
43,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(13)(40)",88556,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(40)",88556,48741,88556,56959,2.6%,,,,
44,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 12/15/2020)(10)(11)(13)(40)",46918,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(40)",46918,48741,46918,56959,1.4%,,,,
45,"Common Stock (1,743,534 shares)(39)",-,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(40)",184768,48741,254187,56959,7.4%,,,,
