,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
1,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,Principal Value,35048,Fair  Value(2),% of Net Assets,35048,,,35048.0,,1.1%,,,,,,,
2,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,63225,35048,63225,% of Net Assets,1.9%,,,35048.0,,1.1%,,,,,,,
3,"Common Stock (102,924 shares)(16)",8/2/2013,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,81203,35048,27308,% of Net Assets,0.8%,,,35048.0,,1.1%,,,,,,,
4,"Common Stock (102,924 shares)(16)",8/2/2013,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,81203,35048,179476,% of Net Assets,125581,,3.8%,35048.0,,1.1%,,,,,,,
5,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,54979,35048,51590,% of Net Assets,54979,,1.7%,35048.0,,1.1%,,,,,,,
6,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,13730,35048,14098,% of Net Assets,0.4%,,1.7%,35048.0,,1.1%,,,,,,,
7,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,-,35048,473,% of Net Assets,-%,,1.7%,35048.0,,1.1%,,,,,,,
8,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,-,35048,65320,% of Net Assets,69550,,2.1%,35048.0,,1.1%,,,,,,,
9,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (12.25% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,36128,35048,36128,% of Net Assets,36128,,1.1%,35048.0,,1.1%,,,,,,,
10,"Senior Secured Term Loan (11.50% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,18063,3/31/2014,18063,35048,18063,% of Net Assets,0.5%,,1.1%,35048.0,,1.1%,,,,,,,
11,Membership Interest (100%)(16),3/31/2014,18063,3/31/2014,22738,35048,35419,% of Net Assets,1.1%,,1.1%,35048.0,,1.1%,,,,,,,
12,Membership Interest (100%)(16),3/31/2014,18063,3/31/2014,22738,35048,76929,% of Net Assets,89610,,2.7%,35048.0,,1.1%,,,,,,,
13,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,272170,35048,272170,% of Net Assets,272170,,8.2%,35048.0,,1.1%,,,,,,,
