,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
2,CCPI Inc.(19),"Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",12/13/2012,,2825,,,2825,,,2825.0,,0.1%,,,,
3,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",12/13/2012,17651,,17651,,17651,,0.5%,,,,,,,,,
4,"Common Stock (14,857 shares)(16)",12/13/2012,,,6759,,14213,,0.4%,,,,,,,,,
5,,,,,,,27235,,34689,,1.0%,,,,,,,
6,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,35048,,35048,,35048,,1.0%,,,,,,,
7,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,,,63225,,63225,,1.9%,,,,,,,,,
8,"Common Stock (102,924 shares)(16)",8/2/2013,,,81203,,44367,,1.3%,,,,,,,,,
9,,,,,,,179476,,142640,,4.2%,,,,,,,
10,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,51855,,48345,,51855,,1.5%,,,,,,,
11,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,,,13731,,17477,,0.5%,,,,,,,,,
12,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,,,-,,1256,,0.1%,,,,,,,,,
13,,,,,,,62076,,70588,,2.1%,,,,,,,
14,"Echelon Transportation, LLC (f/k/a Echelon Aviation, LLC)",Aerospace & Defense,"Senior Secured Term Loan (11.83% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,32211,,32211,,32211,,0.9%,,,,,,,
15,"Senior Secured Term Loan (11.08% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,17012,,17012,,17012,,0.5%,,,,,,,,,
16,Membership Interest (100%)(16),3/31/2014,,,22738,,38152,,1.1%,,,,,,,,,
17,,,,,,,71961,,87375,,2.5%,,,,,,,
18,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.00% PIK, due 6/24/2019)(14)(46)",6/24/2014,272170,,272170,,272170,,7.9%,,,,,,,
19,"Class A Units (95,709,910 units)(14)(16)",6/24/2014,,,81146,,173571,,5.1%,,,,,,,,,
20,,,,,,,353316,,445741,,13.0%,,,,,,,
21,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),10/1/2009,,,43592,,14600,,0.4%,,,,,,,
22,,,,,,,43592,,14600,,0.4%,,,,,,,
23,"InterDent, Inc. (52)",Health Care Providers & Services,"Senior Secured Term Loan A (7.74% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,,77994,,77994,,2.3%,,,,,,,
24,"Senior Secured Term Loan B (16.00% PIK, due 9/5/2020)(13)(46)",8/3/2012,103090,,103090,,103090,,3.0%,,,,,,,,,
25,"Senior Secured Term Loan A/B (2.49% (LIBOR + 0.25% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,,14000,,14000,,0.4%,,,,,,,,,
26,"Senior Secured Term Loan C (18.00% PIK, due 9/5/2020)(46)",3/22/2018,35766,,35766,,25215,,0.7%,,,,,,,,,
27,"Senior Secured Term Loan D (1.00% PIK, due 9/5/2020)(46)",9/19/2018,5001,,5001,,-,,-%,,,,,,,,,
28,"Warrants (to purchase 99,900 shares of Common Stock, expires 9/19/2030)(16)",2/23/2018,,,-,,-,,-%,,,,,,,,,
29,,,,,,,235851,,220299,,6.4%,,,,,,,
30,Portfolio Company,Industry,Investments(1)(44),Acquisition Date,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
31,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
32,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
33,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",9/19/2013,,26250,,,26250,,,26250.0,,0.8%,,,,
34,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(11)(46)",6/23/2014,24652,,24652,,24652,,0.7%,,,,,,,,,
35,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(14)",9/19/2013,5702,,7200,,5702,,0.2%,,,,,,,,,
36,"Common Stock (42,053 shares)(16)",9/19/2013,,,6849,,1121,,-%,,,,,,,,,
37,,,,,,,64951,,57725,,1.7%,,,,,,,
38,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.39% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(11)(46)",4/1/2014,293203,,293203,,293203,,8.5%,,,,,,,
39,"Senior Secured Term Loan E (11.39% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.50% PIK, due 4/1/2019)(11)(46)",4/1/2014,217960,,217960,,217960,,6.4%,,,,,,,,,
40,"Common Stock (3,102,279 shares)",12/31/2013,,,317809,,453313,,13.2%,,,,,,,,,
41,Net Operating Income Interest (5% of Net Operating Income),12/31/2013,,,-,,107487,,3.1%,,,,,,,,,
42,,,,,,,828972,,1071963,,31.2%,,,,,,,
43,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",6/18/2014,17410,,17410,,17410,,0.5%,,,,,,,
44,"Class A Units (32,456,159 units)(14)",1/31/2013,,,21962,,15307,,0.4%,,,,,,,,,
45,,,,,,,39372,,32717,,0.9%,,,,,,,
46,"NMMB, Inc.(28)",Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",5/6/2011,3714,,3714,,3714,,0.1%,,,,,,,
47,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6/12/2014,3900,,3900,,3900,,0.1%,,,,,,,,,
48,"Series A Preferred Stock (7,200 shares)(16)",12/12/2013,,,7200,,6971,,0.2%,,,,,,,,,
49,"Series B Preferred Stock (5,669 shares)(16)",12/12/2013,,,5669,,5489,,0.2%,,,,,,,,,
50,,,,,,,20483,,20074,,0.6%,,,,,,,
51,Pacific World Corporation(40),Personal Products,"Revolving Line of Credit – $26,000 Commitment (9.46% (LIBOR + 7.25% with 1.00% LIBOR floor), due 9/26/2020)(13)(15)",9/26/2014,20825,,20825,,20825,,0.6%,,,,,,,
52,"Senior Secured Term Loan A (7.46% (LIBOR + 5.25% with 1.00% LIBOR floor), due 9/26/2020)(13)",12/31/2014,96000,,96000,,96000,,2.8%,,,,,,,,,
53,"Senior Secured Term Loan B (11.46% PIK (LIBOR + 9.25% with 1.00% LIBOR floor), in non-accrual status effective 5/21/2018, due 9/26/2020)(13)",12/31/2014,99166,,96500,,47333,,1.4%,,,,,,,,,
54,"Convertible Preferred Equity (100,000 shares)(16)",6/15/2018,,,15000,,-,,-%,,,,,,,,,
55,"Common Stock (6,778,414 shares)(16)",9/29/2017,,,-,,-,,-%,,,,,,,,,
56,,,,,,,228325,,164158,,4.8%,,,,,,,
57,"R-V Industries, Inc.",Machinery,"Senior Subordinated Note (11.39% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",6/12/2013,28622,,28622,,24782,,0.7%,,,,,,,
58,"Common Stock (745,107 shares)(16)",6/26/2007,,,6866,,-,,-%,,,,,,,,,
59,,,,,,,35488,,24782,,0.7%,,,,,,,
60,"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Energy Equipment & Services,"Series A Convertible Preferred Stock (99,900 shares)(16)",11/8/2013,,,-,,2201,,0.1%,,,,,,,
61,Common Stock (100 shares)(16),11/8/2013,,,-,,-,,-%,,,,,,,,,
62,,,,,,,-,,2201,,0.1%,,,,,,,
63,Portfolio Company,Industry,Investments(1)(44),Acquisition Date,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
64,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
65,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
66,USES Corp.(30),Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",3/31/2014,,37821,,,31601,,,15807.0,,0.5%,,,,
