,0,1,2,3,4,5,6,7,8,9,10,11
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,
2,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,106686,,,106686,,,106686.0,2.9%
3,"Common Stock (272,116 shares)",,24769,,26236,,0.7%,,,,,
4,Net Operating Income Interest (5% of Net Operating Income),,-,,10594,,0.3%,,,,,
5,,,,,131455,,143516,,3.9%,,,
6,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,,31640,,31640,,0.9%,,
7,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,,20230,,20230,,0.5%,,,,
8,Class A Units (700 units),,9006,,10046,,0.3%,,,,,
9,,,,,60876,,61916,,1.7%,,,
10,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16875,,16875,,16875,,0.5%,,
11,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8691,,8691,,8691,,0.2%,,,,
12,"Common Stock (14,857 shares)",,8553,,11308,,0.3%,,,,,
13,,,,,34119,,36874,,1.0%,,,
14,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,,11035,,11035,,0.3%,,
15,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(3)(4)",73099,,73099,,73099,,2.0%,,,,
16,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15214,,15214,,15214,,0.4%,,,,
17,"Common Stock (2,924 shares)",,15227,,2290,,0.1%,,,,,
18,,,,,114575,,101638,,2.8%,,,
19,"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,,36333,,36333,,1.0%,,
20,"Class A Shares (7,500,000 shares)(22)",,11633,,10766,,0.3%,,,,,
21,Net Revenues Interest (25% of Net Revenues)(22),,-,,4443,,0.1%,,,,,
22,,,,,47966,,51542,,1.4%,,,
23,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",40808,,40808,,40808,,1.1%,,
24,"Class A Shares (11,335,318 shares)",,19907,,28133,,0.8%,,,,,
25,,,,,60715,,68941,,1.9%,,,
26,First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(22)",251246,,251246,,251246,,6.8%,,
27,"Class A Shares (83,729,323 shares)(22)",,66473,,103884,,2.8%,,,,,
28,,,,,317719,,355130,,9.6%,,,
29,"Freedom Marine Solutions, LLC(8)",Louisiana / Energy,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,,3500,,3500,,0.1%,,
30,"Senior Secured Note to Vessel Company II, LLC (13.00%, due 11/25/2018)",13000,,12504,,9499,,0.3%,,,,
31,"Senior Secured Note to Vessel Company III, LLC (13.00%, due 12/3/2018)",16000,,16000,,14342,,0.4%,,,,
32,Membership Interest (100%),,7807,,1260,,-%,,,,,
33,,,,,39811,,28601,,0.8%,,,
34,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
35,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
36,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,
37,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)",,23196,,,23000,,,8199.0,0.2%
38,"Series A Convertible Preferred Stock (99,900 shares)",,25950,,-,,-%,,,,,
39,,,,,48950,,8199,,0.2%,,,
40,"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)",129663,,129663,,129663,,3.5%,,
41,"Senior Secured Term Loan B (5.50% (LIBOR + 4.00% with 1.50% LIBOR floor) plus 5.50% PIK, due 3/31/2018)(4)",137226,,137226,,137226,,3.7%,,,,
42,"Senior Secured Term Loan C (13.00% (LIBOR + 9.00% with 4.00% LIBOR floor), due 9/29/2018)(4)",24011,,24011,,24011,,0.6%,,,,
43,Class C Shares (535 shares),,8739,,39372,,1.1%,,,,,
44,,,,,299639,,330272,,8.9%,,,
45,"MITY, Inc.(17)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)",18250,,18250,,18250,,0.5%,,
46,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(4)",15896,,15896,,15896,,0.4%,,,,
47,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(22)",7200,,7200,,7200,,0.2%,,,,
48,"Common Stock (42,053 shares)",,6849,,13685,,0.4%,,,,,
49,,,,,48195,,55031,,1.5%,,,
50,National Property REIT Corp.(40),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",172403,,172403,,172403,,4.7%,,
51,"Senior Secured Term Loan A to ACL Loan Holdings, Inc. (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",79462,,79462,,79462,,2.1%,,,,
52,"Senior Secured Term Loan B to ACL Loan Holdings, Inc. (14.00% (LIBOR + 12.00% with 2.00% LIBOR floor) plus 3.00% PIK, due 4/1/2019)(4)",47050,,47050,,47050,,1.3%,,,,
53,"Common Stock (84,567 shares)",,68757,,70665,,1.9%,,,,,
54,Net Operating Income Interest (5% of Net Operating Income),,-,,20221,,0.5%,,,,,
55,,,,,367672,,389801,,10.5%,,,
56,Nationwide Acceptance LLC(36),Illinois / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/18/2019)(22)",14820,,14820,,14820,,0.4%,,
57,"Class A Shares (24,029,326 shares)(22)",,12919,,15304,,0.4%,,,,,
58,,,,,27739,,30124,,0.8%,,,
59,"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",3714,,3714,,3147,,0.1%,,
60,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2016)",7000,,7000,,5931,,0.2%,,,,
61,"Series A Preferred Stock (7,200 shares)",,7200,,-,,-%,,,,,
62,"Series B Preferred Stock (5,669 shares)",,5669,,-,,-%,,,,,
63,,,,,23583,,9078,,0.3%,,,
64,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)",30411,,30411,,30411,,0.8%,,
65,"Common Stock (545,107 shares)",,5087,,8287,,0.2%,,,,,
66,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",,1682,,3041,,0.1%,,,,,
67,,,,,37180,,41739,,1.1%,,,
68,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
69,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
70,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,
71,United Property REIT Corp.(41),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,58219,,,58219,,,58219.0,1.6%
72,"Common Stock (70,689 shares)",,11946,,12783,,0.3%,,,,,
73,Net Operating Income Interest (5% of Net Operating Income),,-,,10916,,0.3%,,,,,
74,,,,,70165,,81918,,2.2%,,,
75,"Valley Electric Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)",10275,,10275,,10275,,0.3%,,
76,"Senior Secured Note (10.00% plus 8.50% PIK, due 12/31/2018)",21835,,21835,,21835,,0.6%,,,,
77,"Common Stock (50,000 shares)",,26204,,-,,-%,,,,,
